stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_runs,Most Runs (career),1,CH Gayle (WI),2002-2013,17.0,17.0,2.0,791,133*,52.73,891.0,88.77,3.0,1.0,1.0,101.0,15.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),2,V Kohli (IND),2009-2025,18.0,17.0,7.0,747,100*,74.7,836.0,89.35,1.0,6.0,1.0,68.0,8.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),3,DPMD Jayawardene (SL),2000-2013,22.0,21.0,3.0,742,84*,41.22,875.0,84.8,0.0,5.0,0.0,79.0,6.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),4,S Dhawan (IND),2013-2017,10.0,10.0,1.0,701,125,77.88,690.0,101.59,3.0,3.0,0.0,79.0,8.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),5,KC Sangakkara (SL),2000-2013,22.0,21.0,3.0,683,134*,37.94,957.0,71.36,1.0,4.0,2.0,68.0,0.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),6,SC Ganguly (IND),1998-2004,13.0,11.0,2.0,665,141*,73.88,800.0,83.12,3.0,3.0,1.0,66.0,17.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),7,RG Sharma (IND),2013-2025,15.0,15.0,1.0,661,123*,47.21,763.0,86.63,1.0,5.0,1.0,72.0,14.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),8,JE Root (ENG),2013-2025,12.0,12.0,1.0,656,133*,59.63,689.0,95.21,2.0,3.0,0.0,53.0,6.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),9,JH Kallis (SA),1998-2009,17.0,17.0,3.0,653,113*,46.64,843.0,77.46,1.0,3.0,0.0,63.0,9.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),10,R Dravid (IND),1998-2009,19.0,15.0,2.0,627,76,48.23,855.0,73.33,0.0,6.0,0.0,56.0,1.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),11,RT Ponting (AUS),1998-2009,18.0,18.0,3.0,593,111*,39.53,775.0,76.51,1.0,4.0,1.0,66.0,4.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),12,S Chanderpaul (WI),1998-2006,16.0,16.0,5.0,587,74,53.36,864.0,67.93,0.0,5.0,0.0,67.0,3.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),13,KS Williamson (NZ),2013-2025,11.0,11.0,1.0,545,102,54.5,611.0,89.19,2.0,4.0,0.0,50.0,6.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),14,ST Jayasuriya (SL),1998-2009,20.0,20.0,2.0,536,102*,29.77,609.0,88.01,1.0,1.0,3.0,67.0,6.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),15,DR Martyn (AUS),1998-2006,12.0,11.0,3.0,492,78,61.5,665.0,73.98,0.0,5.0,0.0,63.0,0.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),16,Mohammad Yousuf (PAK),2000-2009,13.0,12.0,2.0,484,87,48.4,714.0,67.78,0.0,3.0,1.0,41.0,3.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),17,GC Smith (SA),2002-2009,12.0,12.0,1.0,470,141,42.72,542.0,86.71,1.0,2.0,1.0,57.0,1.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),18,BC Lara (WI),1998-2006,18.0,17.0,3.0,465,111,33.21,611.0,76.1,1.0,2.0,0.0,46.0,9.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),19,HH Gibbs (SA),2002-2009,10.0,10.0,1.0,460,116*,51.11,538.0,85.5,3.0,1.0,2.0,50.0,6.0,,,,,,,,,,,,,,,
