match_id,year,match_date,team1,team2,toss,winner,margin,player_of_match,ground,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_cts_participated,team1_total_cts_won,team2_total_cts_participated,team2_total_cts_won,team1_wl_ratio_over_team2
CT-1998-1,1998,1998-10-24,New Zealand,Zimbabwe,"Zimbabwe, elected to bat first",New Zealand,5 wickets,Stephen Fleming,Dhaka,ODI # 1357,79.58,64.55,79.92,76.0,0,0,0,0,4.0
CT-1998-2,1998,1998-10-25,England,South Africa,"England, elected to bat first",South Africa,6 wickets,Daryll Cullinan,Dhaka,ODI # 1358,75.91,67.83,90.45,84.67,0,0,0,0,0.6
CT-1998-3,1998,1998-10-26,New Zealand,Sri Lanka,"Sri Lanka, elected to field first",Sri Lanka,5 wickets,Arjuna Ranatunga,Dhaka,ODI # 1359,79.25,53.36,79.67,69.82,0,0,0,0,2.0
CT-1998-4,1998,1998-10-28,Australia,India,"Australia, elected to field first",India,44 runs,Sachin Tendulkar,Dhaka,ODI # 1360,58.55,58.0,78.73,64.82,0,0,0,0,1.38
CT-1998-5,1998,1998-10-29,Pakistan,West Indies,"West Indies, elected to bat first",West Indies,30 runs,Keith Arthurton,Dhaka,ODI # 1361,88.36,65.0,70.0,87.17,0,0,0,0,0.806
CT-1998-6,1998,1998-10-30,South Africa,Sri Lanka,"Sri Lanka, elected to field first",South Africa,92 runs,Jacques Kallis,Dhaka,ODI # 1362,66.92,53.55,83.08,69.18,0,0,0,0,1.166
CT-1998-7,1998,1998-10-31,India,West Indies,"India, elected to bat first",West Indies,6 wickets,Mervyn Dillon,Dhaka,ODI # 1363,58.0,63.92,63.73,86.25,0,0,0,0,0.527
CT-1998-8,1998,1998-11-01,South Africa,West Indies,"South Africa, elected to field first",South Africa,4 wickets,Jacques Kallis,Dhaka,ODI # 1364,66.58,63.42,81.5,84.92,0,0,0,0,1.0
CT-2000-9,2000,2000-10-03,Kenya,India,"India, elected to field first",India,8 wickets,Anil Kumble,Nairobi (Gym),ODI # 1630,95.08,75.43,91.15,71.36,0,0,1,0,0.2
CT-2000-10,2000,2000-10-04,Sri Lanka,West Indies,"West Indies, elected to field first",Sri Lanka,108 runs,Avishka Gunawardene,Nairobi (Gym),ODI # 1631,67.5,82.71,76.07,88.86,0,0,1,0,0.428
CT-2000-11,2000,2000-10-05,Bangladesh,England,"Bangladesh, elected to bat first",England,8 wickets,Alec Stewart,Nairobi (Gym),ODI # 1632,96.0,75.13,98.36,84.27,0,0,1,0,0.0
CT-2000-12,2000,2000-10-07,Australia,India,"Australia, elected to field first",India,20 runs,Yuvraj Singh,Nairobi (Gym),ODI # 1633,57.21,75.57,73.64,71.79,1,0,1,0,1.636
CT-2000-13,2000,2000-10-08,Pakistan,Sri Lanka,"Sri Lanka, elected to bat first",Pakistan,9 wickets,Saeed Anwar,Nairobi (Gym),ODI # 1634,69.07,65.93,66.79,75.93,1,0,1,0,1.857
CT-2000-14,2000,2000-10-09,New Zealand,Zimbabwe,"Zimbabwe, elected to field first",New Zealand,64 runs,Roger Twose,Nairobi (Gym),ODI # 1635,63.86,76.08,74.79,75.31,1,0,0,0,2.8
CT-2000-15,2000,2000-10-10,England,South Africa,"England, elected to bat first",South Africa,8 wickets,Jacques Kallis,Nairobi (Gym),ODI # 1636,74.93,65.29,83.93,67.5,1,0,1,1,0.466
CT-2000-16,2000,2000-10-11,New Zealand,Pakistan,"Pakistan, elected to bat first",New Zealand,4 wickets,Shayne O'Connor,Nairobi (Gym),ODI # 1637,64.0,68.21,74.21,66.21,1,0,1,0,0.58
CT-2000-17,2000,2000-10-13,India,South Africa,"India, elected to bat first",India,95 runs,Sourav Ganguly,Nairobi (Gym),ODI # 1638,75.64,65.43,71.71,67.21,1,0,1,1,0.5
CT-2000-18,2000,2000-10-15,India,New Zealand,"New Zealand, elected to field first",New Zealand,4 wickets,Chris Cairns,Nairobi (Gym),ODI # 1639,75.43,63.07,70.71,74.29,1,0,1,0,1.25
CT-2002-19,2002,2002-09-12,Sri Lanka,Pakistan,"Pakistan, elected to bat first",Sri Lanka,8 wickets,Sanath Jayasuriya,Colombo (RPS),ODI # 1874,59.45,67.82,70.73,60.09,2,0,2,0,0.586
CT-2002-20,2002,2002-09-13,South Africa,West Indies,"South Africa, elected to field first",South Africa,2 wickets,Jonty Rhodes,Colombo (SSC),ODI # 1875,61.93,60.64,69.0,76.27,2,1,2,0,2.125
CT-2002-21,2002,2002-09-14,India,Zimbabwe,"India, elected to bat first",India,14 runs,Mohammad Kaif,Colombo (RPS),ODI # 1876,60.0,70.5,66.92,84.17,2,0,2,0,4.0
CT-2002-22,2002,2002-09-15,Australia,New Zealand,"Australia, elected to bat first",Australia,164 runs,Glenn McGrath,Colombo (SSC),ODI # 1877,57.75,76.67,68.67,71.0,2,0,2,1,2.24
CT-2002-23,2002,2002-09-16,Sri Lanka,Netherlands,"Sri Lanka, elected to bat first",Sri Lanka,206 runs,Marvan Atapattu,Colombo (RPS),ODI # 1878,59.55,101.0,70.55,101.0,2,0,0,0,2.0
CT-2002-24,2002,2002-09-17,Kenya,West Indies,"West Indies, elected to bat first",West Indies,29 runs,Brian Lara,Colombo (SSC),ODI # 1879,93.5,60.36,88.67,75.45,1,0,2,0,0.333
CT-2002-25,2002,2002-09-18,England,Zimbabwe,"England, elected to bat first",England,108 runs,Marcus Trescothick,Colombo (RPS),ODI # 1880,75.58,69.92,89.08,83.67,2,0,2,0,2.0
CT-2002-26,2002,2002-09-19,Australia,Bangladesh,"Bangladesh, elected to bat first",Australia,9 wickets,Jason Gillespie,Colombo (SSC),ODI # 1881,57.5,98.0,68.5,95.07,2,0,1,0,2.0
CT-2002-27,2002,2002-09-20,Kenya,South Africa,"South Africa, elected to bat first",South Africa,176 runs,Herschelle Gibbs,Colombo (RPS),ODI # 1882,93.67,61.87,88.75,69.27,1,0,2,1,0.0
CT-2002-28,2002,2002-09-21,Netherlands,Pakistan,"Netherlands, elected to bat first",Pakistan,9 wickets,Shahid Afridi,Colombo (SSC),ODI # 1883,101.0,67.09,101.0,61.09,0,0,2,0,0.0
CT-2002-29,2002,2002-09-22,England,India,"England, elected to bat first",India,8 wickets,Virender Sehwag,Colombo (RPS),ODI # 1884,75.83,59.54,88.0,66.77,2,0,2,0,1.095
CT-2002-30,2002,2002-09-23,Bangladesh,New Zealand,"Bangladesh, elected to field first",New Zealand,167 runs,Shane Bond,Colombo (SSC),ODI # 1885,98.07,76.42,95.43,70.67,1,0,2,1,0.0
CT-2002-31,2002,2002-09-25,India,South Africa,"India, elected to bat first",India,10 runs,Virender Sehwag,Colombo (RPS),ODI # 1886,58.38,61.93,66.0,69.47,2,0,2,1,0.518
CT-2002-32,2002,2002-09-27,Sri Lanka,Australia,"Australia, elected to bat first",Sri Lanka,7 wickets,Aravinda de Silva,Colombo (RPS),ODI # 1887,59.64,57.42,71.09,68.0,2,0,2,0,0.464
CT-2002-33,2002,2002-09-29,Sri Lanka,India,"Sri Lanka, elected to bat first",no result,-,,Colombo (RPS),ODI # 1888,59.09,57.46,69.55,65.92,2,0,2,0,0.743
CT-2002-34,2002,2002-09-30,Sri Lanka,India,"Sri Lanka, elected to bat first",no result,-,,Colombo (RPS),ODI # 1889,59.0,57.38,70.91,65.46,2,0,2,0,0.743
CT-2004-35,2004,2004-09-10,England,Zimbabwe,"Zimbabwe, elected to field first",England,152 runs,Paul Collingwood,Birmingham,ODI # 2168,67.36,89.18,71.18,96.82,3,0,3,0,2.0
CT-2004-36,2004,2004-09-10,New Zealand,U.S.A.,"United States of America, elected to field first",New Zealand,210 runs,Nathan Astle,The Oval,ODI # 2169,57.25,101.0,58.17,101.0,3,1,0,0,2.0
CT-2004-37,2004,2004-09-11,India,Kenya,"Kenya, elected to field first",India,98 runs,Sourav Ganguly,Southampton,ODI # 2170,65.25,99.67,70.58,96.42,3,1,2,0,5.0
CT-2004-38,2004,2004-09-12,Bangladesh,South Africa,"Bangladesh, elected to bat first",South Africa,9 wickets,Charl Langeveldt,Birmingham,ODI # 2171,95.25,53.45,93.92,70.55,2,0,3,1,0.0
CT-2004-39,2004,2004-09-13,Australia,U.S.A.,"Australia, elected to field first",Australia,9 wickets,Michael Kasprowicz,Southampton,ODI # 2172,52.25,101.0,63.08,101.0,3,0,0,0,0.0
CT-2004-40,2004,2004-09-14,Kenya,Pakistan,"Pakistan, elected to field first",Pakistan,7 wickets,Shahid Afridi,Birmingham,ODI # 2174,100.33,57.58,96.33,69.08,2,0,3,0,0.0
CT-2004-41,2004,2004-09-14,Sri Lanka,Zimbabwe,"Sri Lanka, elected to field first",Sri Lanka,4 wickets,Elton Chigumbura,The Oval,ODI # 2173,61.18,88.27,71.09,97.09,3,1,3,0,4.5
CT-2004-42,2004,2004-09-15,Bangladesh,West Indies,"Bangladesh, elected to field first",West Indies,138 runs,Chris Gayle,Southampton,ODI # 2175,95.83,68.57,94.0,80.5,2,0,3,0,0.0
CT-2004-43,2004,2004-09-16,Australia,New Zealand,"Australia, elected to field first",Australia,7 wickets,Andrew Symonds,The Oval,ODI # 2176,52.08,56.42,63.17,58.25,3,0,3,1,2.44
