team,year,player_name,dob,batting_style,bowling_style,nationality
Afghanistan,2025,Hashmatullah Shahidi,1994-11-04,Left-handed,Off spin,Afghan
Afghanistan,2025,Ibrahim Zadran,2001-12-12,Right-handed,Medium seam,Afghan
Afghanistan,2025,Ikram Alikhil,2000-09-29,Left-handed,Wicket-keeper,Afghan
Afghanistan,2025,Rahmanullah Gurbaz,2001-11-28,Right-handed,Medium seam,Afghan
Afghanistan,2025,Sediqullah Atal,2001-08-12,Left-handed,,
Afghanistan,2025,Rahmat Shah,1993-07-06,Right-handed,Leg spin,Afghan
Afghanistan,2025,Azmatullah Omarzai,2000-03-24,Right-handed,Right-arm medium-fast,
Afghanistan,2025,Gulbadin Naib,1991-03-16,Right-handed,Medium seam,Afghan
Afghanistan,2025,Mohammed Nabi,1985-01-01,Right-handed,Off spin,Afghan
Afghanistan,2025,Nangeyalia Kharote,,,,
Afghanistan,2025,Rashid Khan,1959-12-15,Right-handed,Right-arm leg spin,Pakistani
Afghanistan,2025,Fareed Ahmad,1994-08-10,Left-handed,,Afghan
Afghanistan,2025,Fazalhaq Farooqi,2000-09-22,Right-handed,Left-arm fast-medium,
Afghanistan,2025,Naveed Zadran,,,,
Afghanistan,2025,Noor Ahmad,2005-01-03,,Left-arm unorthodox spin,
Australia,1998,Mark Waugh,1965-06-02,Right-handed,Off spin,Australian
Australia,1998,Adam Gilchrist,1971-11-14,Left-handed,Off spin,Australian
Australia,1998,Ricky Ponting,1974-12-19,Right-handed,Medium seam,Australian
Australia,1998,Brendon Julian,1970-08-10,Right-handed,Left-arm fast-medium,New Zealander
Australia,1998,Darren Lehmann,1970-02-05,Right-handed,Slow left-arm orthodox,Australian
Australia,1998,Steve Waugh,1965-06-02,Right-handed,Medium seam,Australian
Australia,1998,Michael Bevan,1970-05-08,Left-handed,Unorthodox spin,Australian
Australia,1998,Damien Martyn,1971-10-21,Right-handed,Medium seam,Australian
Australia,1998,Brad Young,,,,
Australia,1998,Michael Kasprowicz,,,,
Australia,1998,Damien Fleming,1970-04-24,Right-handed,Fast seam,Australian
Australia,2000,Steve Waugh,1965-06-02,Right-handed,Medium seam,Australian
Australia,2000,Adam Gilchrist,1971-11-14,Left-handed,Off spin,Australian
Australia,2000,Michael Bevan,1970-05-08,Left-handed,Unorthodox spin,Australian
Australia,2000,Damien Martyn,1971-10-21,Right-handed,Medium seam,Australian
Australia,2000,Ricky Ponting,1974-12-19,Right-handed,Medium seam,Australian
Australia,2000,Ian Harvey,1972-04-10,Right-handed,Right-arm medium,Australian
Australia,2000,Shane Lee,1973-08-08,Right-handed,Right-arm medium,Australian
Australia,2000,Andrew Symonds,1975-06-09,Right-handed,Medium seam,Australian
Australia,2000,Mark Waugh,1965-06-02,Right-handed,Off spin,Australian
Australia,2000,Jason Gillespie,1975-04-19,Right-handed,Fast seam,Australian
Australia,2000,Brett Lee,1976-11-08,Right-handed,Fast seam,Australian
Australia,2000,Glenn McGrath,1970-02-09,Right-handed,Fast seam,Australian
Australia,2000,Brad Young,,,,
Australia,2000,Mark Higgs,,,,
Australia,2002,Adam Gilchrist,1971-11-14,Left-handed,Off spin,Australian
Australia,2002,Matthew Hayden,1971-10-29,Left-handed,Medium seam,Australian
Australia,2002,Ricky Ponting,1974-12-19,Right-handed,Medium seam,Australian
Australia,2002,Jimmy Maher,1974-02-27,Right-handed,Right-arm medium,Australian
Australia,2002,Damien Martyn,1971-10-21,Right-handed,Medium seam,Australian
Australia,2002,Darren Lehmann,1970-02-05,Right-handed,Slow left-arm orthodox,Australian
Australia,2002,Michael Bevan,1970-05-08,Left-handed,Unorthodox spin,Australian
Australia,2002,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2002,Shane Warne,1969-09-13,Right-handed,Leg spin,Australian
Australia,2002,Brett Lee,1976-11-08,Right-handed,Fast seam,Australian
Australia,2002,Jason Gillespie,1975-04-19,Right-handed,Fast seam,Australian
Australia,2002,Glenn McGrath,1970-02-09,Right-handed,Fast seam,Australian
Australia,2004,Adam Gilchrist,1971-11-14,Left-handed,Off spin,Australian
Australia,2004,Matthew Hayden,1971-10-29,Left-handed,Medium seam,Australian
Australia,2004,Ricky Ponting,1974-12-19,Right-handed,Medium seam,Australian
Australia,2004,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2004,Darren Lehmann,1970-02-05,Right-handed,Slow left-arm orthodox,Australian
Australia,2004,Andrew Symonds,1975-06-09,Right-handed,Medium seam,Australian
Australia,2004,Damien Martyn,1971-10-21,Right-handed,Medium seam,Australian
Australia,2004,Michael Clarke,1981-04-02,Right-handed,Orthodox spin,Australian
Australia,2004,Michael Kasprowicz,,,,
Australia,2004,Brett Lee,1976-11-08,Right-handed,Fast seam,Australian
Australia,2004,Jason Gillespie,1975-04-19,Right-handed,Fast seam,Australian
Australia,2004,Glenn McGrath,1970-02-09,Right-handed,Fast seam,Australian
Australia,2006,Adam Gilchrist,1971-11-14,Left-handed,Off spin,Australian
Australia,2006,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2006,Ricky Ponting,1974-12-19,Right-handed,Medium seam,Australian
Australia,2006,Damien Martyn,1971-10-21,Right-handed,Medium seam,Australian
Australia,2006,Andrew Symonds,1975-06-09,Right-handed,Medium seam,Australian
