team,year,stage,group,pos,m,w,l,t,n_r,pt,nrr
Australia,2002,Pool,1,1,2,2,0,0,0,8,3.461
New Zealand,2002,Pool,1,2,2,1,1,0,0,4,0.03
Bangladesh,2002,Pool,1,3,2,0,2,0,0,0,-3.275
India,2002,Pool,2,1,2,2,0,0,0,8,0.816
England,2002,Pool,2,2,2,1,1,0,0,4,0.401
Zimbabwe,2002,Pool,2,3,2,0,2,0,0,0,-1.125
South Africa,2002,Pool,3,1,2,2,0,0,0,8,1.856
West Indies,2002,Pool,3,2,2,1,1,0,0,4,0.202
Kenya,2002,Pool,3,3,2,0,2,0,0,0,-2.05
Sri Lanka,2002,Pool,4,1,2,2,0,0,0,8,2.861
Pakistan,2002,Pool,4,2,2,1,1,0,0,4,1.245
Netherlands,2002,Pool,4,3,2,0,2,0,0,0,-4.323
India,2025,Group Stage,A,1,3,3,0,0,0,6,0.715
New Zealand,2025,Group Stage,A,2,3,2,1,0,0,4,0.267
Bangladesh,2025,Group Stage,A,3,3,0,2,0,1,1,-0.443
Pakistan,2025,Group Stage,A,4,3,0,2,0,1,1,-1.087
South Africa,2025,Group Stage,B,1,3,2,0,0,1,5,2.395
Australia,2025,Group Stage,B,2,3,1,0,0,2,4,0.475
Afghanistan,2025,Group Stage,B,3,3,1,1,0,1,3,-0.99
England,2025,Group Stage,B,4,3,0,3,0,0,0,-1.159
Australia,2004,Pool,A,1,2,2,0,0,0,4,3.237
New Zealand,2004,Pool,A,2,2,1,1,0,0,2,1.603
United States,2004,Pool,A,3,2,0,2,0,0,0,-5.121
West Indies,2004,Pool,B,1,2,2,0,0,0,4,1.471
South Africa,2004,Pool,B,2,2,1,1,0,0,2,1.552
Bangladesh,2004,Pool,B,3,2,0,2,0,0,0,-3.111
Pakistan,2004,Pool,C,1,2,2,0,0,0,4,1.413
India,2004,Pool,C,2,2,1,1,0,0,2,0.944
Kenya,2004,Pool,C,3,2,0,2,0,0,0,-2.747
England,2004,Pool,D,1,2,2,0,0,0,4,2.716
Sri Lanka,2004,Pool,D,2,2,1,1,0,0,2,-0.252
Zimbabwe,2004,Pool,D,3,2,0,2,0,0,0,-1.885
Sri Lanka,2006,Qualifying Round,,1,3,3,0,0,0,6,2.672
West Indies,2006,Qualifying Round,,2,3,2,1,0,0,4,0.404
Bangladesh,2006,Qualifying Round,,3,3,1,2,0,0,2,0.019
Zimbabwe,2006,Qualifying Round,,4,3,0,3,0,0,0,-2.927
Australia,2006,Group Stage,A,1,3,2,1,0,0,4,0.529
West Indies,2006,Group Stage,A,2,3,2,1,0,0,4,0.009
India,2006,Group Stage,A,3,3,1,2,0,0,2,0.482
England,2006,Group Stage,A,4,3,1,2,0,0,2,-1.044
South Africa,2006,Group Stage,B,1,3,2,1,0,0,4,0.767
New Zealand,2006,Group Stage,B,2,3,2,1,0,0,4,0.572
Sri Lanka,2006,Group Stage,B,3,3,1,2,0,0,2,-0.195
Pakistan,2006,Group Stage,B,4,3,1,2,0,0,2,-1.107
Australia,2009,Group Stage,A,1,3,2,0,0,1,5,0.51
Pakistan,2009,Group Stage,A,2,3,2,1,0,0,4,0.999
India,2009,Group Stage,A,3,3,1,1,0,1,3,0.29
West Indies,2009,Group Stage,A,4,3,0,3,0,0,0,-1.537
New Zealand,2009,Group Stage,B,1,3,2,1,0,0,4,0.782
England,2009,Group Stage,B,2,3,2,1,0,0,4,-0.487
Sri Lanka,2009,Group Stage,B,3,3,1,2,0,0,2,-0.085
South Africa,2009,Group Stage,B,4,3,1,2,0,0,2,-0.177
England,2013,Group Stage,A,1,3,2,1,0,0,4,0.308
Sri Lanka,2013,Group Stage,A,2,3,2,1,0,0,4,-0.197
New Zealand,2013,Group Stage,A,3,3,1,1,1,0,3,0.777
Australia,2013,Group Stage,A,4,3,0,2,0,1,1,-0.68
India,2013,Group Stage,B,1,3,3,0,0,0,6,0.938
South Africa,2013,Group Stage,B,2,3,1,1,1,0,3,0.325
West Indies,2013,Group Stage,B,3,3,1,1,1,0,3,-0.075
Pakistan,2013,Group Stage,B,4,3,0,3,0,0,0,-1.035
England,2017,Group Stage,A,1,3,3,0,0,0,6,1.045
Bangladesh,2017,Group Stage,A,2,3,1,1,0,1,3,0.0
Australia,2017,Group Stage,A,3,3,0,1,0,2,2,-0.992
New Zealand,2017,Group Stage,A,4,3,0,2,0,1,1,-1.058
India,2017,Group Stage,B,1,3,2,1,0,0,4,1.37
Pakistan,2017,Group Stage,B,2,3,2,1,0,0,4,-0.68
South Africa,2017,Group Stage,B,3,3,1,2,0,0,2,0.167
Sri Lanka,2017,Group Stage,B,4,3,1,2,0,0,2,-0.798
