stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_runs,Most Runs (career),1,SR Tendulkar (IND),1992-2011,45.0,44.0,4.0,2278,152,56.95,2560.0,88.98,6.0,15.0,2.0,241,27,,,,,,,,,,,,,,,
most_runs,Most Runs (career),2,V Kohli (IND),2011-2023,37.0,37.0,7.0,1795,117,59.83,2035.0,88.2,5.0,12.0,1.0,159,14,,,,,,,,,,,,,,,
most_runs,Most Runs (career),3,RT Ponting (AUS),1996-2011,46.0,42.0,4.0,1743,140*,45.86,2180.0,79.95,5.0,6.0,1.0,145,31,,,,,,,,,,,,,,,
most_runs,Most Runs (career),4,RG Sharma (IND),2015-2023,28.0,28.0,2.0,1575,140,60.57,1493.0,105.49,7.0,6.0,2.0,166,54,,,,,,,,,,,,,,,
most_runs,Most Runs (career),5,KC Sangakkara (SL),2003-2015,37.0,35.0,8.0,1532,124,56.74,1770.0,86.55,5.0,7.0,1.0,147,14,,,,,,,,,,,,,,,
most_runs,Most Runs (career),6,DA Warner (AUS),2015-2023,29.0,29.0,2.0,1527,178,56.55,1505.0,101.46,6.0,5.0,0.0,154,41,,,,,,,,,,,,,,,
most_runs,Most Runs (career),7,Shakib Al Hasan (BAN),2007-2023,36.0,36.0,4.0,1332,124*,41.62,1619.0,82.27,2.0,11.0,1.0,128,12,,,,,,,,,,,,,,,
most_runs,Most Runs (career),8,BC Lara (WI),1992-2007,34.0,33.0,4.0,1225,116,42.24,1420.0,86.26,2.0,7.0,1.0,131,17,,,,,,,,,,,,,,,
most_runs,Most Runs (career),9,AB de Villiers (SA),2007-2015,23.0,22.0,3.0,1207,162*,63.52,1029.0,117.29,4.0,6.0,4.0,121,37,,,,,,,,,,,,,,,
most_runs,Most Runs (career),10,CH Gayle (WI),2003-2019,35.0,34.0,1.0,1186,215,35.93,1310.0,90.53,2.0,6.0,2.0,116,49,,,,,,,,,,,,,,,
most_runs,Most Runs (career),11,KS Williamson (NZ),2011-2023,27.0,26.0,7.0,1167,148,61.42,1437.0,81.21,2.0,6.0,0.0,114,10,,,,,,,,,,,,,,,
most_runs,Most Runs (career),12,ST Jayasuriya (SL),1992-2007,38.0,37.0,3.0,1165,120,34.26,1285.0,90.66,3.0,6.0,0.0,120,27,,,,,,,,,,,,,,,
