match_id,year,stage,match_number,match_date,ground,country,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,win_margin,toss
ODIWC-1975-1,1975,Group A,1,1975-06-07,"Lord's, London",England,England,334,4,60.0,India,132,3,60.0,England,202 runs,England
ODIWC-1975-2,1975,Group A,2,1975-06-07,"Edgbaston, Birmingham",England,New Zealand,309,5,60.0,East Africa,128,8,60.0,New Zealand,181 runs,New Zealand
ODIWC-1975-3,1975,Group B,3,1975-06-07,"Headingley, Leeds",England,Australia,278,7,60.0,Pakistan,205,10,53.0,Australia,73 runs,Australia
ODIWC-1975-4,1975,Group B,4,1975-06-07,"Old Trafford, Manchester",England,Sri Lanka,86,10,37.2,West Indies,87,1,20.4,West Indies,9 wickets,West Indies
ODIWC-1975-5,1975,Group A,5,1975-06-11,"Trent Bridge, Nottingham",England,England,266,6,60.0,New Zealand,186,10,60.0,England,80 runs,New Zealand
ODIWC-1975-6,1975,Group A,6,1975-06-11,"Headingley, Leeds",England,East Africa,120,10,55.3,India,123,0,29.5,India,10 wickets,East Africa
ODIWC-1975-7,1975,Group B,7,1975-06-11,"Kennington Oval, London",England,Australia,328,5,60.0,Sri Lanka,276,4,60.0,Australia,52 runs,Sri Lanka
ODIWC-1975-8,1975,Group B,8,1975-06-11,"Edgbaston, Birmingham",England,Pakistan,266,7,60.0,West Indies,267,9,59.4,West Indies,1 wickets,Pakistan
ODIWC-1975-9,1975,Group A,9,1975-06-14,"Edgbaston, Birmingham",England,England,290,5,60.0,East Africa,94,10,52.3,England,196 runs,East Africa
ODIWC-1975-10,1975,Group A,10,1975-06-14,"Old Trafford, Manchester",England,India,230,10,60.0,New Zealand,233,6,58.5,New Zealand,4 wickets,India
ODIWC-1975-11,1975,Group B,11,1975-06-14,"Kennington Oval, London",England,Australia,192,10,53.4,West Indies,195,3,46.0,West Indies,7 wickets,West Indies
ODIWC-1975-12,1975,Group B,12,1975-06-14,"Trent Bridge, Nottingham",England,Pakistan,330,6,60.0,Sri Lanka,138,10,50.1,Pakistan,192 runs,Sri Lanka
ODIWC-1975-13,1975,tournament semi-finals,13,1975-06-18,"Headingley, Leeds",England,England,93,10,36.2,Australia,94,6,28.4,Australia,4 wickets,Australia
ODIWC-1975-14,1975,tournament semi-finals,14,1975-06-18,"Kennington Oval, London",England,New Zealand,158,10,52.2,West Indies,159,5,40.1,West Indies,5 wickets,West Indies
ODIWC-1975-15,1975,tournament finals,15,1975-06-21,"Lord's, London",England,West Indies,291,8,60.0,Australia,274,10,58.4,West Indies,17 runs,Australia
ODIWC-1979-1,1979,Group B,1,1979-06-09,"Edgbaston, Birmingham",England,India,190,10,53.1,West Indies,194,1,51.3,West Indies,9 wickets,West Indies
ODIWC-1979-2,1979,Group B,2,1979-06-09,"Trent Bridge, Nottingham",England,Sri Lanka,189,10,56.5,New Zealand,190,1,47.4,New Zealand,9 wickets,New Zealand
ODIWC-1979-3,1979,Group A,3,1979-06-09,"Lord's, London",England,Australia,159,9,60.0,England,160,4,47.1,England,6 wickets,England
ODIWC-1979-4,1979,Group A,4,1979-06-09,"Headingley, Leeds",England,Canada,139,9,60.0,Pakistan,140,2,40.1,Pakistan,8 wickets,Canada
ODIWC-1979-5,1979,Group B,5,1979-06-13,"Kennington Oval, London",England,Sri Lanka,0,0,0.0,West Indies,0,0,0.0,No Result,,
ODIWC-1979-6,1979,Group B,6,1979-06-13,"Headingley, Leeds",England,India,182,10,55.5,New Zealand,183,2,57.0,New Zealand,8 wickets,New Zealand
ODIWC-1979-7,1979,Group A,7,1979-06-13,"Trent Bridge, Nottingham",England,Pakistan,286,7,60.0,Australia,197,10,57.1,Pakistan,89 runs,Australia
ODIWC-1979-8,1979,Group A,8,1979-06-13,"Old Trafford, Manchester",England,Canada,45,10,40.3,England,46,2,13.5,England,8 wickets,Canada
ODIWC-1979-9,1979,Group B,9,1979-06-16,"Old Trafford, Manchester",England,Sri Lanka,238,5,60.0,India,191,10,54.1,Sri Lanka,47 runs,India
ODIWC-1979-10,1979,Group B,10,1979-06-16,"Trent Bridge, Nottingham",England,West Indies,244,7,60.0,New Zealand,212,9,60.0,West Indies,32 runs,New Zealand
ODIWC-1979-11,1979,Group A,11,1979-06-16,"Edgbaston, Birmingham",England,Canada,105,10,33.2,Australia,106,3,26.0,Australia,7 wickets,Australia
ODIWC-1979-12,1979,Group A,12,1979-06-16,"Headingley, Leeds",England,England,165,9,60.0,Pakistan,151,10,56.0,England,14 runs,Pakistan
ODIWC-1979-13,1979,tournament semi-finals,13,1979-06-20,"Old Trafford, Manchester",England,England,221,8,60.0,New Zealand,212,9,60.0,England,9 runs,New Zealand
ODIWC-1979-14,1979,tournament semi-finals,14,1979-06-20,"Kennington Oval, London",England,West Indies,293,6,60.0,Pakistan,250,10,56.2,West Indies,43 runs,Pakistan
ODIWC-1979-15,1979,tournament finals,15,1979-06-23,"Lord's, London",England,West Indies,286,9,60.0,England,194,10,51.0,West Indies,92 runs,England
ODIWC-1983-1,1983,Group A,1,1983-06-09,"Kennington Oval, London",England,England,322,6,60.0,New Zealand,216,10,59.0,England,106 runs,England
ODIWC-1983-2,1983,Group A,2,1983-06-09,"St Helen's, Swansea",England,Pakistan,338,5,60.0,Sri Lanka,288,9,60.0,Pakistan,50 runs,Sri Lanka
ODIWC-1983-3,1983,Group B,3,1983-06-09,"Trent Bridge, Nottingham",England,Zimbabwe,239,6,60.0,Australia,226,7,60.0,Zimbabwe,13 runs,Australia
ODIWC-1983-4,1983,Group B,4,1983-06-09,"Old Trafford, Manchester",England,India,262,8,60.0,West Indies,228,10,54.1,India,34 runs,West Indies
ODIWC-1983-5,1983,Group A,5,1983-06-11,"County Ground, Taunton",England,England,333,9,60.0,Sri Lanka,286,10,58.0,England,47 runs,England
ODIWC-1983-6,1983,Group A,6,1983-06-11,"Edgbaston, Birmingham",England,New Zealand,238,9,60.0,Pakistan,186,10,55.2,New Zealand,52 runs,Pakistan
ODIWC-1983-7,1983,Group B,7,1983-06-11,"Headingley, Leeds",England,West Indies,252,9,60.0,Australia,151,9,30.3,West Indies,101 runs,Australia
ODIWC-1983-8,1983,Group B,8,1983-06-11,"Grace Road, Leicester",England,Zimbabwe,155,10,51.4,India,157,5,37.3,India,5 wickets,India
ODIWC-1983-9,1983,Group A,9,1983-06-13,"Lord's, London",England,Pakistan,193,8,60.0,England,199,2,50.4,England,8 wickets,Pakistan
ODIWC-1983-10,1983,Group A,10,1983-06-13,"Phoenix County Ground, Bristol",England,Sri Lanka,206,10,56.1,New Zealand,209,5,39.2,New Zealand,5 wickets,New Zealand
ODIWC-1983-11,1983,Group B,11,1983-06-13,"Trent Bridge, Nottingham",England,Australia,320,9,60.0,India,158,10,37.5,Australia,162 runs,Australia
ODIWC-1983-12,1983,Group B,12,1983-06-13,"County Ground, New Road, Worcester",England,Zimbabwe,217,7,60.0,West Indies,218,2,48.3,West Indies,8 wickets,West Indies
ODIWC-1983-13,1983,Group A,13,1983-06-15,"Edgbaston, Birmingham",England,England,234,10,55.2,New Zealand,238,8,59.5,New Zealand,2 wickets,England
ODIWC-1983-14,1983,Group B,14,1983-06-15,"Kennington Oval, London",England,West Indies,282,9,60.0,India,216,9,53.1,West Indies,66 runs,West Indies
ODIWC-1983-15,1983,Group A,15,1983-06-16,"Headingley, Leeds",England,Pakistan,235,7,60.0,Sri Lanka,224,10,58.3,Pakistan,11 runs,Sri Lanka
ODIWC-1983-16,1983,Group B,16,1983-06-16,"County Ground, Southampton",England,Australia,272,7,60.0,Zimbabwe,240,10,59.5,Australia,32 runs,Australia
ODIWC-1983-17,1983,Group A,17,1983-06-18,"Old Trafford, Manchester",England,Pakistan,232,8,60.0,England,233,3,57.2,England,7 wickets,Pakistan
ODIWC-1983-18,1983,Group A,18,1983-06-18,"County Ground, Derby",England,New Zealand,181,10,58.2,Sri Lanka,184,7,52.5,Sri Lanka,3 wickets,Sri Lanka
ODIWC-1983-19,1983,Group B,19,1983-06-18,"Lord's, London",England,Australia,273,6,60.0,West Indies,276,3,57.5,West Indies,7 wickets,Australia
ODIWC-1983-20,1983,Group B,20,1983-06-18,"Nevill Ground, Tunbridge Wells",England,India,266,8,60.0,Zimbabwe,235,10,57.0,India,31 runs,India
ODIWC-1983-21,1983,Group A,21,1983-06-20,"Headingley, Leeds",England,Sri Lanka,136,10,50.4,England,137,1,24.1,England,9 wickets,England
ODIWC-1983-22,1983,Group A,22,1983-06-20,"Trent Bridge, Nottingham",England,Pakistan,261,3,60.0,New Zealand,250,10,59.1,Pakistan,11 runs,Pakistan
ODIWC-1983-23,1983,Group B,23,1983-06-20,"County Ground, Chelmsford",England,India,247,10,55.5,Australia,129,10,38.2,India,118 runs,India
ODIWC-1983-24,1983,Group B,24,1983-06-20,"Edgbaston, Birmingham",England,Zimbabwe,171,10,60.0,West Indies,172,0,45.1,West Indies,10 wickets,Zimbabwe
ODIWC-1983-25,1983,tournament semi-finals,25,1983-06-22,"Old Trafford, Manchester",England,England,213,10,60.0,India,217,4,54.4,India,6 wickets,England
ODIWC-1983-26,1983,tournament semi-finals,26,1983-06-22,"Kennington Oval, London",England,Pakistan,184,8,60.0,West Indies,188,2,48.4,West Indies,8 wickets,West Indies
ODIWC-1983-27,1983,tournament finals,27,1983-06-25,"Lord's, London",England,India,183,10,54.4,West Indies,140,10,52.0,India,43 runs,West Indies
ODIWC-1987-1,1987,Group B,1,1987-10-08,"Niaz Stadium, Hyderabad, Sind",Pakistan,Pakistan,267,6,50.0,Sri Lanka,252,10,49.2,Pakistan,15 runs,Pakistan
ODIWC-1987-2,1987,Group B,2,1987-10-09,"Municipal Stadium, Gujranwala",Pakistan,West Indies,243,7,50.0,England,246,8,49.3,England,2 wickets,England
ODIWC-1987-3,1987,Group A,3,1987-10-09,"MA Chidambaram Stadium, Chepauk, Madras",India,Australia,270,6,50.0,India,269,10,49.5,Australia,1 runs,India
ODIWC-1987-4,1987,Group A,4,1987-10-10,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",India,New Zealand,242,7,50.0,Zimbabwe,239,10,49.4,New Zealand,3 runs,Zimbabwe
ODIWC-1987-5,1987,Group B,5,1987-10-12,"Pindi Club Ground, Rawalpindi",Pakistan,Pakistan,239,7,50.0,England,221,10,48.4,Pakistan,18 runs,England
ODIWC-1987-6,1987,Group A,6,1987-10-13,"MA Chidambaram Stadium, Chepauk, Madras",India,Australia,235,9,50.0,Zimbabwe,139,10,42.4,Australia,96 runs,Zimbabwe
ODIWC-1987-7,1987,Group B,7,1987-10-13,"National Stadium, Karachi",Pakistan,West Indies,360,4,50.0,Sri Lanka,169,4,50.0,West Indies,191 runs,Sri Lanka
ODIWC-1987-8,1987,Group A,8,1987-10-14,"M Chinnaswamy Stadium, Bangalore",India,India,252,7,50.0,New Zealand,236,8,50.0,India,16 runs,New Zealand
ODIWC-1987-9,1987,Group B,9,1987-10-16,"Gaddafi Stadium, Lahore",Pakistan,West Indies,216,10,49.3,Pakistan,217,9,50.0,Pakistan,1 wickets,West Indies
ODIWC-1987-10,1987,Group B,10,1987-10-17,"Arbab Niaz Stadium, Peshawar",Pakistan,England,296,4,50.0,Sri Lanka,158,8,45.0,England,108 runs,England
ODIWC-1987-11,1987,Group A,11,1987-10-17,"Wankhede Stadium, Bombay",India,Zimbabwe,135,10,44.2,India,136,2,27.5,India,8 wickets,Zimbabwe
ODIWC-1987-12,1987,Group A,12,1987-10-18,"Nehru Stadium, Indore",India,Australia,199,4,30.0,New Zealand,196,9,30.0,Australia,3 runs,New Zealand
ODIWC-1987-13,1987,Group B,13,1987-10-20,"National Stadium, Karachi",Pakistan,England,244,9,50.0,Pakistan,247,3,49.0,Pakistan,7 wickets,Pakistan
ODIWC-1987-14,1987,Group B,14,1987-10-21,"Green Park, Kanpur",India,West Indies,236,8,50.0,Sri Lanka,211,8,50.0,West Indies,25 runs,Sri Lanka
ODIWC-1987-15,1987,Group A,15,1987-10-22,"Feroz Shah Kotla, Delhi",India,India,289,6,50.0,Australia,233,10,49.0,India,56 runs,Australia
ODIWC-1987-16,1987,Group A,16,1987-10-23,"Eden Gardens, Calcutta",India,Zimbabwe,227,5,50.0,New Zealand,228,6,47.4,New Zealand,4 wickets,New Zealand
ODIWC-1987-17,1987,Group B,17,1987-10-25,"Iqbal Stadium, Faisalabad",Pakistan,Pakistan,297,7,50.0,Sri Lanka,184,8,50.0,Pakistan,113 runs,Pakistan
ODIWC-1987-18,1987,Group B,18,1987-10-26,"Sawai Mansingh Stadium, Jaipur",India,England,269,5,50.0,West Indies,235,10,48.1,England,34 runs,West Indies
ODIWC-1987-19,1987,Group A,19,1987-10-26,"Gujarat Stadium, Motera, Ahmedabad",India,Zimbabwe,191,7,50.0,India,194,3,42.0,India,7 wickets,India
ODIWC-1987-20,1987,Group A,20,1987-10-27,"Sector 16 Stadium, Chandigarh",India,Australia,251,8,50.0,New Zealand,234,10,48.4,Australia,17 runs,Australia
ODIWC-1987-21,1987,Group A,21,1987-10-30,"Barabati Stadium, Cuttack",India,Australia,266,5,50.0,Zimbabwe,196,6,50.0,Australia,70 runs,Zimbabwe
ODIWC-1987-22,1987,Group B,22,1987-10-30,"Nehru Stadium, Pune",India,Sri Lanka,218,7,50.0,England,219,2,41.2,England,8 wickets,Sri Lanka
ODIWC-1987-23,1987,Group B,23,1987-10-30,"National Stadium, Karachi",Pakistan,West Indies,258,7,50.0,Pakistan,230,9,50.0,West Indies,28 runs,West Indies
ODIWC-1987-24,1987,Group A,24,1987-10-31,"Vidarbha Cricket Association Ground, Nagpur",India,New Zealand,221,9,50.0,India,224,1,32.1,India,9 wickets,New Zealand
