team,year,player_name,dob,batting_style,bowling_style,first_class_team
Australia,1975,Alan Hurst,15 July 1950,Right-handed,Right-arm fast,Victoria
Australia,1975,Alan Turner,23 July 1950,Left-handed,,New South Wales
Australia,1975,Ashley Mallett,13 July 1945,Right-handed,Right-arm offbreak,South Australia
Australia,1975,Bruce Laird,21 November 1950,Right-handed,,Western Australia
Australia,1975,Dennis Lillee,18 July 1949,Right-handed,Right-arm fast,Western Australia
Australia,1975,Doug Walters,21 December 1945,Right-handed,Right-arm medium,New South Wales
Australia,1975,Gary Gilmour,26 June 1951,Left-handed,Left-arm fast-medium,New South Wales
Australia,1975,Greg Chappell (vc),7 August 1948,Right-handed,Right-arm medium,Queensland
Australia,1975,Ian Chappell (c),26 September 1943,Right-handed,Right-arm leg spin,South Australia
Australia,1975,Jeff Thomson,16 August 1950,Right-handed,Right-arm fast,Queensland
Australia,1975,Max Walker,12 September 1948,Right-handed,Right-arm fast-medium,Victoria
Australia,1975,Rick McCosker,11 December 1946,Right-handed,Right-arm legbreak,New South Wales
Australia,1975,Rod Marsh (wk),4 November 1947,Left-handed,Wicket-keeper,Western Australia
Australia,1975,Ross Edwards,1 December 1942,Right-handed,Wicket-keeper,Western Australia
East Africa,1975,Don Pringle,1 May 1932,Right-handed,Right-arm medium,Kenya
East Africa,1975,Frasat Ali,31 July 1949,Right-handed,Right-arm medium,Kenya
East Africa,1975,Hamish McLeod (wk),,Left-handed,Wicket-keeper,Zambia
East Africa,1975,Harilal Shah (c),14 April 1943,Right-handed,Right-arm medium,Kenya
East Africa,1975,Jawahir Shah,1942,Right-handed,,Kenya
East Africa,1975,John Nagenda,25 April 1938,Right-handed,Right-arm fast-medium,Uganda
East Africa,1975,Mehmood Quaraishy,4 February 1942,Right-handed,,Kenya
East Africa,1975,Parbhu Nana,17 August 1933,Right-handed,Left-arm orthodox spin,Zambia
East Africa,1975,Praful Mehta (wk),1941,Left-handed,Wicket-keeper,Tanzania
East Africa,1975,Ramesh Sethi,4 September 1941,Right-handed,Right-arm offbreak,Kenya
East Africa,1975,Samuel Walusimbi,1948,Right-handed,Left-arm medium,Uganda
East Africa,1975,Shiraz Sumar,1950,Right-handed,,Tanzania
East Africa,1975,Yunus Badat,1943,Right-handed,,Zambia
East Africa,1975,Zulfiqar Ali,1947,Right-handed,Right-arm medium,Kenya
England,1975,Alan Knott (wk),9 April 1946,Right-handed,Wicket-keeper,Kent
England,1975,Barry Wood,26 December 1942,Right-handed,Right-arm medium,Lancashire
England,1975,Bob Woolmer,14 May 1948,Right-handed,Right-arm medium,Kent
England,1975,Chris Old,22 December 1948,Left-handed,Right-arm fast-medium,Yorkshire
England,1975,Dennis Amiss,7 April 1943,Right-handed,,Warwickshire
