team,year,stage,group,pos,m,w,l,t,n_r,pt,nrr,seed,for,against
West Indies,1975,Group B,,,3,3,0,0,0,12.0,,,,
Australia,1975,Group B,,,3,2,1,0,0,8.0,,,,
Pakistan,1975,Group B,,,3,1,2,0,0,4.0,,,,
Sri Lanka,1975,Group B,,,3,0,3,0,0,0.0,,,,
England,1975,Group A,,,3,3,0,0,0,12.0,,,,
New Zealand,1975,Group A,,,3,2,1,0,0,8.0,,,,
India,1975,Group A,,,3,1,2,0,0,4.0,,,,
East Africa,1975,Group A,,,3,0,3,0,0,0.0,,,,
West Indies,1979,Group B,,,3,2,0,0,1,10.0,,,,
New Zealand,1979,Group B,,,3,2,1,0,0,8.0,,,,
Sri Lanka,1979,Group B,,,3,1,1,0,1,6.0,,,,
India,1979,Group B,,,3,0,3,0,0,0.0,,,,
England,1979,Group A,,,3,3,0,0,0,12.0,,,,
Pakistan,1979,Group A,,,3,2,1,0,0,8.0,,,,
Australia,1979,Group A,,,3,1,2,0,0,4.0,,,,
Canada,1979,Group A,,,3,0,3,0,0,0.0,,,,
West Indies,1983,Group B,,,6,5,1,0,0,20.0,,,,
India,1983,Group B,,,6,4,2,0,0,16.0,,,,
Australia,1983,Group B,,,6,2,4,0,0,8.0,,,,
Zimbabwe,1983,Group B,,,6,1,5,0,0,4.0,,,,
England,1983,Group A,,,6,5,1,0,0,20.0,,,,
Pakistan,1983,Group A,,,6,3,3,0,0,12.0,,,,
New Zealand,1983,Group A,,,6,3,3,0,0,12.0,,,,
Sri Lanka,1983,Group A,,,6,1,5,0,0,4.0,,,,
Pakistan,1987,Group B,,,6,5,1,0,0,20.0,,,,
England,1987,Group B,,,6,4,2,0,0,16.0,,,,
West Indies,1987,Group B,,,6,3,3,0,0,12.0,,,,
Sri Lanka,1987,Group B,,,6,0,6,0,0,0.0,,,,
India,1987,Group A,,,6,5,1,0,0,20.0,,,,
Australia,1987,Group A,,,6,5,1,0,0,20.0,,,,
New Zealand,1987,Group A,,,6,2,4,0,0,8.0,,,,
Zimbabwe,1987,Group A,,,6,0,6,0,0,0.0,,,,
New Zealand,1992,Points Table,,,8,7,1,0,0,14.0,0.592,,1606/337.2,1512/362.4
England,1992,Points Table,,,8,5,2,0,1,11.0,0.47,,1400/321.3,1289/331.5
South Africa,1992,Points Table,,,8,5,3,0,0,10.0,0.138,,1519/348.1,1437/340.1
Pakistan,1992,Points Table,,,8,4,3,0,1,9.0,0.166,,1423/328.5,1381/331.5
Australia,1992,Points Table,,,8,4,4,0,0,8.0,0.201,,1630/386.0,1531/380.4
West Indies,1992,Points Table,,,8,4,4,0,0,8.0,0.076,,1603/387.1,1562/384.2
India,1992,Points Table,,,8,2,5,0,1,5.0,0.137,,1439/291.0,1355/281.5
Sri Lanka,1992,Points Table,,,8,2,5,0,1,5.0,-0.686,,1469/349.1,1671/341.3
Zimbabwe,1992,Points Table,,,8,1,7,0,0,2.0,-1.142,,1345/333.1,1696/327.3
South Africa,1996,Group B,,,5,5,0,0,0,10.0,2.043,,1300/231.5,891/250.0
Pakistan,1996,Group B,,,5,4,1,0,0,8.0,0.961,,1036/196.2,981/227.2
New Zealand,1996,Group B,,,5,3,2,0,0,6.0,0.552,,1234/247.0,1042/234.3
England,1996,Group B,,,5,2,3,0,0,4.0,0.079,,1048/235.0,1085/247.4
United Arab Emirates,1996,Group B,,,5,1,4,0,0,2.0,-1.83,,784/224.2,1065/200.0
Netherlands,1996,Group B,,,5,0,5,0,0,0.0,-1.923,,947/250.0,1285/225.0
Sri Lanka,1996,Group A,,,5,5,0,0,0,10.0,1.607,,899/135.4,753/150.0
Australia,1996,Group A,,,5,3,2,0,0,6.0,0.903,,949/186.0,835/198.5
India,1996,Group A,,,5,3,2,0,0,6.0,0.452,,1137/231.3,1109/248.4
West Indies,1996,Group A,,,5,2,3,0,0,4.0,-0.134,,653/178.2,720/189.4
Zimbabwe,1996,Group A,,,5,1,4,0,0,2.0,-0.939,,877/242.2,923/202.3
Kenya,1996,Group A,,,5,1,4,0,0,2.0,-1.007,,960/250.0,1135/234.1
Pakistan,1999,Group B,,,5,4,1,0,0,8.0,0.526,,1195/249.0,1064/249.0
Australia,1999,Group B,,,5,3,2,0,0,6.0,0.731,,952/205.2,958/245.2
New Zealand,1999,Group B,,,5,3,2,0,0,6.0,0.575,,817/196.1,877/244.2
West Indies,1999,Group B,,,5,3,2,0,0,6.0,0.497,,723/201.0,746/240.4
Bangladesh,1999,Group B,,,5,2,3,0,0,4.0,-0.543,,884/250.0,805/197.2
Scotland,1999,Group B,,,5,0,5,0,0,0.0,-1.928,,700/248.0,821/172.5
Pakistan,1999,Super Sixes,,,5,3,2,0,0,6.0,0.654,,1215/250.0,1043/248.0
Australia,1999,Super Sixes,,,5,3,2,0,0,6.0,0.358,,1335/249.4,1224/245.2
South Africa,1999,Super Sixes,,,5,3,2,0,0,6.0,0.174,,1218/246.2,1191/249.4
New Zealand,1999,Super Sixes,,,5,2,2,0,1,5.0,-0.52,,887/193.4,1020/200.0
Zimbabwe,1999,Super Sixes,,,5,2,2,0,1,5.0,-0.786,,867/199.0,1008/196.0
India,1999,Super Sixes,,,5,1,4,0,0,2.0,-0.153,,1185/246.0,1221/245.4
South Africa,1999,Group A,,,5,4,1,0,0,8.0,0.859,,1016/238.2,851/250.0
India,1999,Group A,,,5,3,2,0,0,6.0,1.285,,1436/246.0,1126/247.2
Zimbabwe,1999,Group A,,,5,3,2,0,0,6.0,0.017,,1080/241.0,1029/230.3
England,1999,Group A,,,5,3,2,0,0,6.0,-0.331,,851/224.2,1031/250.0
Sri Lanka,1999,Group A,,,5,2,3,0,0,4.0,-0.809,,1003/246.0,1206/246.5
Kenya,1999,Group A,,,5,0,5,0,0,0.0,-1.198,,1049/250.0,1192/221.0
Sri Lanka,2003,Group B,,,6,4,1,1,0,,1.204,,1049/220.5,1046/295.0
Kenya,2003,Group B,,,6,4,2,0,0,,-0.691,,869/248.3,927/221.2
New Zealand,2003,Group B,,,6,4,2,0,0,,0.99,,1091/193.2,1112/239.0
West Indies,2003,Group B,,,6,3,2,0,1,,1.103,,1173/220.3,1050/249.0
South Africa,2003,Group B,,,6,3,2,1,0,,1.73,,1234/216.2,1120/281.5
Canada,2003,Group B,,,6,1,5,0,0,,-1.989,,947/300.0,1012/196.4
Bangladesh,2003,Group B,,,6,0,5,0,1,,-2.046,,735/250.0,831/166.4
Australia,2003,Group A,,,6,6,0,0,0,,2.045,,1392/255.3,970/285.0
India,2003,Group A,,,6,5,1,0,0,,1.108,,1421/295.4,1007/272.2
Zimbabwe,2003,Group A,,,6,3,2,0,1,,0.504,,909/175.1,809/172.4
England,2003,Group A,,,6,3,3,0,0,,0.821,,1034/223.2,951/249.4
Pakistan,2003,Group A,,,6,2,3,0,1,,0.227,,1143/249.0,1072/245.4
Netherlands,2003,Group A,,,6,1,5,0,0,,-1.454,,1072/286.0,1349/259.2
Namibia,2003,Group A,,,6,0,6,0,0,,-2.955,,830/275.1,1643/275.1
Australia,2003,Super Sixes,,,5,5,0,0,0,,1.854,,1081/201.1,880/250.0
India,2003,Super Sixes,,,5,4,1,0,0,,0.886,,1048/238.3,780/222.2
Kenya,2003,Super Sixes,,,5,3,2,0,0,,0.354,,744/176.0,694/179.1
Sri Lanka,2003,Super Sixes,,,5,2,3,0,0,,-0.844,,1017/250.0,1228/250.0
New Zealand,2003,Super Sixes,,,5,1,4,0,0,,-0.896,,736/197.2,882/190.4
Zimbabwe,2003,Super Sixes,,,5,0,5,0,0,,-1.254,,985/250.0,1147/220.5
West Indies,2007,Group D,,,3,3,0,0,0,,0.764,,635/136.0,578/148.0
Ireland,2007,Group D,,,3,1,1,1,0,,-0.092,,543/139.4,538/135.1
Pakistan,2007,Group D,,,3,1,2,0,0,,0.089,,506/117.0,473/111.4
Zimbabwe,2007,Group D,,,3,0,2,1,0,,-0.886,,522/120.0,617/117.5
