stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_runs,Most Runs (career),1,V Kohli (IND),2012-2024,35.0,33.0,11.0,1292,89*,58.72,1003.0,128.81,0.0,15.0,2.0,111.0,35.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),2,RG Sharma (IND),2007-2024,47.0,44.0,9.0,1220,92,34.85,917.0,133.04,0.0,12.0,1.0,115.0,50.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),3,JC Buttler (ENG),2012-2026,43.0,42.0,10.0,1100,101*,34.37,763.0,144.16,1.0,5.0,3.0,102.0,45.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),4,DPMD Jayawardene (SL),2007-2014,31.0,31.0,5.0,1016,100,39.07,754.0,134.74,1.0,6.0,1.0,111.0,25.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),5,DA Warner (AUS),2009-2024,41.0,41.0,3.0,984,89*,25.89,733.0,134.24,0.0,8.0,2.0,103.0,40.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),6,CH Gayle (WI),2007-2021,33.0,31.0,3.0,965,117,34.46,676.0,142.75,2.0,7.0,1.0,78.0,63.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),7,TM Dilshan (SL),2007-2016,35.0,34.0,5.0,897,96*,30.93,723.0,124.06,0.0,6.0,5.0,101.0,20.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),8,Shakib Al Hasan (BAN),2007-2024,43.0,43.0,6.0,853,84,23.05,710.0,120.14,0.0,4.0,3.0,74.0,24.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),9,Q de Kock (SA),2014-2026,35.0,35.0,1.0,834,74,24.52,620.0,134.51,0.0,5.0,4.0,91.0,34.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),10,KS Williamson (NZ),2012-2024,29.0,27.0,4.0,727,85,31.6,646.0,112.53,0.0,3.0,1.0,71.0,14.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),11,SA Yadav (IND),2021-2026,27.0,26.0,6.0,722,84*,36.1,479.0,150.73,0.0,6.0,1.0,67.0,31.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),12,AB de Villiers (SA),2007-2016,30.0,29.0,5.0,717,79*,29.87,500.0,143.4,0.0,5.0,0.0,51.0,30.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),13,P Nissanka (SL),2021-2026,25.0,25.0,1.0,696,100*,29.0,565.0,123.18,1.0,6.0,4.0,62.0,20.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),14,AK Markram (SA),2021-2026,27.0,26.0,5.0,670,86*,31.9,485.0,138.14,0.0,6.0,2.0,68.0,23.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),15,KC Sangakkara (SL),2007-2014,31.0,30.0,4.0,661,68,25.42,589.0,112.22,0.0,4.0,2.0,63.0,11.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),16,Shoaib Malik (PAK),2007-2021,34.0,31.0,12.0,646,57,34.0,524.0,123.28,0.0,3.0,0.0,47.0,17.0,,,,,,,,,,,,,,,
most_runs,Most Runs (career),17,GJ Maxwell (AUS),2012-2026,35.0,30.0,6.0,640,74,26.66,451.0,141.9,0.0,3.0,1.0,53.0,32.0,,,,,,,,,,,,,,,
