match_id,year,match_date,team1,team2,winner,team1_score,team2_score,margin,ground,host_country,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_wcs_participated,team1_total_wcs_won,team2_total_wcs_participated,team2_total_wcs_won,team1_win_pct_over_team2
T20WC-2007-1,2007,2007-09-11,South Africa,West Indies,South Africa,208-2 (17.4),205-6 (20),8 wickets,Johannesburg,South Africa,T20I # 20,71.67,65.87,80.33,70.67,0,0,0,0,0.0
T20WC-2007-2,2007,2007-09-12,Australia,Zimbabwe,Zimbabwe,138-9 (20),139-5 (19.5),5 wickets,Cape Town,South Africa,T20I # 23,66.15,92.8,62.0,93.0,0,0,0,0,0.0
T20WC-2007-3,2007,2007-09-12,Pakistan,Scotland,Pakistan,171-9 (20),120 (19.5),51 runs,Durban,South Africa,T20I # 22,68.8,101.0,77.07,101.0,0,0,0,0,0.0
T20WC-2007-4,2007,2007-09-12,Kenya,New Zealand,New Zealand,73 (16.5),74-1 (7.4),9 wickets,Durban,South Africa,T20I # 21,86.4,71.53,84.73,82.4,0,0,0,0,0.0
T20WC-2007-5,2007,2007-09-13,Bangladesh,West Indies,Bangladesh,165-4 (18),164-8 (20),6 wickets,Johannesburg,South Africa,T20I # 24,74.53,69.13,75.87,68.4,0,0,0,0,0.0
T20WC-2007-6,2007,2007-09-13,England,Zimbabwe,England,188-9 (20),138-7 (20),50 runs,Cape Town,South Africa,T20I # 25,73.53,84.53,76.07,82.8,0,0,0,0,0.0
T20WC-2007-7,2007,2007-09-13,India,Scotland,no result,,,-,Durban,South Africa,T20I # 26,94.93,95.33,97.8,95.6,0,0,0,0,0.0
T20WC-2007-8,2007,2007-09-14,Kenya,Sri Lanka,Sri Lanka,88 (19.3),260-6 (20),172 runs,Johannesburg,South Africa,T20I # 27,89.13,83.8,88.73,81.6,0,0,0,0,0.0
T20WC-2007-9,2007,2007-09-14,Australia,England,Australia,136-2 (14.5),135 (20),8 wickets,Cape Town,South Africa,T20I # 28,64.62,72.6,61.54,69.73,0,0,0,0,50.0
T20WC-2007-10,2007,2007-09-14,India,Pakistan,tied,141-9 (20),141-7 (20),-,Durban,South Africa,T20I # 29,95.13,67.0,97.4,73.27,0,0,0,0,0.0
T20WC-2007-11,2007,2007-09-15,New Zealand,Sri Lanka,Sri Lanka,164-7 (20),168-3 (18.5),7 wickets,Johannesburg,South Africa,T20I # 30,75.4,74.27,82.73,77.07,0,0,0,0,50.0
T20WC-2007-12,2007,2007-09-15,South Africa,Bangladesh,South Africa,146-3 (18.5),144 (19.3),7 wickets,Cape Town,South Africa,T20I # 31,72.07,73.2,81.0,72.4,0,0,0,0,0.0
T20WC-2007-13,2007,2007-09-16,India,New Zealand,New Zealand,180-9 (20),190 (20),10 runs,Johannesburg,South Africa,T20I # 32,87.0,70.33,90.2,75.2,0,0,0,0,0.0
T20WC-2007-14,2007,2007-09-16,South Africa,England,South Africa,154-8 (20),135-7 (20),19 runs,Cape Town,South Africa,T20I # 34,71.67,70.07,75.4,69.8,0,0,0,0,0.0
T20WC-2007-15,2007,2007-09-16,Australia,Bangladesh,Australia,124-1 (13.5),123-8 (20),9 wickets,Cape Town,South Africa,T20I # 33,65.46,72.47,60.08,71.4,0,0,0,0,0.0
T20WC-2007-16,2007,2007-09-17,Pakistan,Sri Lanka,Pakistan,189-6 (20),156-9 (20),33 runs,Johannesburg,South Africa,T20I # 35,70.07,74.13,74.07,74.87,0,0,0,0,0.0
T20WC-2007-17,2007,2007-09-18,England,New Zealand,New Zealand,159-8 (20),164-9 (20),5 runs,Durban,South Africa,T20I # 36,69.53,66.4,69.2,72.33,0,0,0,0,0.0
T20WC-2007-18,2007,2007-09-18,Australia,Pakistan,Pakistan,164-7 (20),165-4 (19.1),6 wickets,Johannesburg,South Africa,T20I # 37,66.85,69.27,59.15,69.07,0,0,0,0,0.0
T20WC-2007-19,2007,2007-09-18,Bangladesh,Sri Lanka,Sri Lanka,83 (15.5),147-5 (20),64 runs,Johannesburg,South Africa,T20I # 38,73.53,72.4,72.33,72.13,0,0,0,0,0.0
T20WC-2007-20,2007,2007-09-19,South Africa,New Zealand,South Africa,158-4 (19.1),153-8 (20),6 wickets,Durban,South Africa,T20I # 39,70.8,65.73,74.93,69.6,0,0,0,0,0.0
T20WC-2007-21,2007,2007-09-19,England,India,India,200-6 (20),218-4 (20),18 runs,Durban,South Africa,T20I # 40,65.87,81.53,73.27,88.8,0,0,0,0,50.0
