team,year,player_name,dob,batting_style,bowling_style,nationality
Afghanistan,2010,Nawroz Mangal,1984-07-15,Right-handed,Right-arm off break,Afghan
Afghanistan,2010,Asghar Afghan,1987-12-26,Right-handed,Medium seam,Afghan
Afghanistan,2010,Karim Sadiq,1984-01-05,Right-handed,,Afghan
Afghanistan,2010,Mohammad Shahzad,1987-01-10,Right-handed,Wicket-keeper,Afghan
Afghanistan,2010,Noor Ali Zadran,1988-07-10,Right-handed,Medium seam,Afghan
Afghanistan,2010,Raees Ahmadzai,,,,
Afghanistan,2010,Shabir Noori,1992-02-22,Right-handed,,Afghan
Afghanistan,2010,Shafiqullah,1989-08-07,Right-handed,,Afghan
Afghanistan,2010,Mohammad Nabi,1985-01-01,Right-handed,Off spin,Afghan
Afghanistan,2010,Samiullah Shinwari,1987-12-31,Right-handed,Leg spin,Afghan
Afghanistan,2010,Dawlat Ahmadzai,,,,
Afghanistan,2010,Hamid Hassan,1987-06-01,Right-handed,Fast seam,Afghan
Afghanistan,2010,Mirwais Ashraf,1988-09-04,Right-handed,Right-arm medium-fast,Afghan
Afghanistan,2010,Shapoor Zadran,1987-07-08,Left-handed,Fast seam,Afghan
Afghanistan,2010,Sayed Nasratullah,,,,
Afghanistan,2012,Nawroz Mangal,1984-07-15,Right-handed,Right-arm off break,Afghan
Afghanistan,2012,Asghar Afghan,1987-12-26,Right-handed,Medium seam,Afghan
Afghanistan,2012,Javed Ahmadi,1992-01-02,Right-handed,Off spin,Afghan
Afghanistan,2012,Karim Sadiq,1984-01-05,Right-handed,,Afghan
Afghanistan,2012,Mohammad Shahzad,1987-01-10,Right-handed,Wicket-keeper,Afghan
Afghanistan,2012,Najibullah Zadran,1993-02-28,Left-handed,Off spin,Afghan
Afghanistan,2012,Shafiqullah,1989-08-07,Right-handed,,Afghan
Afghanistan,2012,Gulbadin Naib,1991-03-16,Right-handed,Medium seam,Afghan
Afghanistan,2012,Mohammad Nabi,1985-01-01,Right-handed,Off spin,Afghan
Afghanistan,2012,Samiullah Shinwari,1987-12-31,Right-handed,Leg spin,Afghan
Afghanistan,2012,Dawlat Zadran,1988-03-19,Right-handed,Fast seam,Afghan
Afghanistan,2012,Hamid Hassan,1987-06-01,Right-handed,Fast seam,Afghan
Afghanistan,2012,Izatullah Dawlatzai,,Right-handed,,
Afghanistan,2012,Mohammad Nasim Baras,,,,
Afghanistan,2012,Shapoor Zadran,1987-07-08,Left-handed,Fast seam,Afghan
Afghanistan,2014,Asghar Afghan,1987-12-26,Right-handed,Medium seam,Afghan
Afghanistan,2014,Karim Sadiq,1984-01-05,Right-handed,,Afghan
Afghanistan,2014,Mohammad Shahzad,1987-01-10,Right-handed,Wicket-keeper,Afghan
Afghanistan,2014,Najeeb Tarakai,1991-02-02,Right-handed,Off spin,Afghan
Afghanistan,2014,Najibullah Zadran,1993-02-28,Left-handed,Off spin,Afghan
Afghanistan,2014,Nawroz Mangal,1984-07-15,Right-handed,Right-arm off break,Afghan
Afghanistan,2014,Shafiqullah,1989-08-07,Right-handed,,Afghan
Afghanistan,2014,Mohammad Nabi,1985-01-01,Right-handed,Off spin,Afghan
Afghanistan,2014,Amir Hamza,1991-08-15,Right-handed,,Afghan
Afghanistan,2014,Gulbadin Naib,1991-03-16,Right-handed,Medium seam,Afghan
Afghanistan,2014,Samiullah Shinwari,1987-12-31,Right-handed,Leg spin,Afghan
Afghanistan,2014,Aftab Alam,1992-11-30,Right-handed,Medium seam,Afghan
Afghanistan,2014,Dawlat Zadran,1988-03-19,Right-handed,Fast seam,Afghan
Afghanistan,2014,Mirwais Ashraf,1988-09-04,Right-handed,Right-arm medium-fast,Afghan
Afghanistan,2014,Shapoor Zadran,1987-07-08,Left-handed,Fast seam,Afghan
Afghanistan,2016,Asghar Afghan,1987-12-26,Right-handed,Medium seam,Afghan
Afghanistan,2016,Karim Sadiq,1984-01-05,Right-handed,,Afghan
Afghanistan,2016,Mohammad Shahzad,1987-01-10,Right-handed,Wicket-keeper,Afghan
Afghanistan,2016,Najibullah Zadran,1993-02-28,Left-handed,Off spin,Afghan
Afghanistan,2016,Noor Ali Zadran,1988-07-10,Right-handed,Medium seam,Afghan
Afghanistan,2016,Shafiqullah,1989-08-07,Right-handed,,Afghan
Afghanistan,2016,Usman Ghani,1996-11-20,Right-handed,,Afghan
Afghanistan,2016,Amir Hamza,1991-08-15,Right-handed,,Afghan
Afghanistan,2016,Gulbadin Naib,1991-03-16,Right-handed,Medium seam,Afghan
Afghanistan,2016,Mohammad Nabi,1985-01-01,Right-handed,Off spin,Afghan
Afghanistan,2016,Rashid Khan,1959-12-15,Right-handed,Right-arm leg spin,Pakistani
Afghanistan,2016,Samiullah Shinwari,1987-12-31,Right-handed,Leg spin,Afghan
Afghanistan,2016,Dawlat Zadran,1988-03-19,Right-handed,Fast seam,Afghan
Afghanistan,2016,Hamid Hassan,1987-06-01,Right-handed,Fast seam,Afghan
Afghanistan,2016,Shapoor Zadran,1987-07-08,Left-handed,Fast seam,Afghan
Afghanistan,2021,Hashmatullah Shahidi,1994-11-04,Left-handed,Off spin,Afghan
Afghanistan,2021,Hazratullah Zazai,1998-03-23,Left-handed,Orthodox spin,Afghan
Afghanistan,2021,Mohammad Shahzad,1987-01-10,Right-handed,Wicket-keeper,Afghan
Afghanistan,2021,Najibullah Zadran,1993-02-28,Left-handed,Off spin,Afghan
Afghanistan,2021,Rahmanullah Gurbaz,2001-11-28,Right-handed,Medium seam,Afghan
Afghanistan,2021,Usman Ghani,1996-11-20,Right-handed,,Afghan
Afghanistan,2021,Mohammad Nabi,1985-01-01,Right-handed,Off spin,Afghan
Afghanistan,2021,Gulbadin Naib,1991-03-16,Right-handed,Medium seam,Afghan
Afghanistan,2021,Karim Janat,1998-08-11,Right-handed,,Afghan
Afghanistan,2021,Rashid Khan,1959-12-15,Right-handed,Right-arm leg spin,Pakistani
Afghanistan,2021,Sharafuddin Ashraf,1995-01-10,Right-handed,Orthodox spin,Afghan
Afghanistan,2021,Fareed Ahmad,1994-08-10,Left-handed,,Afghan
Afghanistan,2021,Hamid Hassan,1987-06-01,Right-handed,Fast seam,Afghan
Afghanistan,2021,Mujeeb Ur Rahman,2001-03-28,Right-handed,Off spin,Afghan
Afghanistan,2021,Naveen-ul-Haq,1999-09-23,Right-handed,Medium seam,Afghan
Afghanistan,2022,Darwish Rasooli,1999-12-12,Right-handed,Right-arm off break,
Afghanistan,2022,Ibrahim Zadran,2001-12-12,Right-handed,Medium seam,Afghan
Afghanistan,2022,Najibullah Zadran,1993-02-28,Left-handed,Off spin,Afghan
Afghanistan,2022,Rahmanullah Gurbaz,2001-11-28,Right-handed,Medium seam,Afghan
Afghanistan,2022,Usman Ghani,1996-11-20,Right-handed,,Afghan
Afghanistan,2022,Mohammad Nabi,1985-01-01,Right-handed,Off spin,Afghan
Afghanistan,2022,Azmatullah Omarzai,2000-03-24,Right-handed,Right-arm medium-fast,
