team,year,stage,group,pos,m,w,l,t,n_r,pt,nrr,seed
South Africa,2007,Group Stage,A,1,2,2,0,0,0,4,0.974,A1
Bangladesh,2007,Group Stage,A,2,2,1,1,0,0,2,0.149,A3
West Indies,2007,Group Stage,A,3,2,0,2,0,0,0,-1.233,A2
Australia,2007,Group Stage,B,1,2,1,1,0,0,2,0.987,B1
England,2007,Group Stage,B,2,2,1,1,0,0,2,0.209,B2
Zimbabwe,2007,Group Stage,B,3,2,1,1,0,0,2,-1.196,B3
Sri Lanka,2007,Group Stage,C,1,2,2,0,0,0,4,4.721,C2
New Zealand,2007,Group Stage,C,2,2,1,1,0,0,2,2.396,C1
Kenya,2007,Group Stage,C,3,2,0,2,0,0,0,-8.047,C3
India,2007,Group Stage,D,1,2,1,0,1,0,3,0.0,D2
Pakistan,2007,Group Stage,D,2,2,1,1,0,0,2,1.275,D1
Scotland,2007,Group Stage,D,3,2,0,1,0,1,1,-2.55,D3
India,2007,Super Eight,E,1,3,2,1,0,0,4,0.75,
New Zealand,2007,Super Eight,E,2,3,2,1,0,0,4,0.05,
South Africa,2007,Super Eight,E,3,3,2,1,0,0,4,-0.116,
England,2007,Super Eight,E,4,3,0,3,0,0,0,-0.7,
Pakistan,2007,Super Eight,F,1,3,3,0,0,0,6,0.843,
Australia,2007,Super Eight,F,2,3,2,1,0,0,4,2.256,
Sri Lanka,2007,Super Eight,F,3,3,1,2,0,0,2,-0.697,
Bangladesh,2007,Super Eight,F,4,3,0,3,0,0,0,-2.031,
India,2009,Group Stage,A,1,2,2,0,0,0,4,1.227,A1
Ireland,2009,Group Stage,A,2,2,1,1,0,0,2,-0.162,A2
Bangladesh,2009,Group Stage,A,3,2,0,2,0,0,0,-0.966,
England,2009,Group Stage,B,1,2,1,1,0,0,2,1.175,B2
Pakistan,2009,Group Stage,B,2,2,1,1,0,0,2,0.85,B1
Netherlands,2009,Group Stage,B,3,2,1,1,0,0,2,-2.025,
