venue_id,venue_name,city,country
1,M. A. Chidambaram Stadium,Chennai,India
2,Eden Gardens,Kolkata,India
3,Sawai Mansingh Stadium,Jaipur,India
4,Wankhede Stadium,Mumbai,India
5,M. Chinnaswamy Stadium,Bengaluru,India
6,ACA-VDCA Stadium,Visakhapatnam,India
7,Maharashtra Cricket Association's International Stadium,Pune,India
8,Arun Jaitley Stadium,Delhi,India
9,IS Bindra Stadium,Mohali,India
10,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India
11,HPCA Stadium,Dharamsala,India
12,Barabati Stadium,Cuttack,India
13,Holkar Cricket Stadium,Indore,India
14,Brabourne Stadium,Mumbai,India
15,Narendra Modi Stadium,Ahmedabad,India
16,Vidarbha Cricket Association Stadium,Nagpur,India
17,Newlands,Cape Town,South Africa
18,St George's Park,Port Elizabeth,South Africa
19,Kingsmead,Durban,South Africa
20,Supersport Park,Centurion,South Africa
21,Buffalo Park,East London,South Africa
22,New Wanderers Stadium,Johannesburg,South Africa
23,De Beers Diamond Oval,Kimberley,South Africa
24,R Premadasa Stadium,Colombo,Sri Lanka
25,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
26,Pallekele International Cricket Stadium,Pallekele,Sri Lanka
27,Galle International Stadium,Galle,Sri Lanka
28,Dubai International Stadium,Dubai,UAE
29,Emirates Riverside,Chester-le-Street,England
30,Old Trafford,Manchester,England
31,Edgbaston,Birmingham,England
32,The Gabba,Brisbane,Australia
33,Adelaide Oval,Adelaide,Australia
34,WACA,Perth,Australia
35,Saurashtra Cricket Association Stadium,Rajkot,India
36,Nehru Stadium,Kochi,India
37,HEC International Cricket Stadium Complex,Ranchi,India
38,Sydney Cricket Ground,Sydney,Australia
39,Melbourne Cricket Ground,Melbourne,Australia
40,Bellerive Oval,Hobart,Australia
41,Boland Park,Paarl,South Africa
42,JB Marks Oval,Potchefstroom,South Africa
43,JSCA International Cricket Stadium,Ranchi,India
44,Manuka Oval,Canberra,Australia
45,Mangaung Oval,Bloemfontein,South Africa
46,Willowmoore Park,Benoni,South Africa
47,National Cricket Stadium,St George's,West Indies
48,Sir Vivian Richards Stadium,North Sound,West Indies
49,Kensington Oval,Bridgetown,West Indies
50,Cardiff Wales Stadium,Cardiff,Wales
51,The Oval,London ,England
52,Trent Bridge,Nottingham,England
53,Lord's,London,England
54,The Ageas Bowl,Southampton,England
55,Headingley,Leeds,England
56,Queens Sports Club,Bulawayo,Zimbabwe
57,Grange Cricket Club Ground,Edinburgh,Scotland
58,Clontarf Cricket Club Ground,Dublin,Ireland
59,VRA Cricket Ground,Amstelveen,Netherlands
60,Sabina Park,Kingston,West Indies
61,Queen's Park Oval,Port of Spain,West Indies
62,Anglesea Road,Dublin,Ireland
63,Harare Sports Club,Harare,Zimbabwe
64,Mannofield Park,Aberdeen,Scotland
65,Wanderers Cricket Ground,Windhoek,Namibia
