raw_venue_string,venue_id,canonical_name,city,country
ACA-VDCA Stadium,6,ACA-VDCA Stadium,Visakhapatnam,India
"ACA-VDCA Stadium, Visakhapatnam",6,ACA-VDCA Stadium,Visakhapatnam,India
"Absa Stadium, East London",172,Moosa Stadium,Pearland,
Abu Dhabi,77,Zayed Cricket Stadium,Abu Dhabi,UAE
Adelaide,33,Adelaide Oval,Adelaide,Australia
Adelaide Oval,33,Adelaide Oval,Adelaide,Australia
Adelaide Oval (day/night),33,Adelaide Oval,Adelaide,Australia
"Adelaide Oval, Adelaide",33,Adelaide Oval,Adelaide,Australia
Affies Park,134,Affies Park,Windhoek,Namibia
Ahmedabad,15,Narendra Modi Stadium,Ahmedabad,India
Al Amerat,165,Oman Cricket Academy Ground,Al Amerat,Oman
Al Amerat Cricket Ground 2,166,Al Amerat Cricket Ground 2,Al Amerat,Oman
Albury,121,Lavington Sports Oval,Albury,Australia
Amini Park,138,Amini Park,Port Moresby,Papua New Guinea
Amstelveen,59,VRA Cricket Ground,Amstelveen,Netherlands
Anglesea Road,62,Anglesea Road,Dublin,Ireland
Antigua,48,Sir Vivian Richards Stadium,North Sound,West Indies
Arbab Niaz Stadium,101,Arbab Niaz Stadium,Peshawar,Pakistan
Arun Jaitley Stadium,8,Arun Jaitley Stadium,Delhi,India
"Arun Jaitley Stadium, Delhi",8,Arun Jaitley Stadium,Delhi,India
Asgiriya Stadium,102,Asgiriya Stadium,Kandy,Sri Lanka
Auckland,68,Eden Park,Auckland,New Zealand
Ballarat,113,Eastern Oval,Ballarat,Australia
Barabati Stadium,12,Barabati Stadium,Cuttack,India
Barsapara Cricket Ground,153,Barsapara Cricket Ground,Guwahati,India
Barsapara Cricket Stadium,176,Barsapara Cricket Stadium,Guwahati,
Basin Reserve,80,Basin Reserve,Wellington,New Zealand
"Basin Reserve, Wellington",80,Basin Reserve,Wellington,New Zealand
Basseterre,100,Warner Park,Basseterre,West Indies
Bay Oval,91,Bay Oval,Tauranga,New Zealand
"Bay Oval, Mount Maunganui",91,Bay Oval,Tauranga,New Zealand
Bellerive Oval,40,Bellerive Oval,Hobart,Australia
"Bellerive Oval, Hobart",40,Bellerive Oval,Hobart,Australia
Bengaluru,5,M. Chinnaswamy Stadium,Bengaluru,India
Benoni,46,Willowmoore Park,Benoni,South Africa
Berri,103,Berri Oval,Berri,Australia
Berri Oval,103,Berri Oval,Berri,Australia
Bert Sutcliffe Oval,74,Bert Sutcliffe Oval,Christchurch,New Zealand
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,164,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,India
Birmingham,31,Edgbaston,Birmingham,England
Bloemfontein,45,Mangaung Oval,Bloemfontein,South Africa
