player,span,mat,inns,no,runs,hs,bf,100,50,0,4s,6s,team,avg,cycle
SD Hope,2019-2021,6,12,0,203,43,541,0,0,0,24,0,WI,16.92,2019-2021
UT Khawaja,2019-2019,3,6,0,122,40,188,0,0,0,17,0,AUS,20.33,2019-2021
A Nortje,2019-2021,12,21,4,115,40,481,0,0,5,15,0,SA,6.76,2019-2021
JC Archer,2019-2021,11,17,0,113,23,241,0,0,3,16,0,ENG,6.65,2019-2021
JJ Roy,2019-2019,4,8,0,110,31,229,0,0,1,16,0,ENG,13.75,2019-2021
MS Harris,2019-2021,4,8,0,101,38,226,0,0,0,17,0,AUS,12.62,2019-2021
KL Rahul,2019-2019,2,4,0,101,44,271,0,0,0,12,0,INDIA,25.25,2019-2021
S Muthusamy,2019-2019,2,4,2,98,49*,278,0,0,0,10,0,SA,49.0,2019-2021
Taijul Islam,2019-2021,7,12,1,97,24,358,0,0,1,9,0,BDESH,8.82,2019-2021
Mahmudullah,2019-2020,3,6,1,95,39*,176,0,0,1,15,0,BDESH,19.0,2019-2021
WP Saha,2019-2020,6,6,1,87,24,151,0,0,0,12,0,INDIA,17.4,2019-2021
PM Siddle,2019-2019,3,4,1,84,44,173,0,0,0,9,0,AUS,28.0,2019-2021
JA Raval,2019-2020,4,7,0,82,33,215,0,0,1,8,0,NZ,11.71,2019-2021
BT Foakes,2021-2021,3,6,1,78,42*,260,0,0,0,5,0,ENG,15.6,2019-2021
SO Hetmyer,2019-2019,2,4,0,71,35,121,0,0,0,10,0,WI,17.75,2019-2021
Zafar Gohar,2021-2021,1,2,0,71,37,126,0,0,0,13,0,PAK,35.5,2019-2021
Shaheen Shah Afridi,2019-2021,12,17,2,62,10,235,0,0,5,9,0,PAK,4.13,2019-2021
Shadab Khan,2020-2020,1,2,0,60,45,98,0,0,0,5,0,PAK,30.0,2019-2021
JM Anderson,2019-2021,12,16,8,59,11,143,0,0,2,7,0,ENG,7.38,2019-2021
Nayeem Hasan,2019-2021,3,5,1,58,24,98,0,0,1,9,0,BDESH,14.5,2019-2021
JR Hazlewood,2019-2021,11,13,7,57,11,100,0,0,1,9,0,AUS,9.5,2019-2021
RTM Mendis,2021-2021,2,4,0,57,33,107,0,0,1,6,0,SL,14.25,2019-2021
WER Somerville,2019-2020,3,4,2,56,40*,161,0,0,1,4,0,NZ,28.0,2019-2021
WA Young,2020-2020,2,2,0,48,43,98,0,0,0,5,0,NZ,24.0,2019-2021
