player,team,span,mat,inns,no,runs,hs,avg,bf,sr,100,50,0,4s,6s,cycle
JE Root,ENG,2023-2024,22,40,4,1968,262,54.66,3006,65.46,7,7,1,186,9,2023-2025
YBK Jaiswal,IND,2023-2025,19,36,2,1798,214*,52.88,2738,65.66,4,10,3,207,39,2023-2025
BM Duckett,ENG,2023-2024,22,41,1,1470,153,36.75,1743,84.33,2,8,2,187,7,2023-2025
HC Brook,ENG,2023-2024,17,29,0,1463,317,50.44,1755,83.36,4,7,1,144,17,2023-2025
UT Khawaja,AUS,2023-2025,19,37,3,1422,232,41.82,3168,44.88,2,6,2,149,5,2023-2025
SPD Smith,AUS,2023-2025,19,35,3,1324,141,41.37,2549,51.94,5,4,2,133,11,2023-2025
TM Head,AUS,2023-2025,19,34,1,1177,152,35.66,1452,81.06,3,5,4,151,13,2023-2025
Z Crawley,ENG,2023-2024,19,34,0,1175,189,34.55,1509,77.86,1,8,3,152,10,2023-2025
KS Williamson,NZ,2023-2024,11,22,1,1152,156,54.85,2128,54.13,5,4,1,134,6,2023-2025
PHKD Mendis,SL,2024-2025,11,20,2,1123,182*,62.38,1702,65.98,5,3,0,116,23,2023-2025
