player,inns,overs,mdns,runs,wkts,bbi,bbm,5,10,team,avg,cycle
Abid Ali,0,0.0,0,0,0,-,-,0,0,PAK,,2019-2021
MA Agarwal,0,0.0,0,0,0,-,-,0,0,INDIA,,2019-2021
Babar Azam,0,0.0,0,0,0,-,-,0,0,PAK,,2019-2021
JM Bairstow,0,0.0,0,0,0,-,-,0,0,ENG,,2019-2021
CT Bancroft,0,0.0,0,0,0,-,-,0,0,AUS,,2019-2021
T Bavuma,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
M Bhanuka,0,0.0,0,0,0,-,-,0,0,SL,,2019-2021
DM Bravo,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
SSJ Brooks,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
JA Burns,0,0.0,0,0,0,-,-,0,0,AUS,,2019-2021
RJ Burns,0,0.0,0,0,0,-,-,0,0,ENG,,2019-2021
JC Buttler,0,0.0,0,0,0,-,-,0,0,ENG,,2019-2021
LD Chandimal,0,0.0,0,0,0,-,-,0,0,SL,,2019-2021
DP Conway,0,0.0,0,0,0,-,-,0,0,NZ,,2019-2021
Z Crawley,0,0.0,0,0,0,-,-,0,0,ENG,,2019-2021
J Da Silva,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
TB de Bruyn,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
Q de Kock,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
N Dickwella,0,0.0,0,0,0,-,-,0,0,SL,,2019-2021
SO Dowrich,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
F du Plessis,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
BT Foakes,0,0.0,0,0,0,-,-,0,0,ENG,,2019-2021
JN Hamilton,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
MS Harris,0,0.0,0,0,0,-,-,0,0,AUS,,2019-2021
SO Hetmyer,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
SD Hope,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
Imam-ul-Haq,0,0.0,0,0,0,-,-,0,0,PAK,,2019-2021
Imran Butt,0,0.0,0,0,0,-,-,0,0,PAK,,2019-2021
Imrul Kayes,0,0.0,0,0,0,-,-,0,0,BDESH,,2019-2021
UT Khawaja,0,0.0,0,0,0,-,-,0,0,AUS,,2019-2021
H Klaasen,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
TWM Latham,0,0.0,0,0,0,-,-,0,0,NZ,,2019-2021
Liton Das,0,0.0,0,0,0,-,-,0,0,BDESH,,2019-2021
Mohammad Mithun,0,0.0,0,0,0,-,-,0,0,BDESH,,2019-2021
Mohammad Rizwan,0,0.0,0,0,0,-,-,0,0,PAK,,2019-2021
S Moseley,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
Mushfiqur Rahim,0,0.0,0,0,0,-,-,0,0,BDESH,,2019-2021
Najmul Hossain Shanto,0,0.0,0,0,0,-,-,0,0,BDESH,,2019-2021
HM Nicholls,0,0.0,0,0,0,-,-,0,0,NZ,,2019-2021
P Nissanka,0,0.0,0,0,0,-,-,0,0,SL,,2019-2021
TD Paine,0,0.0,0,0,0,-,-,0,0,AUS,,2019-2021
RR Pant,0,0.0,0,0,0,-,-,0,0,INDIA,,2019-2021
MDKJ Perera,0,0.0,0,0,0,-,-,0,0,SL,,2019-2021
KD Petersen,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
GD Phillips,0,0.0,0,0,0,-,-,0,0,NZ,,2019-2021
OJ Pope,0,0.0,0,0,0,-,-,0,0,ENG,,2019-2021
KOA Powell,0,0.0,0,0,0,-,-,0,0,WI,,2019-2021
WJ Pucovski,0,0.0,0,0,0,-,-,0,0,AUS,,2019-2021
CA Pujara,0,0.0,0,0,0,-,-,0,0,INDIA,,2019-2021
AM Rahane,0,0.0,0,0,0,-,-,0,0,INDIA,,2019-2021
KL Rahul,0,0.0,0,0,0,-,-,0,0,INDIA,,2019-2021
JJ Roy,0,0.0,0,0,0,-,-,0,0,ENG,,2019-2021
WP Saha,0,0.0,0,0,0,-,-,0,0,INDIA,,2019-2021
Shadman Islam,0,0.0,0,0,0,-,-,0,0,BDESH,,2019-2021
PP Shaw,0,0.0,0,0,0,-,-,0,0,INDIA,,2019-2021
Shubman Gill,0,0.0,0,0,0,-,-,0,0,INDIA,,2019-2021
Tamim Iqbal,0,0.0,0,0,0,-,-,0,0,BDESH,,2019-2021
LRPL Taylor,0,0.0,0,0,0,-,-,0,0,NZ,,2019-2021
HDRL Thirimanne,0,0.0,0,0,0,-,-,0,0,SL,,2019-2021
