player,team,span,mat,inns,overs,mdns,runs,wkts,bbi,bbm,avg,econ,sr,five,ten,cycle
NM Lyon,AUS,2021-2023,20,34,889.2,194,2299,88,8/64,11/99,26.12,2.58,60.6,5,1,2021-2023
K Rabada,SA,2021-2023,13,22,388.4,65,1411,67,6/50,8/89,21.05,3.63,34.8,3,0,2021-2023
R Ashwin,IND,2021-2023,13,26,483.5,112,1200,61,6/91,8/42,19.67,2.48,47.5,2,0,2021-2023
JM Anderson,ENG,2021-2022,15,28,519.2,153,1182,58,5/60,6/62,20.37,2.27,53.7,2,0,2021-2023
PJ Cummins,AUS,2021-2023,16,27,451.4,108,1263,57,5/38,8/79,22.15,2.79,47.5,3,0,2021-2023
MA Starc,AUS,2021-2023,17,32,483.0,98,1539,55,4/33,6/80,27.98,3.18,52.6,0,0,2021-2023
OE Robinson,ENG,2021-2022,13,25,408.0,108,1100,53,5/49,7/81,20.75,2.69,46.1,3,0,2021-2023
TG Southee,NZ,2021-2023,13,26,548.1,133,1606,50,5/35,8/144,32.12,2.92,65.7,3,0,2021-2023
MJ Leach,ENG,2021-2022,16,25,637.0,161,1909,48,5/66,10/166,39.77,2.99,79.6,2,1,2021-2023
RA Jadeja,IND,2021-2023,13,25,455.5,103,1113,47,7/42,10/110,23.68,2.44,58.1,3,1,2021-2023
JJ Bumrah,IND,2021-2022,10,19,328.5,82,888,45,5/24,9/110,19.73,2.7,43.8,3,0,2021-2023
Mohammed Shami,IND,2021-2023,13,25,382.3,78,1273,45,5/44,8/107,28.28,3.32,51.0,1,0,2021-2023
M Jansen,SA,2021-2023,11,18,295.5,54,985,44,5/35,7/91,22.38,3.32,40.3,1,0,2021-2023
SCJ Broad,ENG,2021-2022,11,21,378.1,73,1218,43,5/101,7/86,28.32,3.22,52.7,1,0,2021-2023
Shaheen Shah Afridi,PAK,2021-2022,8,15,259.4,69,746,41,6/51,10/94,18.19,2.87,38.0,2,1,2021-2023
AS Joseph,WI,2021-2023,10,20,316.5,40,1152,41,5/81,7/111,28.09,3.63,46.3,1,0,2021-2023
