player,team,span,mat,inns,overs,mdns,runs,wkts,bbi,avg,econ,sr,cycle
PJ Cummins,AUS,2023-2025,18,35,563.5,76,1879,80,6/28,23.48,3.33,42.28,2023-2025
JJ Bumrah,IND,2023-2025,15,28,393.4,91,1162,77,6/45,15.09,2.95,30.67,2023-2025
MA Starc,AUS,2023-2025,19,37,538.0,81,2071,77,6/48,26.89,3.84,41.92,2023-2025
NM Lyon,AUS,2023-2025,17,30,546.5,76,1662,66,6/65,25.18,3.03,49.71,2023-2025
R Ashwin,IND,2023-2024,14,26,445.3,61,1547,63,7/71,24.55,3.47,42.42,2023-2025
JR Hazlewood,AUS,2023-2025,16,29,420.0,90,1204,59,5/45,20.41,2.87,42.71,2023-2025
MDK Jayasuriya,SL,2023-2025,12,22,367.1,79,2131,58,6/42,36.74,3.48,63.29,2023-2025
K Rabada,SA,2023-2025,11,21,330.3,64,1049,56,6/46,18.73,3.17,35.41,2023-2025
RA Jadeja,IND,2023-2025,15,26,418.1,70,1289,55,5/41,23.43,3.08,45.61,2023-2025
GL Atkinson,ENG,2024-2024,11,21,308.4,52,1152,52,7/45,22.15,3.73,35.61,2023-2025
