stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w
most_runs,Most Runs (career),1,JE Root (ENG),2019-2026,80*,146.0,12.0,6753,262,50.39,11294.0,59.79,23.0,24.0,10.0,702.0,18.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),2,SPD Smith (AUS),2019-2026,61,106.0,12.0,4721,211,50.22,9066.0,52.07,14.0,21.0,7.0,506.0,32.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),3,M Labuschagne (AUS),2019-2026,60,109.0,9.0,4520,215,45.2,8643.0,52.29,11.0,24.0,3.0,510.0,14.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),4,TM Head (AUS),2019-2026,59,100.0,5.0,3990,175,42.0,5378.0,74.19,11.0,15.0,6.0,496.0,40.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),5,BA Stokes (ENG),2019-2026,64,117.0,7.0,3857,176,35.06,6550.0,58.88,8.0,19.0,6.0,395.0,88.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),6,Babar Azam (PAK),2019-2026,43*,80.0,6.0,3534,196,47.75,6223.0,56.78,8.0,23.0,1.0,422.0,21.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),7,UT Khawaja (AUS),2019-2026,47,88.0,8.0,3464,232,43.3,7234.0,47.88,8.0,14.0,6.0,369.0,13.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),8,Z Crawley (ENG),2020-2026,57,105.0,1.0,3314,267,31.86,5088.0,65.13,4.0,20.0,11.0,458.0,13.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),9,HC Brook (ENG),2022-2026,37*,64.0,1.0,3214,317,51.01,3827.0,83.98,9.0,17.0,4.0,342.0,44.0,,,,,,,,,,,,,,
most_runs,Most Runs (career),10,KS Williamson (NZ),2019-2026,32,58.0,6.0,3025,251,58.17,5654.0,53.5,11.0,7.0,4.0,361.0,14.0,,,,,,,,,,,,,,
