team,year,cycle,player_name
Australia,2021,2019-2021,M Labuschagne
England,2021,2019-2021,JE Root
Australia,2021,2019-2021,SPD Smith
England,2021,2019-2021,BA Stokes
India,2021,2019-2021,AM Rahane
India,2021,2019-2021,RG Sharma
Sri Lanka,2021,2019-2021,FDM Karunaratne
England,2021,2019-2021,JC Buttler
Australia,2021,2019-2021,DA Warner
South Africa,2021,2019-2021,D Elgar
India,2021,2019-2021,V Kohli
Pakistan,2021,2019-2021,Babar Azam
New Zealand,2021,2019-2021,KS Williamson
India,2021,2019-2021,MA Agarwal
South Africa,2021,2019-2021,Q de Kock
England,2021,2019-2021,DP Sibley
India,2021,2019-2021,CA Pujara
England,2021,2019-2021,RJ Burns
Sri Lanka,2021,2019-2021,N Dickwella
Pakistan,2021,2019-2021,Azhar Ali
Pakistan,2021,2019-2021,Mohammad Rizwan
Sri Lanka,2021,2019-2021,HDRL Thirimanne
Australia,2021,2019-2021,MS Wade
New Zealand,2021,2019-2021,TWM Latham
West Indies,2021,2019-2021,J Blackwood
India,2021,2019-2021,RR Pant
England,2021,2019-2021,Z Crawley
West Indies,2021,2019-2021,KC Brathwaite
Sri Lanka,2021,2019-2021,DM de Silva
England,2021,2019-2021,OJ Pope
South Africa,2021,2019-2021,HE van der Dussen
New Zealand,2021,2019-2021,HM Nicholls
Pakistan,2021,2019-2021,Shan Masood
Pakistan,2021,2019-2021,Abid Ali
England,2021,2019-2021,JL Denly
South Africa,2021,2019-2021,F du Plessis
Australia,2021,2019-2021,TD Paine
Bangladesh,2021,2019-2021,Mominul Haque
New Zealand,2021,2019-2021,LRPL Taylor
West Indies,2021,2019-2021,KR Mayers
India,2021,2019-2021,RA Jadeja
West Indies,2021,2019-2021,JO Holder
Australia,2021,2019-2021,TM Head
South Africa,2021,2019-2021,AK Markram
India,2021,2019-2021,GH Vihari
Bangladesh,2021,2019-2021,Mushfiqur Rahim
Sri Lanka,2021,2019-2021,BOP Fernando
Bangladesh,2021,2019-2021,Tamim Iqbal
New Zealand,2021,2019-2021,BJ Watling
Bangladesh,2021,2019-2021,Liton Das
India,2021,2019-2021,Shubman Gill
Sri Lanka,2021,2019-2021,AD Mathews
New Zealand,2021,2019-2021,TA Blundell
England,2021,2019-2021,JM Bairstow
West Indies,2021,2019-2021,JD Campbell
West Indies,2021,2019-2021,NE Bonner
