cycle,team,matches,won,lost,tied,draw,points,pct,final_position
2019-2021,New Zealand,11,7,4,0,0,420,1.281,1
2019-2021,India,17,12,4,0,1,520,1.577,2
2019-2021,Australia,14,8,4,0,2,332,1.392,3
2019-2021,England,21,11,7,0,3,442,1.12,4
2019-2021,Pakistan,12,4,5,0,3,286,0.822,5
2019-2021,South Africa,13,5,8,0,0,264,0.787,6
2019-2021,West Indies,13,3,8,0,2,194,0.661,7
2019-2021,Sri Lanka,12,2,6,0,4,200,0.729,8
2019-2021,Bangladesh,7,0,6,0,1,20,0.601,9
2021-2023,Australia,19,11,3,0,5,152,66.67,1
2021-2023,India,18,10,5,0,3,127,58.8,2
2021-2023,South Africa,15,8,6,0,1,100,55.56,3
2021-2023,England,22,10,8,0,4,124,46.97,4
2021-2023,Sri Lanka,12,5,6,0,1,64,44.44,5
2021-2023,New Zealand,14,5,6,0,3,60,38.46,6
2021-2023,Pakistan,14,4,6,0,4,64,38.1,7
2021-2023,West Indies,13,4,7,0,2,54,34.62,8
2021-2023,Bangladesh,12,1,10,0,1,16,11.11,9
2023-2025,South Africa,12,8,3,0,1,100,69.44,1
2023-2025,Australia,19,13,4,0,2,154,67.54,2
2023-2025,India,19,9,8,0,2,114,50.0,3
2023-2025,New Zealand,14,7,7,0,0,81,48.21,4
2023-2025,England,22,11,10,0,1,114,43.18,5
2023-2025,Sri Lanka,13,5,8,0,0,60,38.46,6
2023-2025,Bangladesh,12,4,8,0,0,45,31.25,7
2023-2025,West Indies,13,3,8,0,2,44,28.21,8
2023-2025,Pakistan,14,5,9,0,0,47,27.98,9
