cycle,ground,matches_hosted,country
2019-2021,"Old Trafford, Manchester - England",4, England
2019-2021,"The Rose Bowl, Southampton - England",4, England
2019-2021,Galle International Stadium - Sri Lanka,3, Sri Lanka
2019-2021,"Sir Vivian Richards Stadium, North Sound, Antigua - West Indies",3, West Indies
2019-2021,Rawalpindi Cricket Stadium - Pakistan,3, Pakistan
2019-2021,"Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia",2, Australia
2019-2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia - West Indies",2, West Indies
2019-2021,Sydney Cricket Ground - Australia,2, Australia
2019-2021,"Narendra Modi Stadium, Motera, Ahmedabad - India",2, India
2019-2021,"MA Chidambaram Stadium, Chepauk, Chennai - India",2, India
2019-2021,Melbourne Cricket Ground - Australia,2, Australia
2019-2021,"SuperSport Park, Centurion - South Africa",2, South Africa
2019-2021,"Hagley Oval, Christchurch - New Zealand",2, New Zealand
2019-2021,"National Stadium, Karachi - Pakistan",2, Pakistan
2019-2021,"Basin Reserve, Wellington - New Zealand",2, New Zealand
2019-2021,Pallekele International Cricket Stadium - Sri Lanka,2, Sri Lanka
2019-2021,Adelaide Oval - Australia,2, Australia
2019-2021,"The Wanderers Stadium, Johannesburg - South Africa",2, South Africa
2019-2021,"Lord's, London - England",1, England
2019-2021,"Bay Oval, Mount Maunganui - New Zealand",1, New Zealand
2019-2021,"Kennington Oval, London - England",1, England
2019-2021,"JSCA International Stadium Complex, Ranchi - India",1, India
2019-2021,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam - India",1, India
2019-2021,"Edgbaston, Birmingham - England",1, England
2019-2021,"Maharashtra Cricket Association Stadium, Pune - India",1, India
2019-2021,"Eden Gardens, Kolkata - India",1, India
2019-2021,"Zahur Ahmed Chowdhury Stadium, Chattogram - Bangladesh",1, Bangladesh
2019-2021,"St George's Park, Port Elizabeth - South Africa",1, South Africa
2019-2021,Perth Stadium - Australia,1, Australia
2019-2021,"P Sara Oval, Colombo - Sri Lanka",1, Sri Lanka
2019-2021,"Newlands, Cape Town - South Africa",1, South Africa
2019-2021,"Shere Bangla National Stadium, Mirpur, Dhaka - Bangladesh",1, Bangladesh
2019-2021,"Headingley, Leeds - England",1, England
2019-2021,"Holkar Cricket Stadium, Indore - India",1, India
2019-2021,"Seddon Park, Hamilton - New Zealand",1, New Zealand
2019-2021,"Sabina Park, Kingston, Jamaica - West Indies",1, West Indies
2021-2023,Galle International Stadium,6,Sri Lanka
2021-2023,"National Stadium, Karachi",4,Pakistan
2021-2023,"Lord's, London",3,England
2021-2023,"The Oval, London",3,England
2021-2023,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,Bangladesh
2021-2023,"Sher-e-Bangla Stadium, Mirpur",3,Bangladesh
2021-2023,"Hagley Oval, Christchurch",3,New Zealand
2021-2023,"Trent Bridge, Nottingham",2,England
2021-2023,"Headingley, Leeds",2,England
2021-2023,"Sabina Park, Kingston",2,West Indies
2021-2023,"The Gabba, Brisbane",2,Australia
2021-2023,Adelaide Oval (day/night),2,Australia
2021-2023,"MCG, Melbourne",2,Australia
2021-2023,"SCG, Sydney",2,Australia
2021-2023,"SuperSport Park, Centurion",2,South Africa
2021-2023,"The Wanderers, Johannesburg",2,South Africa
2021-2023,Rawalpindi Cricket Stadium,2,Pakistan
2021-2023,"National Cricket Stadium, Grenada",2,West Indies
2021-2023,"Edgbaston, Birmingham",1,England
2021-2023,"Green Park, Kanpur",1,India
2021-2023,"Wankhede Stadium, Mumbai",1,India
2021-2023,"Bellerive Oval, Hobart",1,Australia
2021-2023,"Newlands, Cape Town",1,South Africa
2021-2023,"Bay Oval, Mount Maunganui",1,New Zealand
2021-2023,"Seddon Park, Hamilton",1,New Zealand
2021-2023,"IS Bindra Stadium, Mohali",1,India
2021-2023,"M Chinnaswamy Stadium, Bengaluru",1,India
2021-2023,"Gaddafi Stadium, Lahore",1,Pakistan
2021-2023,"Sir Vivian Richards Stadium, Antigua",1,West Indies
2021-2023,"Kensington Oval, Bridgetown",1,West Indies
2021-2023,"Kingsmead, Durban",1,South Africa
