Ground,Matches_Hosted,Country
Galle International Stadium,6,Sri Lanka
"National Stadium, Karachi",4,Pakistan
"Lord's, London",3,England
"The Oval, London",3,England
"Zahur Ahmed Chowdhury Stadium, Chattogram",3,Bangladesh
"Sher-e-Bangla Stadium, Mirpur",3,Bangladesh
"Hagley Oval, Christchurch",3,New Zealand
"Trent Bridge, Nottingham",2,England
"Headingley, Leeds",2,England
"Sabina Park, Kingston",2,West Indies
"The Gabba, Brisbane",2,Australia
Adelaide Oval (day/night),2,Australia
"MCG, Melbourne",2,Australia
"SCG, Sydney",2,Australia
"SuperSport Park, Centurion",2,South Africa
"The Wanderers, Johannesburg",2,South Africa
Rawalpindi Cricket Stadium,2,Pakistan
"National Cricket Stadium, Grenada",2,West Indies
"Edgbaston, Birmingham",1,England
"Green Park, Kanpur",1,India
"Wankhede Stadium, Mumbai",1,India
"Bellerive Oval, Hobart",1,Australia
"Newlands, Cape Town",1,South Africa
"Bay Oval, Mount Maunganui",1,New Zealand
"Seddon Park, Hamilton",1,New Zealand
"IS Bindra Stadium, Mohali",1,India
"M Chinnaswamy Stadium, Bengaluru",1,India
"Gaddafi Stadium, Lahore",1,Pakistan
"Sir Vivian Richards Stadium, Antigua",1,West Indies
"Kensington Oval, Bridgetown",1,West Indies
"Kingsmead, Durban",1,South Africa
"St George's Park, Gqeberha",1,South Africa
Antigua,1,West Indies
"Old Trafford, Manchester",1,England
Perth Stadium,1,Australia
Multan Cricket Stadium,1,Pakistan
"VCA Stadium, Nagpur",1,India
"Arun Jaitley Stadium, Delhi",1,India
"Holkar Stadium, Indore",1,India
"Narendra Modi Stadium, Ahmedabad",1,India
"Basin Reserve, Wellington",1,New Zealand
