Year,Winner,Winner.1,Runner-up,Runner-up.1,Ref.
2007,India,157/5 (20 overs),Pakistan,152 (19.4 overs),[9]
2009,Pakistan,139/2 (18.4 overs),Sri Lanka,138/6 (20 overs),[11]
2010,England,148/3 (17 overs),Australia,147/6 (20 overs),[13]
2012,West Indies,137/6 (20 overs),Sri Lanka,101 (18.4 overs),[14]
2014,Sri Lanka,134/4 (17.5 overs),India,130/4 (20 overs),[18]
2016,West Indies,161/6 (19.4 overs),England,155/9 (20 overs),[20]
2021,Australia,173/2 (18.5 overs),New Zealand,172/4 (20 overs),[29]
2022,England,138/5 (19 overs),Pakistan,137/8 (20 overs),[31]
2024,India,176/7 (20 overs),South Africa,169/8 (20 overs),[38]
2026,,,,,
