Match_No,Scorecard,Match_Date,Ground,Match,Winner,Margin,Match Days,Country,Opposition,Ground_full_Name
1,"Test # 2353",2019-08-01 00:00:00.000,"Birmingham","England v Australia","Australia","251 runs","Aug 1-5, 2019","England","Australia","Edgbaston, Birmingham - England"
2,"Test # 2354",2019-08-14 00:00:00.000,"Galle","Sri Lanka v New Zealand","Sri Lanka","6 wickets","Aug 14-18, 2019","Sri Lanka","New Zealand","Galle International Stadium - Sri Lanka"
3,"Test # 2355",2019-08-14 00:00:00.000,"Lord's","England v Australia","drawn","No Result","Aug 14-18, 2019","England","Australia","Lord's, London - England"
4,"Test # 2356",2019-08-22 00:00:00.000,"Colombo (PSS)","Sri Lanka v New Zealand","New Zealand","inns & 65 runs","Aug 22-26, 2019","Sri Lanka","New Zealand","P Sara Oval, Colombo - Sri Lanka"
5,"Test # 2357",2019-08-22 00:00:00.000,"Leeds","England v Australia","England","1 wicket","Aug 22-25, 2019","England","Australia","Headingley, Leeds - England"
6,"Test # 2358",2019-08-22 00:00:00.000,"North Sound","West Indies v India","India","318 runs","Aug 22-25, 2019","West Indies","India","Sir Vivian Richards Stadium, North Sound, Antigua - West Indies"
7,"Test # 2359",2019-08-30 00:00:00.000,"Kingston","West Indies v India","India","257 runs","Aug 30-Sep 2, 2019","West Indies","India","Sabina Park, Kingston, Jamaica - West Indies"
8,"Test # 2360",2019-09-04 00:00:00.000,"Manchester","England v Australia","Australia","185 runs","Sep 4-8, 2019","England","Australia","Old Trafford, Manchester - England"
9,"Test # 2362",2019-09-12 00:00:00.000,"The Oval","England v Australia","England","135 runs","Sep 12-15, 2019","England","Australia","Kennington Oval, London - England"
10,"Test # 2363",2019-10-02 00:00:00.000,"Visakhapatnam","India v South Africa","India","203 runs","Oct 2-6, 2019","India","South Africa","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam - India"
11,"Test # 2364",2019-10-10 00:00:00.000,"Pune","India v South Africa","India","inns & 137 runs","Oct 10-13, 2019","India","South Africa","Maharashtra Cricket Association Stadium, Pune - India"
12,"Test # 2365",2019-10-19 00:00:00.000,"Ranchi","India v South Africa","India","inns & 202 runs","Oct 19-22, 2019","India","South Africa","JSCA International Stadium Complex, Ranchi - India"
13,"Test # 2366",2019-11-14 00:00:00.000,"Indore","India v Bangladesh","India","inns & 130 runs","Nov 14-16, 2019","India","Bangladesh","Holkar Cricket Stadium, Indore - India"
14,"Test # 2368",2019-11-21 00:00:00.000,"Brisbane","Australia v Pakistan","Australia","inns & 5 runs","Nov 21-24, 2019","Australia","Pakistan","Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia"
15,"Test # 2369",2019-11-22 00:00:00.000,"Kolkata","India v Bangladesh","India","inns & 46 runs","Nov 22-24, 2019","India","Bangladesh","Eden Gardens, Kolkata - India"
16,"Test # 2372",2019-11-29 00:00:00.000,"Adelaide","Australia v Pakistan","Australia","inns & 48 runs","Nov 29-Dec 2, 2019","Australia","Pakistan","Adelaide Oval - Australia"
17,"Test # 2373",2019-12-11 00:00:00.000,"Rawalpindi","Pakistan v Sri Lanka","drawn","No Result","Dec 11-15, 2019","Pakistan","Sri Lanka","Rawalpindi Cricket Stadium - Pakistan"
18,"Test # 2374",2019-12-12 00:00:00.000,"Perth","Australia v New Zealand","Australia","296 runs","Dec 12-15, 2019","Australia","New Zealand","Perth Stadium - Australia"
19,"Test # 2375",2019-12-19 00:00:00.000,"Karachi","Pakistan v Sri Lanka","Pakistan","263 runs","Dec 19-23, 2019","Pakistan","Sri Lanka","National Stadium, Karachi - Pakistan"
20,"Test # 2376",2019-12-26 00:00:00.000,"Melbourne","Australia v New Zealand","Australia","247 runs","Dec 26-29, 2019","Australia","New Zealand","Melbourne Cricket Ground - Australia"
