Player,Player_Name,Team,Country
"M Labuschagne (AUS)","M Labuschagne","AUS","Australia"
"JE Root (ENG)","JE Root","ENG","England"
"SPD Smith (AUS)","SPD Smith","AUS","Australia"
"BA Stokes (ENG)","BA Stokes","ENG","England"
"AM Rahane (INDIA)","AM Rahane","INDIA","India"
"RG Sharma (INDIA)","RG Sharma","INDIA","India"
"FDM Karunaratne (SL)","FDM Karunaratne","SL","Sri Lanka"
"JC Buttler (ENG)","JC Buttler","ENG","England"
"DA Warner (AUS)","DA Warner","AUS","Australia"
"D Elgar (SA)","D Elgar","SA","South Africa"
"V Kohli (INDIA)","V Kohli","INDIA","India"
"Babar Azam (PAK)","Babar Azam","PAK","Pakistan"
"KS Williamson (NZ)","KS Williamson","NZ","New Zealand"
"MA Agarwal (INDIA)","MA Agarwal","INDIA","India"
"Q de Kock (SA)","Q de Kock","SA","South Africa"
"DP Sibley (ENG)","DP Sibley","ENG","England"
"CA Pujara (INDIA)","CA Pujara","INDIA","India"
"RJ Burns (ENG)","RJ Burns","ENG","England"
"N Dickwella (SL)","N Dickwella","SL","Sri Lanka"
"Azhar Ali (PAK)","Azhar Ali","PAK","Pakistan"
"Mohammad Rizwan (PAK)","Mohammad Rizwan","PAK","Pakistan"
"HDRL Thirimanne (SL)","HDRL Thirimanne","SL","Sri Lanka"
"MS Wade (AUS)","MS Wade","AUS","Australia"
"TWM Latham (NZ)","TWM Latham","NZ","New Zealand"
"J Blackwood (WI)","J Blackwood","WI","West Indies"
"RR Pant (INDIA)","RR Pant","INDIA","India"
"Z Crawley (ENG)","Z Crawley","ENG","England"
"KC Brathwaite (WI)","KC Brathwaite","WI","West Indies"
"DM de Silva (SL)","DM de Silva","SL","Sri Lanka"
"OJ Pope (ENG)","OJ Pope","ENG","England"
"HE van der Dussen (SA)","HE van der Dussen","SA","South Africa"
"HM Nicholls (NZ)","HM Nicholls","NZ","New Zealand"
"Shan Masood (PAK)","Shan Masood","PAK","Pakistan"
"Abid Ali (PAK)","Abid Ali","PAK","Pakistan"
"JL Denly (ENG)","JL Denly","ENG","England"
"F du Plessis (SA)","F du Plessis","SA","South Africa"
"TD Paine (AUS)","TD Paine","AUS","Australia"
"Mominul Haque (BDESH)","Mominul Haque","BDESH","Bangladesh"
"LRPL Taylor (NZ)","LRPL Taylor","NZ","New Zealand"
"KR Mayers (WI)","KR Mayers","WI","West Indies"
"RA Jadeja (INDIA)","RA Jadeja","INDIA","India"
"JO Holder (WI)","JO Holder","WI","West Indies"
"TM Head (AUS)","TM Head","AUS","Australia"
"AK Markram (SA)","AK Markram","SA","South Africa"
"GH Vihari (INDIA)","GH Vihari","INDIA","India"
"Mushfiqur Rahim (BDESH)","Mushfiqur Rahim","BDESH","Bangladesh"
"BOP Fernando (SL)","BOP Fernando","SL","Sri Lanka"
"Tamim Iqbal (BDESH)","Tamim Iqbal","BDESH","Bangladesh"
"BJ Watling (NZ)","BJ Watling","NZ","New Zealand"
"Liton Das (BDESH)","Liton Das","BDESH","Bangladesh"
"Shubman Gill (INDIA)","Shubman Gill","INDIA","India"
"AD Mathews (SL)","AD Mathews","SL","Sri Lanka"
"TA Blundell (NZ)","TA Blundell","NZ","New Zealand"
"JM Bairstow (ENG)","JM Bairstow","ENG","England"
"JD Campbell (WI)","JD Campbell","WI","West Indies"
"NE Bonner (WI)","NE Bonner","WI","West Indies"
"T Bavuma (SA)","T Bavuma","SA","South Africa"
"LD Chandimal (SL)","LD Chandimal","SL","Sri Lanka"
"Faheem Ashraf (PAK)","Faheem Ashraf","PAK","Pakistan"
"Asad Shafiq (PAK)","Asad Shafiq","PAK","Pakistan"
"Yasir Shah (PAK)","Yasir Shah","PAK","Pakistan"
"R Ashwin (INDIA)","R Ashwin","INDIA","India"
"RL Chase (WI)","RL Chase","WI","West Indies"
"Fawad Alam (PAK)","Fawad Alam","PAK","Pakistan"
"JA Burns (AUS)","JA Burns","AUS","Australia"
"J Da Silva (WI)","J Da Silva","WI","West Indies"
"Mehidy Hasan Miraz (BDESH)","Mehidy Hasan Miraz","BDESH","Bangladesh"
"C de Grandhomme (NZ)","C de Grandhomme","NZ","New Zealand"
"SSJ Brooks (WI)","SSJ Brooks","WI","West Indies"
"Najmul Hossain Shanto (BDESH)","Najmul Hossain Shanto","BDESH","Bangladesh"
"CR Woakes (ENG)","CR Woakes","ENG","England"
"KA Maharaj (SA)","KA Maharaj","SA","South Africa"
"AS Joseph (WI)","AS Joseph","WI","West Indies"
"MDKJ Perera (SL)","MDKJ Perera","SL","Sri Lanka"
"SCJ Broad (ENG)","SCJ Broad","ENG","England"
"Washington Sundar (INDIA)","Washington Sundar","INDIA","India"
"DW Lawrence (ENG)","DW Lawrence","ENG","England"
"KA Jamieson (NZ)","KA Jamieson","NZ","New Zealand"
"VD Philander (SA)","VD Philander","SA","South Africa"
"C Green (AUS)","C Green","AUS","Australia"
"P Nissanka (SL)","P Nissanka","SL","Sri Lanka"
"MA Starc (AUS)","MA Starc","AUS","Australia"
"DM Bess (ENG)","DM Bess","ENG","England"
"SD Hope (WI)","SD Hope","WI","West Indies"
"PWH de Silva (SL)","PWH de Silva","SL","Sri Lanka"
"SM Curran (ENG)","SM Curran","ENG","England"
"K Rabada (SA)","K Rabada","SA","South Africa"
"RRS Cornwall (WI)","RRS Cornwall","WI","West Indies"
"PJ Cummins (AUS)","PJ Cummins","AUS","Australia"
"NM Lyon (AUS)","NM Lyon","AUS","Australia"
"MDK Perera (SL)","MDK Perera","SL","Sri Lanka"
"BKG Mendis (SL)","BKG Mendis","SL","Sri Lanka"
"PJ Malan (SA)","PJ Malan","SA","South Africa"
"DJ Mitchell (NZ)","DJ Mitchell","NZ","New Zealand"
"TG Southee (NZ)","TG Southee","NZ","New Zealand"
"Zubayr Hamza (SA)","Zubayr Hamza","SA","South Africa"
"N Wagner (NZ)","N Wagner","NZ","New Zealand"
"GF Linde (SA)","GF Linde","SA","South Africa"
"KAJ Roach (WI)","KAJ Roach","WI","West Indies"
"PWA Mulder (SA)","PWA Mulder","SA","South Africa"
