Ground,Span,Mat,Won,Tied,Draw,Runs,Wkts,Balls,Country
"Old Trafford, Manchester - England","2019-2020","4","4","0","0","4176","135","7790"," England"
"The Rose Bowl, Southampton - England","2020-2021","4","2","0","2","3200","104","6725"," England"
"Galle International Stadium - Sri Lanka","2019-2021","3","3","0","0","3075","101","6170"," Sri Lanka"
"Sir Vivian Richards Stadium, North Sound, Antigua - West Indies","2019-2021","3","1","0","2","3199","97","6616"," West Indies"
"Rawalpindi Cricket Stadium - Pakistan","2019-2021","3","2","0","1","2451","78","4853"," Pakistan"
"Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia","2019-2021","2","2","0","0","2483","67","4369"," Australia"
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia - West Indies","2021-2021","2","2","0","0","1367","69","2879"," West Indies"
"Sydney Cricket Ground - Australia","2020-2021","2","1","0","1","2291","62","4620"," Australia"
"Narendra Modi Stadium, Motera, Ahmedabad - India","2021-2021","2","2","0","0","1092","60","2314"," India"
"MA Chidambaram Stadium, Chepauk, Chennai - India","2021-2021","2","2","0","0","2198","80","4119"," India"
"Melbourne Cricket Ground - Australia","2019-2020","2","2","0","0","1814","66","3852"," Australia"
"SuperSport Park, Centurion - South Africa","2019-2020","2","2","0","0","2202","68","3461"," South Africa"
"Hagley Oval, Christchurch - New Zealand","2020-2021","2","2","0","0","1875","59","3255"," New Zealand"
"National Stadium, Karachi - Pakistan","2019-2021","2","2","0","0","2162","66","3907"," Pakistan"
"Basin Reserve, Wellington - New Zealand","2020-2020","2","2","0","0","1621","60","3006"," New Zealand"
"Pallekele International Cricket Stadium - Sri Lanka","2021-2021","2","1","0","1","2454","53","4444"," Sri Lanka"
"Adelaide Oval - Australia","2019-2020","2","2","0","0","1694","54","3068"," Australia"
"The Wanderers Stadium, Johannesburg - South Africa","2020-2021","2","2","0","0","1842","70","2951"," South Africa"
"Lord's, London - England","2019-2019","1","0","0","1","920","31","1741"," England"
"Bay Oval, Mount Maunganui - New Zealand","2020-2020","1","1","0","0","1121","35","2558"," New Zealand"
"Kennington Oval, London - England","2019-2019","1","1","0","0","1111","40","1971"," England"
"JSCA International Stadium Complex, Ranchi - India","2019-2019","1","1","0","0","792","29","1325"," India"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam - India","2019-2019","1","1","0","0","1447","31","2389"," India"
"Edgbaston, Birmingham - England","2019-2019","1","1","0","0","1291","37","2286"," England"
"Maharashtra Cricket Association Stadium, Pune - India","2019-2019","1","1","0","0","1065","25","1977"," India"
"Eden Gardens, Kolkata - India","2019-2019","1","1","0","0","648","28","968"," India"
"Zahur Ahmed Chowdhury Stadium, Chattogram - Bangladesh","2021-2021","1","1","0","0","1307","35","2651"," Bangladesh"
"St George's Park, Port Elizabeth - South Africa","2020-2020","1","1","0","0","945","29","1965"," South Africa"
"Perth Stadium - Australia","2019-2019","1","1","0","0","970","39","2018"," Australia"
"P Sara Oval, Colombo - Sri Lanka","2019-2019","1","1","0","0","797","26","1654"," Sri Lanka"
"Newlands, Cape Town - South Africa","2020-2020","1","1","0","0","1131","38","2577"," South Africa"
"Shere Bangla National Stadium, Mirpur, Dhaka - Bangladesh","2021-2021","1","1","0","0","1035","40","2121"," Bangladesh"
"Headingley, Leeds - England","2019-2019","1","1","0","0","854","39","1686"," England"
"Holkar Cricket Stadium, Indore - India","2019-2019","1","1","0","0","856","26","1451"," India"
"Seddon Park, Hamilton - New Zealand","2020-2020","1","1","0","0","904","25","1607"," New Zealand"
"Sabina Park, Kingston, Jamaica - West Indies","2019-2019","1","1","0","0","911","34","1811"," West Indies"
