Rank,Rating2,Name,Team,Career Best Test Rating,Career Best Test Ranking
1,386,"Ravindra Jadeja","IND","438 v Sri Lanka, 07/08/2017","1 v Sri Lanka, on 07/08/2017"
2,384,"Jason Holder","WI","485 v England, 12/07/2020","1 v England, on 26/01/2019"
3,377,"Ben Stokes","ENG","497 v West Indies, 20/07/2020","1 v West Indies, on 20/07/2020"
4,353,"Ravichandran Ashwin","IND","493 v England, 29/11/2016","1 v West Indies, on 12/11/2013"
5,338,"Shakib Al Hasan","BAN","489 v Australia, 30/08/2017","1 v Pakistan, on 21/12/2011"
6,276,"Kyle Jamieson","NZ","293 v Pakistan, 07/01/2021","6 v Pakistan, on 07/01/2021"
7,275,"Mitchell Starc","AUS","347 v India, 27/02/2017","4 v Sri Lanka, on 17/08/2016"
8,249,"Pat Cummins","AUS","339 v England, 18/08/2019","5 v England, on 18/08/2019"
9,243,"Colin de Grandhomme","NZ","280 v India, 03/03/2020","6 v India, on 25/02/2020"
10,229,"Chris Woakes","ENG","273 v Pakistan, 08/08/2020","7 v India, on 13/08/2018"
