Rank,Rating2,Name,Team,Career Best Test Rating,Career Best Test Ranking
1,891,"Steve Smith","AUS","947 v England, 30/12/2017","1 v West Indies, on 15/06/2015"
2,886,"Kane Williamson","NZ","919 v Pakistan, 07/01/2021","1 v Australia, on 17/11/2015"
3,878,"Marnus Labuschagne","AUS","878 v India, 19/01/2021","3 v New Zealand, on 07/01/2020"
4,814,"Virat Kohli","IND","937 v England, 22/08/2018","1 v England, on 04/08/2018"
5,797,"Joe Root","ENG","917 v Australia, 10/08/2015","1 v Australia, on 10/08/2015"
6,747,"Rohit Sharma","IND","747 v England, 10/03/2021","7 v England, on 10/03/2021"
6,747,"Rishabh Pant","IND","747 v England, 10/03/2021","7 v England, on 10/03/2021"
8,732,"Henry Nicholls","NZ","778 v Bangladesh, 12/03/2019","5 v Bangladesh, on 12/03/2019"
9,724,"David Warner","AUS","880 v India, 13/12/2014","4 v Pakistan, on 26/10/2014"
10,717,"Quinton de Kock","SA","802 v New Zealand, 29/03/2017","6 v New Zealand, on 29/03/2017"
11,714,"Babar Azam","PAK","800 v Bangladesh, 11/02/2020","5 v Bangladesh, on 11/02/2020"
12,712,"Dimuth Karunaratne","SL","754 v South Africa, 22/07/2018","6 v New Zealand, on 26/08/2019"
13,697,"Cheteshwar Pujara","IND","888 v Sri Lanka, 07/08/2017","2 v Australia, on 20/03/2017"
14,691,"Ben Stokes","ENG","827 v West Indies, 20/07/2020","3 v West Indies, on 20/07/2020"
15,690,"Tom Latham","NZ","733 v West Indies, 07/12/2020","7 v Sri Lanka, on 26/08/2019"
16,688,"Ajinkya Rahane","IND","825 v New Zealand, 11/10/2016","5 v South Africa, on 22/10/2019"
17,682,"Ross Taylor","NZ","871 v West Indies, 23/12/2013","4 v West Indies, on 23/12/2013"
18,673,"Azhar Ali","PAK","787 v Australia, 30/12/2016","6 v Australia, on 07/01/2017"
19,661,"Dean Elgar","SA","784 v Australia, 03/04/2018","8 v Australia, on 26/03/2018"
20,651,"Aiden Markram","SA","759 v Australia, 03/04/2018","7 v Sri Lanka, on 14/07/2018"
21,642,"Mohammad Rizwan","PAK","667 v South Africa, 08/02/2021","16 v South Africa, on 08/02/2021"
22,640,"Mushfiqur Rahim","BAN","658 v Australia, 07/09/2017","18 v Zimbabwe, on 14/11/2018"
23,637,"Rory Burns","ENG","661 v West Indies, 28/07/2020","17 v West Indies, on 28/07/2020"
24,618,"Travis Head","AUS","661 v New Zealand, 30/12/2019","18 v England, on 18/08/2019"
24,618,"Angelo Mathews","SL","877 v New Zealand, 30/12/2014","3 v Pakistan, on 18/08/2014"
26,611,"Tamim Iqbal","BAN","709 v Australia, 30/08/2017","14 v Australia, on 30/08/2017"
27,609,"Sean Williams","ZIM","621 v Afghanistan, 14/03/2021","24 v Afghanistan, on 14/03/2021"
28,608,"Jos Buttler","ENG","649 v Sri Lanka, 26/01/2021","17 v Sri Lanka, on 27/11/2018"
29,600,"Mayank Agarwal","IND","727 v New Zealand, 25/02/2020","10 v Bangladesh, on 24/11/2019"
30,590,"Mominul Haque","BAN","661 v Pakistan, 10/05/2015","18 v Zimbabwe, on 16/11/2014"
31,589,"Niroshan Dickwella","SL","595 v Zimbabwe, 23/01/2020","29 v West Indies, on 25/03/2021"
31,589,"BJ Watling","NZ","696 v England, 03/12/2019","11 v England, on 03/12/2019"
33,588,"Dhananjaya de Silva","SL","612 v Zimbabwe, 10/11/2016","28 v Zimbabwe, on 10/11/2016"
34,572,"Asad Shafiq","PAK","758 v England, 18/07/2016","11 v England, on 26/10/2015"
35,570,"Francois du Plessis","SA","734 v India, 17/01/2018","10 v Sri Lanka, on 17/02/2019"
36,569,"Brendan Taylor","ZIM","684 v Bangladesh, 29/10/2014","16 v Bangladesh, on 29/10/2014"
37,567,"Shakib Al Hasan","BAN","694 v Australia, 30/08/2017","18 v Australia, on 30/08/2017"
38,561,"Usman Khawaja","AUS","747 v Pakistan, 07/01/2017","10 v Pakistan, on 11/10/2018"
39,560,"Ali","PAK","560 v Zimbabwe, 11/05/2021","40 v Zimbabwe, on 11/05/2021"
40,555,"Ravindra Jadeja","IND","584 v Australia, 11/01/2021","34 v Australia, on 11/01/2021"
40,555,"Tim Paine","AUS","592 v India, 20/12/2020","33 v India, on 20/12/2020"
42,554,"Colin de Grandhomme","NZ","589 v India, 03/03/2020","29 v India, on 03/03/2020"
43,542,"Rassie van der Dussen","SA","542 v West Indies, 22/06/2021","43 v West Indies, on 22/06/2021"
44,534,"Jermaine Blackwood","WI","596 v Bangladesh, 07/02/2021","29 v Bangladesh, on 07/02/2021"
45,528,"Sikandar Raza","ZIM","547 v West Indies, 02/11/2017","44 v West Indies, on 02/11/2017"
46,527,"Craig Ervine","ZIM","549 v Bangladesh, 26/02/2020","41 v Sri Lanka, on 18/07/2017"
47,526,"Dinesh Chandimal","SL","755 v West Indies, 18/06/2018","9 v India, on 06/12/2017"
48,524,"Tom Blundell","NZ","561 v India, 03/03/2020","37 v India, on 03/03/2020"
49,519,"Jason Holder","WI","581 v England, 26/01/2019","33 v England, on 26/01/2019"
50,518,"Temba Bavuma","SA","627 v Pakistan, 07/01/2019","26 v Pakistan, on 07/01/2019"
51,514,"Kusal Mendis","SL","693 v West Indies, 18/06/2018","12 v West Indies, on 18/06/2018"
51,514,"Ollie Pope","ENG","564 v Pakistan, 08/08/2020","36 v Pakistan, on 08/08/2020"
53,511,"Faheem Ashraf","PAK","547 v South Africa, 08/02/2021","45 v South Africa, on 08/02/2021"
54,508,"Nkruma Bonner","WI","544 v Sri Lanka, 25/03/2021","44 v Sri Lanka, on 25/03/2021"
55,505,"Shan Masood","PAK","653 v England, 08/08/2020","19 v England, on 08/08/2020"
55,505,"Dom Sibley","ENG","575 v West Indies, 20/07/2020","35 v West Indies, on 20/07/2020"
57,501,"Matthew Wade","AUS","537 v India, 30/12/2020","49 v India, on 06/03/2013"
57,501,"Fawad Alam","PAK","529 v Zimbabwe, 03/05/2021","47 v Zimbabwe, on 03/05/2021"
59,499,"Oshada Fernando","SL","509 v Pakistan, 23/12/2019","52 v Pakistan, on 23/12/2019"
60,498,"Lahiru Thirimanne","SL","498 v Bangladesh, 03/05/2021","59 v Bangladesh, on 03/05/2021"
61,497,"Joe Burns","AUS","575 v New Zealand, 24/02/2016","33 v New Zealand, on 24/02/2016"
61,497,"Devon Conway","NZ","497 v England, 14/06/2021","62 v England, on 14/06/2021"
61,497,"Kraigg Brathwaite","WI","701 v England, 29/08/2017","13 v Bangladesh, on 14/07/2018"
64,495,"Hanuma Vihari","IND","601 v West Indies, 02/09/2019","30 v West Indies, on 02/09/2019"
65,494,"Washington Sundar","IND","494 v England, 10/03/2021","62 v England, on 10/03/2021"
65,494,"Mahmudullah","BAN","574 v New Zealand, 12/03/2019","34 v New Zealand, on 12/03/2019"
67,487,"Asghar Afghan","AFG","487 v Zimbabwe, 14/03/2021","63 v Bangladesh, on 08/09/2019"
68,486,"Shane Dowrich","WI","562 v England, 12/07/2020","37 v England, on 12/07/2020"
68,486,"Ibrahim Zadran","AFG","486 v Zimbabwe, 14/03/2021","67 v Zimbabwe, on 14/03/2021"
70,485,"Kusal Perera","SL","559 v South Africa, 23/02/2019","40 v South Africa, on 17/02/2019"
71,483,"Liton Das","BAN","509 v Sri Lanka, 25/04/2021","55 v West Indies, on 15/02/2021"
72,482,"Kyle Mayers","WI","526 v Sri Lanka, 02/04/2021","51 v Sri Lanka, on 02/04/2021"
73,480,"Joe Denly","ENG","578 v South Africa, 07/01/2020","35 v South Africa, on 07/01/2020"
74,476,"Shubman Gill","IND","562 v England, 09/02/2021","40 v England, on 09/02/2021"
75,466,"Shimron Hetmyer","WI","561 v England, 26/01/2019","39 v England, on 26/01/2019"
76,465,"Lokesh Rahul","IND","761 v Sri Lanka, 16/08/2017","8 v Sri Lanka, on 20/11/2017"
77,451,"Roston Chase","WI","626 v Pakistan, 14/05/2017","28 v Pakistan, on 14/05/2017"
78,444,"Jonny Bairstow","ENG","772 v South Africa, 08/08/2017","7 v South Africa, on 08/08/2017"
79,439,"Zak Crawley","ENG","605 v Pakistan, 25/08/2020","28 v Pakistan, on 25/08/2020"
80,435,"Regis Chakabva","ZIM","435 v Pakistan, 11/05/2021","64 v Bangladesh, on 16/11/2014"
81,432,"Shamarh Brooks","WI","536 v England, 20/07/2020","45 v England, on 20/07/2020"
82,430,"Shai Hope","WI","653 v Zimbabwe, 25/10/2017","25 v Zimbabwe, on 25/10/2017"
83,429,"Jeet Raval","NZ","614 v West Indies, 11/12/2017","31 v West Indies, on 11/12/2017"
84,426,"Kyle Jamieson","NZ","463 v West Indies, 07/12/2020","67 v West Indies, on 15/12/2020"
85,423,"Kevin O'Brien","IRE","448 v Afghanistan, 17/03/2019","65 v Pakistan, on 15/05/2018"
86,416,"Ravichandran Ashwin","IND","553 v England, 29/11/2016","38 v England, on 29/11/2016"
87,404,"Haris Sohail","PAK","563 v New Zealand, 28/11/2018","38 v New Zealand, on 28/11/2018"
88,401,"John Campbell","WI","448 v New Zealand, 15/12/2020","71 v New Zealand, on 15/12/2020"
89,397,"Hashmatullah Shahidi","AFG","397 v Zimbabwe, 14/03/2021","90 v Zimbabwe, on 14/03/2021"
91,392,"Ollie Robinson","ENG","396 v New Zealand, 06/06/2021","91 v New Zealand, on 06/06/2021"
92,391,"Sam Curran","ENG","566 v Sri Lanka, 09/11/2018","35 v Sri Lanka, on 09/11/2018"
93,388,"Darren Bravo","WI","709 v Australia, 23/04/2012","15 v New Zealand, on 07/12/2013"
94,384,"Kieran Powell","WI","489 v Sri Lanka, 10/06/2018","48 v Bangladesh, on 17/11/2012"
95,382,"Soumya Sarkar","BAN","489 v Sri Lanka, 19/03/2017","49 v Sri Lanka, on 19/03/2017"
96,377,"Rahmat Shah","AFG","471 v Bangladesh, 08/09/2019","65 v Bangladesh, on 08/09/2019"
97,373,"Chris Woakes","ENG","496 v India, 13/08/2018","51 v India, on 13/08/2018"
98,370,"Mitchell Starc","AUS","446 v India, 27/02/2017","59 v India, on 27/02/2017"
99,368,"Cameron Green","AUS","368 v India, 19/01/2021","92 v India, on 19/01/2021"
100,358,"Mitchell Santner","NZ","432 v England, 24/11/2019","63 v Australia, on 01/12/2015"
101,356,"Mitchell Marsh","AUS","552 v South Africa, 12/03/2018","43 v South Africa, on 05/03/2018"
