Rank,Rating2,Name,Team,Career Best Test Rating,Career Best Test Ranking
1,908,"Pat Cummins","AUS","914 v England, 18/08/2019","1 v England, on 05/08/2019"
2,850,"Ravichandran Ashwin","IND","904 v England, 12/12/2016","1 v New Zealand, on 11/10/2016"
3,830,"Tim Southee","NZ","838 v England, 06/06/2021","3 v England, on 06/06/2021"
4,816,"Josh Hazlewood","AUS","863 v India, 08/03/2017","2 v India, on 27/02/2017"
5,815,"Neil Wagner","NZ","859 v Australia, 30/12/2019","2 v Australia, on 30/12/2019"
6,798,"Kagiso Rabada","SA","902 v Australia, 12/03/2018","1 v India, on 08/01/2018"
7,793,"Stuart Broad","ENG","880 v South Africa, 18/01/2016","1 v South Africa, on 18/01/2016"
8,783,"James Anderson","ENG","903 v India, 13/08/2018","1 v Sri Lanka, on 31/05/2016"
9,744,"Mitchell Starc","AUS","806 v New Zealand, 16/12/2019","5 v South Africa, on 05/03/2018"
10,740,"Jason Holder","WI","862 v England, 12/07/2020","2 v England, on 12/07/2020"
11,739,"Jasprit Bumrah","IND","835 v West Indies, 02/09/2019","3 v West Indies, on 02/09/2019"
12,731,"Kemar Roach","WI","780 v India, 02/09/2019","7 v South Africa, on 21/12/2014"
13,713,"Trent Boult","NZ","825 v England, 25/05/2015","3 v England, on 25/05/2015"
14,707,"Hasan Ali","PAK","707 v Zimbabwe, 11/05/2021","14 v Zimbabwe, on 11/05/2021"
14,707,"Mohammad Abbas","PAK","838 v New Zealand, 19/11/2018","3 v Australia, on 19/10/2018"
16,697,"Ravindra Jadeja","IND","899 v Australia, 20/03/2017","1 v Australia, on 08/03/2017"
17,691,"Ishant Sharma","IND","736 v New Zealand, 25/02/2020","7 v West Indies, on 02/07/2011"
18,679,"Mohammad Shami","IND","790 v Bangladesh, 16/11/2019","7 v Bangladesh, on 16/11/2019"
19,668,"Nathan Lyon","AUS","774 v England, 06/12/2017","7 v England, on 27/11/2017"
20,648,"Kyle Jamieson","NZ","655 v England, 06/06/2021","20 v England, on 06/06/2021"
21,635,"Suranga Lakmal","SL","638 v Bangladesh, 25/04/2021","19 v Bangladesh, on 25/04/2021"
22,632,"Shaheen Afridi","PAK","632 v Zimbabwe, 11/05/2021","22 v Zimbabwe, on 11/05/2021"
23,615,"Chris Woakes","ENG","690 v Pakistan, 08/08/2020","18 v Pakistan, on 07/08/2016"
24,611,"Taijul Islam","BAN","659 v New Zealand, 12/03/2019","21 v West Indies, on 26/11/2018"
25,606,"Shannon Gabriel","WI","757 v Bangladesh, 14/07/2018","10 v Bangladesh, on 06/07/2018"
26,597,"Shakib Al Hasan","BAN","705 v Australia, 30/08/2017","7 v West Indies, on 02/11/2011"
26,597,"Umesh Yadav","IND","672 v Bangladesh, 24/11/2019","20 v New Zealand, on 03/03/2020"
28,593,"Keshav Maharaj","SA","695 v Zimbabwe, 30/12/2017","16 v Zimbabwe, on 30/12/2017"
29,591,"Yasir Shah","PAK","878 v England, 18/07/2016","1 v England, on 18/07/2016"
30,564,"Anrich Nortje","SA","597 v West Indies, 14/06/2021","26 v West Indies, on 14/06/2021"
30,564,"Mehidy Hasan","BAN","641 v New Zealand, 03/03/2019","23 v New Zealand, on 03/03/2019"
32,554,"Jack Leach","ENG","578 v India, 27/02/2021","28 v India, on 27/02/2021"
33,552,"Axar Patel","IND","552 v England, 10/03/2021","30 v England, on 10/03/2021"
34,547,"Ben Stokes","ENG","606 v West Indies, 26/01/2019","19 v South Africa, on 31/07/2017"
35,543,"Rashid Khan","AFG","543 v Zimbabwe, 14/03/2021","32 v Zimbabwe, on 14/03/2021"
36,503,"Moeen Ali","ENG","633 v West Indies, 19/08/2017","18 v South Africa, on 31/07/2017"
37,459,"Lahiru Kumara","SL","517 v Zimbabwe, 23/01/2020","30 v Zimbabwe, on 23/01/2020"
37,459,"Dilruwan Perera","SL","689 v England, 27/11/2018","14 v Zimbabwe, on 10/11/2016"
39,444,"Lasith Embuldeniya","SL","473 v West Indies, 25/03/2021","36 v England, on 26/01/2021"
40,439,"Colin de Grandhomme","NZ","476 v India, 03/03/2020","32 v India, on 25/02/2020"
41,436,"Lungi Ngidi","SA","436 v West Indies, 22/06/2021","39 v Australia, on 12/03/2018"
42,435,"Roston Chase","WI","505 v England, 28/07/2020","31 v England, on 20/07/2020"
43,430,"Mark Wood","ENG","439 v South Africa, 28/01/2020","36 v West Indies, on 12/07/2020"
44,420,"Akila Dananjaya","SL","479 v New Zealand, 18/08/2019","36 v New Zealand, on 18/08/2019"
45,391,"Jofra Archer","ENG","465 v Australia, 15/09/2019","37 v Australia, on 15/09/2019"
45,391,"Nauman Ali","PAK","391 v Zimbabwe, 11/05/2021","46 v Zimbabwe, on 11/05/2021"
47,389,"Dominic Bess","ENG","439 v India, 09/02/2021","41 v India, on 09/02/2021"
48,388,"Vishwa Fernando","SL","402 v Bangladesh, 25/04/2021","43 v South Africa, on 23/02/2019"
49,387,"Sam Curran","ENG","421 v Sri Lanka, 18/01/2021","38 v West Indies, on 20/07/2020"
50,380,"Praveen Jayawickrama","SL","380 v Bangladesh, 03/05/2021","48 v Bangladesh, on 03/05/2021"
51,379,"Mohammed Siraj","IND","379 v England, 10/03/2021","45 v Australia, on 19/01/2021"
52,376,"Blessing Muzarabani","ZIM","376 v Pakistan, 11/05/2021","51 v Pakistan, on 11/05/2021"
53,369,"Nayeem Hasan","BAN","410 v Zimbabwe, 26/02/2020","38 v Zimbabwe, on 26/02/2020"
53,369,"Kyle Mayers","WI","369 v South Africa, 22/06/2021","53 v South Africa, on 22/06/2021"
55,364,"Hamza Hotak","AFG","389 v Zimbabwe, 06/03/2021","46 v Zimbabwe, on 06/03/2021"
56,359,"Kuldeep Yadav","IND","402 v Australia, 07/01/2019","45 v Australia, on 07/01/2019"
57,335,"Rahkeem Cornwall","WI","376 v Sri Lanka, 25/03/2021","47 v Afghanistan, on 01/12/2019"
58,333,"Kyle Jarvis","ZIM","414 v Bangladesh, 14/11/2018","39 v Bangladesh, on 14/11/2018"
58,333,"Willem Mulder","SA","360 v Sri Lanka, 07/01/2021","45 v Sri Lanka, on 07/01/2021"
60,326,"Lutho Sipamla","SA","339 v Sri Lanka, 07/01/2021","46 v South Africa, on 25/07/2015"
60,326,"Jayed","BAN","374 v West Indies, 15/02/2021","46 v Zimbabwe, on 26/02/2020"
62,323,"Ajaz Patel","NZ","323 v England, 14/06/2021","58 v Sri Lanka, on 26/08/2019"
63,320,"James Pattinson","AUS","591 v New Zealand, 24/02/2016","18 v India, on 26/02/2013"
64,319,"Sikandar Raza","ZIM","340 v Sri Lanka, 31/01/2020","48 v Bangladesh, on 26/02/2020"
65,317,"Stuart Thompson","IRE","317 v England, 26/07/2019","53 v England, on 26/07/2019"
66,307,"Matt Henry","NZ","307 v England, 14/06/2021","53 v West Indies, on 05/12/2017"
67,302,"Alzarri Joseph","WI","308 v Sri Lanka, 02/04/2021","51 v England, on 12/02/2019"
68,298,"Mitchell Marsh","AUS","349 v West Indies, 30/12/2015","40 v Sri Lanka, on 07/08/2016"
69,295,"Olly Stone","ENG","295 v New Zealand, 14/06/2021","69 v New Zealand, on 14/06/2021"
70,292,"Jomel Warrican","WI","304 v Bangladesh, 15/02/2021","59 v Bangladesh, on 15/02/2021"
71,288,"Kasun Rajitha","SL","374 v West Indies, 27/06/2018","42 v West Indies, on 27/06/2018"
72,278,"Mustafizur Rahman","BAN","396 v South Africa, 02/10/2017","38 v Sri Lanka, on 19/03/2017"
73,269,"Imran Khan","PAK","414 v New Zealand, 29/11/2016","36 v New Zealand, on 29/11/2016"
74,268,"Ollie Robinson","ENG","271 v New Zealand, 06/06/2021","69 v New Zealand, on 06/06/2021"
75,260,"Yamin Ahmadzai","AFG","360 v Bangladesh, 08/09/2019","50 v Ireland, on 17/03/2019"
76,253,"Victor Nyauchi","ZIM","327 v Afghanistan, 06/03/2021","57 v Afghanistan, on 06/03/2021"
77,248,"Dushmantha Chameera","SL","377 v England, 23/05/2016","35 v England, on 23/05/2016"
78,247,"Naseem Shah","PAK","312 v Bangladesh, 11/02/2020","52 v Bangladesh, on 11/02/2020"
79,240,"Mitchell Santner","NZ","344 v West Indies, 11/12/2017","39 v Bangladesh, on 16/01/2017"
80,239,"Shardul Thakur","IND","249 v Australia, 19/01/2021","65 v Australia, on 19/01/2021"
81,238,"Donald Tiripano","ZIM","243 v Pakistan, 03/05/2021","67 v Sri Lanka, on 18/07/2017"
82,237,"Faheem Ashraf","PAK","292 v South Africa, 15/01/2019","58 v South Africa, on 15/01/2019"
83,228,"Haris Sohail","PAK","298 v Bangladesh, 11/02/2020","55 v Bangladesh, on 11/02/2020"
84,225,"William Somerville","NZ","336 v Sri Lanka, 26/08/2019","51 v Sri Lanka, on 26/08/2019"
85,222,"George Linde","SA","227 v Pakistan, 08/02/2021","74 v Pakistan, on 08/02/2021"
86,219,"Joe Root","ENG","241 v India, 27/02/2021","68 v Australia, on 20/07/2015"
87,213,"Mark Adair","IRE","213 v England, 26/07/2019","73 v England, on 26/07/2019"
88,210,"Dasun Shanaka","SL","269 v India, 20/11/2017","54 v India, on 20/11/2017"
89,208,"Mahmudullah","BAN","381 v West Indies, 24/07/2009","38 v India, on 21/01/2010"
90,197,"Ramesh Mendis","SL","197 v Bangladesh, 03/05/2021","88 v Bangladesh, on 03/05/2021"
91,186,"Shadab Khan","PAK","202 v South Africa, 15/01/2019","69 v England, on 08/08/2020"
92,183,"Sean Williams","ZIM","247 v Bangladesh, 07/11/2018","57 v West Indies, on 25/10/2017"
93,176,"Beuran Hendricks","SA","187 v England, 28/01/2020","86 v England, on 28/01/2020"
94,173,"Shahbaz Nadeem","IND","178 v England, 09/02/2021","85 v England, on 09/02/2021"
95,161,"Dhananjaya de Silva","SL","212 v New Zealand, 18/08/2019","76 v South Africa, on 30/12/2020"
95,161,"Taskin Ahmed","BAN","161 v Sri Lanka, 03/05/2021","82 v Sri Lanka, on 11/03/2017"
97,158,"Dane Piedt","SA","319 v England, 06/01/2016","47 v Zimbabwe, on 13/08/2014"
98,147,"Dwaine Pretorius","SA","166 v England, 07/01/2020","88 v England, on 07/01/2020"
99,134,"Kraigg Brathwaite","WI","225 v India, 25/07/2016","55 v India, on 25/07/2016"
100,133,"Ryan Burl","ZIM","136 v Afghanistan, 14/03/2021","96 v Afghanistan, on 14/03/2021"
