Player_Name,Runs,Balls,4s,6s,Opposition,Scorecard
"DA Warner","335*",418,39,1,"Pakistan","Test # 2372"
"MA Agarwal","243",330,28,8,"Bangladesh","Test # 2366"
"RG Sharma","212",255,28,6,"South Africa","Test # 2365"
"KS Williamson","251",412,34,2,"West Indies","Test # 2394"
"V Kohli","254*",336,33,2,"South Africa","Test # 2364"
"Z Crawley","267",393,34,1,"Pakistan","Test # 2393"
"MA Agarwal","215",371,23,6,"South Africa","Test # 2363"
"RG Sharma","176",244,23,6,"South Africa","Test # 2363"
"KR Mayers","210*",310,20,7,"Bangladesh","Test # 2407"
"KS Williamson","238",364,28,0,"Pakistan","Test # 2400"
"SPD Smith","211",319,24,2,"England","Test # 2360"
"FDM Karunaratne","244",437,26,0,"Bangladesh","Test # 2418"
"D Elgar","160",287,18,4,"India","Test # 2363"
"F du Plessis","199",276,24,0,"Sri Lanka","Test # 2399"
"BA Stokes","135*",219,11,8,"Australia","Test # 2357"
"Abid Ali","174",281,21,1,"Sri Lanka","Test # 2375"
"HM Nicholls","174",280,21,1,"West Indies","Test # 2395"
"Q de Kock","141*",170,12,7,"West Indies","Test # 2424"
"M Labuschagne","162",238,22,0,"Pakistan","Test # 2372"
"D Elgar","127",163,22,0,"Sri Lanka","Test # 2401"
"JE Root","218",377,19,2,"India","Test # 2409"
"DM de Silva","166",291,22,0,"Bangladesh","Test # 2418"
"Shan Masood","156",319,18,2,"England","Test # 2391"
"Azhar Ali","141*",272,21,0,"England","Test # 2393"
"RG Sharma","161",231,18,2,"England","Test # 2411"
"RG Sharma","127",149,10,7,"South Africa","Test # 2363"
"M Labuschagne","215",363,19,1,"New Zealand","Test # 2378"
"DP Sibley","133*",311,19,1,"South Africa","Test # 2379"
"M Labuschagne","185",279,20,0,"Pakistan","Test # 2368"
"BA Stokes","176",356,17,2,"West Indies","Test # 2389"
"M Labuschagne","143",240,18,1,"New Zealand","Test # 2374"
"OJ Pope","135*",226,18,1,"South Africa","Test # 2380"
"Babar Azam","143",193,18,1,"Bangladesh","Test # 2384"
"HM Nicholls","157",291,18,1,"Pakistan","Test # 2400"
"JE Root","228",321,18,1,"Sri Lanka","Test # 2403"
"SPD Smith","144",219,16,2,"England","Test # 2353"
"DM de Silva","109",148,16,2,"New Zealand","Test # 2356"
"Q de Kock","111",163,16,2,"India","Test # 2363"
"MA Agarwal","108",195,16,2,"South Africa","Test # 2364"
"FDM Karunaratne","103",128,19,0,"South Africa","Test # 2401"
"MS Wade","117",166,17,1,"England","Test # 2362"
"AM Rahane","115",192,17,1,"South Africa","Test # 2365"
"Najmul Hossain Shanto","163",378,17,1,"Sri Lanka","Test # 2418"
"V Kohli","136",194,18,0,"Bangladesh","Test # 2369"
"HE van der Dussen","98",138,15,2,"England","Test # 2382"
"JE Root","186",309,18,0,"Sri Lanka","Test # 2405"
"AK Markram","108",243,13,3,"Pakistan","Test # 2408"
"RJ Burns","133",312,17,0,"Australia","Test # 2353"
"MS Wade","110",143,17,0,"England","Test # 2353"
