Player_Name,Runs,Balls,4s,6s,Opposition,Scorecard
"BA Stokes","135*",219,11,8,"Australia","Test # 2357"
"MA Agarwal","243",330,28,8,"Bangladesh","Test # 2366"
"RG Sharma","127",149,10,7,"South Africa","Test # 2363"
"KR Mayers","210*",310,20,7,"Bangladesh","Test # 2407"
"Q de Kock","141*",170,12,7,"West Indies","Test # 2424"
"MA Agarwal","215",371,23,6,"South Africa","Test # 2363"
"RG Sharma","176",244,23,6,"South Africa","Test # 2363"
"RG Sharma","212",255,28,6,"South Africa","Test # 2365"
"C de Grandhomme","83",77,5,5,"Sri Lanka","Test # 2356"
"KAJ Roach","38",31,1,5,"India","Test # 2358"
"UT Yadav","31",10,0,5,"South Africa","Test # 2365"
"MA Wood","42",23,2,5,"South Africa","Test # 2380"
"MD Shanaka","66*",87,3,5,"South Africa","Test # 2399"
"RR Pant","91",88,9,5,"England","Test # 2409"
"AS Joseph","82",108,8,5,"Bangladesh","Test # 2410"
"MM Ali","43",18,3,5,"India","Test # 2411"
"JL Pattinson","47*",48,2,4,"England","Test # 2353"
"D Elgar","160",287,18,4,"India","Test # 2363"
"SCJ Broad","43",28,2,4,"South Africa","Test # 2382"
"KA Jamieson","44",45,1,4,"India","Test # 2385"
"N Wagner","66*",42,8,4,"West Indies","Test # 2395"
"C Green","84",132,8,4,"India","Test # 2402"
"BA Stokes","115*",165,11,3,"Australia","Test # 2355"
"JC Buttler","70",98,7,3,"Australia","Test # 2362"
"RA Jadeja","40",32,0,3,"South Africa","Test # 2363"
"UT Yadav","25*",10,1,3,"Bangladesh","Test # 2366"
"Shan Masood","135",198,7,3,"Sri Lanka","Test # 2375"
"Q de Kock","34",37,2,3,"England","Test # 2377"
"BA Stokes","72",47,7,3,"South Africa","Test # 2379"
"KA Maharaj","71",106,10,3,"England","Test # 2380"
"MA Wood","35*",39,2,3,"South Africa","Test # 2382"
"BA Stokes","78*",57,4,3,"West Indies","Test # 2389"
"AS Joseph","86",125,9,3,"New Zealand","Test # 2394"
"RR Pant","97",118,12,3,"Australia","Test # 2402"
"AK Markram","108",243,13,3,"Pakistan","Test # 2408"
"BA Stokes","82",118,10,3,"India","Test # 2409"
"RR Pant","58*",77,7,3,"England","Test # 2411"
"Tamim Iqbal","74*",98,10,3,"Sri Lanka","Test # 2418"
