Player,Span,Mat,Inns,NO,Runs,HS,BF,100,50,0,4s,6s
"SD Hope (WI)","2019-2021",6,12,0,203,"43",541,0,0,0,24,0
"UT Khawaja (AUS)","2019-2019",3,6,0,122,"40",188,0,0,0,17,0
"A Nortje (SA)","2019-2021",12,21,4,115,"40",481,0,0,5,15,0
"JC Archer (ENG)","2019-2021",11,17,0,113,"23",241,0,0,3,16,0
"JJ Roy (ENG)","2019-2019",4,8,0,110,"31",229,0,0,1,16,0
"MS Harris (AUS)","2019-2021",4,8,0,101,"38",226,0,0,0,17,0
"KL Rahul (INDIA)","2019-2019",2,4,0,101,"44",271,0,0,0,12,0
"S Muthusamy (SA)","2019-2019",2,4,2,98,"49*",278,0,0,0,10,0
"Taijul Islam (BDESH)","2019-2021",7,12,1,97,"24",358,0,0,1,9,0
"Mahmudullah (BDESH)","2019-2020",3,6,1,95,"39*",176,0,0,1,15,0
"WP Saha (INDIA)","2019-2020",6,6,1,87,"24",151,0,0,0,12,0
"PM Siddle (AUS)","2019-2019",3,4,1,84,"44",173,0,0,0,9,0
"JA Raval (NZ)","2019-2020",4,7,0,82,"33",215,0,0,1,8,0
"BT Foakes (ENG)","2021-2021",3,6,1,78,"42*",260,0,0,0,5,0
"SO Hetmyer (WI)","2019-2019",2,4,0,71,"35",121,0,0,0,10,0
"Zafar Gohar (PAK)","2021-2021",1,2,0,71,"37",126,0,0,0,13,0
"Shaheen Shah Afridi (PAK)","2019-2021",12,17,2,62,"10",235,0,0,5,9,0
"Shadab Khan (PAK)","2020-2020",1,2,0,60,"45",98,0,0,0,5,0
"JM Anderson (ENG)","2019-2021",12,16,8,59,"11",143,0,0,2,7,0
"Nayeem Hasan (BDESH)","2019-2021",3,5,1,58,"24",98,0,0,1,9,0
"JR Hazlewood (AUS)","2019-2021",11,13,7,57,"11",100,0,0,1,9,0
"RTM Mendis (SL)","2021-2021",2,4,0,57,"33",107,0,0,1,6,0
"WER Somerville (NZ)","2019-2020",3,4,2,56,"40*",161,0,0,1,4,0
"WA Young (NZ)","2020-2020",2,2,0,48,"43",98,0,0,0,5,0
"CT Bancroft (AUS)","2019-2019",2,4,0,44,"16",162,0,0,0,6,0
"Iftikhar Ahmed (PAK)","2019-2019",2,4,0,44,"27",118,0,0,1,3,0
"KD Petersen (SA)","2021-2021",2,3,0,44,"19",89,0,0,0,4,0
"D Paterson (SA)","2020-2020",2,4,3,43,"39*",49,0,0,0,7,0
"TD Astle (NZ)","2020-2020",1,2,1,42,"25*",81,0,0,0,6,0
"MR Marsh (AUS)","2019-2019",1,2,0,41,"24",111,0,0,0,6,0
"K Verreynne (SA)","2021-2021",2,3,0,39,"27",116,0,0,0,3,0
"Imran Butt (PAK)","2021-2021",2,4,0,36,"15",104,0,0,1,7,0
"Hasan Ali (PAK)","2021-2021",2,3,0,34,"21",80,0,0,0,3,0
"L Ngidi (SA)","2019-2021",6,9,4,34,"14*",88,0,0,2,6,0
"PVD Chameera (SL)","2021-2021",3,5,0,32,"22",81,0,0,1,4,0
"JJ Bumrah (INDIA)","2019-2021",10,15,5,29,"10*",94,0,0,6,4,0
"S Moseley (WI)","2021-2021",2,4,0,28,"12",105,0,0,0,3,0
"Naseem Shah (PAK)","2019-2021",9,12,5,28,"12",88,0,0,2,5,0
"C Overton (ENG)","2019-2019",1,2,0,26,"21",120,0,0,0,2,0
"Al-Amin Hossain (BDESH)","2019-2019",1,2,1,22,"21",24,0,0,0,5,0
"ST Gabriel (WI)","2019-2021",12,20,11,21,"8",97,0,0,5,3,0
"CK Holder (WI)","2020-2020",1,2,2,21,"13*",37,0,0,0,3,0
"Imrul Kayes (BDESH)","2019-2019",2,4,0,21,"6",61,0,0,0,2,0
"AY Patel (NZ)","2019-2020",3,3,1,18,"14",44,0,0,1,2,0
"Abu Jayed (BDESH)","2019-2021",6,10,5,17,"7*",73,0,0,3,1,0
"Muhammad Musa (PAK)","2019-2019",1,2,2,16,"12*",17,0,0,0,3,0
"Soumya Sarkar (BDESH)","2021-2021",1,2,0,13,"13",38,0,0,1,1,0
"Taskin Ahmed (BDESH)","2021-2021",2,3,1,13,"7",53,0,0,1,1,0
"CAK Rajitha (SL)","2019-2020",2,2,0,12,"12",76,0,0,1,2,0
