Player,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,5,10
"Abid Ali (PAK)",0,0,0,0,0,"-","-",0,0
"MA Agarwal (INDIA)",0,0,0,0,0,"-","-",0,0
"Babar Azam (PAK)",0,0,0,0,0,"-","-",0,0
"JM Bairstow (ENG)",0,0,0,0,0,"-","-",0,0
"CT Bancroft (AUS)",0,0,0,0,0,"-","-",0,0
"T Bavuma (SA)",0,0,0,0,0,"-","-",0,0
"M Bhanuka (SL)",0,0,0,0,0,"-","-",0,0
"DM Bravo (WI)",0,0,0,0,0,"-","-",0,0
"SSJ Brooks (WI)",0,0,0,0,0,"-","-",0,0
"JA Burns (AUS)",0,0,0,0,0,"-","-",0,0
"RJ Burns (ENG)",0,0,0,0,0,"-","-",0,0
"JC Buttler (ENG)",0,0,0,0,0,"-","-",0,0
"LD Chandimal (SL)",0,0,0,0,0,"-","-",0,0
"DP Conway (NZ)",0,0,0,0,0,"-","-",0,0
"Z Crawley (ENG)",0,0,0,0,0,"-","-",0,0
"J Da Silva (WI)",0,0,0,0,0,"-","-",0,0
"TB de Bruyn (SA)",0,0,0,0,0,"-","-",0,0
"Q de Kock (SA)",0,0,0,0,0,"-","-",0,0
"N Dickwella (SL)",0,0,0,0,0,"-","-",0,0
"SO Dowrich (WI)",0,0,0,0,0,"-","-",0,0
"F du Plessis (SA)",0,0,0,0,0,"-","-",0,0
"BT Foakes (ENG)",0,0,0,0,0,"-","-",0,0
"JN Hamilton (WI)",0,0,0,0,0,"-","-",0,0
"MS Harris (AUS)",0,0,0,0,0,"-","-",0,0
"SO Hetmyer (WI)",0,0,0,0,0,"-","-",0,0
"SD Hope (WI)",0,0,0,0,0,"-","-",0,0
"Imam-ul-Haq (PAK)",0,0,0,0,0,"-","-",0,0
"Imran Butt (PAK)",0,0,0,0,0,"-","-",0,0
"Imrul Kayes (BDESH)",0,0,0,0,0,"-","-",0,0
"UT Khawaja (AUS)",0,0,0,0,0,"-","-",0,0
"H Klaasen (SA)",0,0,0,0,0,"-","-",0,0
"TWM Latham (NZ)",0,0,0,0,0,"-","-",0,0
"Liton Das (BDESH)",0,0,0,0,0,"-","-",0,0
"Mohammad Mithun (BDESH)",0,0,0,0,0,"-","-",0,0
"Mohammad Rizwan (PAK)",0,0,0,0,0,"-","-",0,0
"S Moseley (WI)",0,0,0,0,0,"-","-",0,0
"Mushfiqur Rahim (BDESH)",0,0,0,0,0,"-","-",0,0
"Najmul Hossain Shanto (BDESH)",0,0,0,0,0,"-","-",0,0
"HM Nicholls (NZ)",0,0,0,0,0,"-","-",0,0
"P Nissanka (SL)",0,0,0,0,0,"-","-",0,0
"TD Paine (AUS)",0,0,0,0,0,"-","-",0,0
"RR Pant (INDIA)",0,0,0,0,0,"-","-",0,0
"MDKJ Perera (SL)",0,0,0,0,0,"-","-",0,0
"KD Petersen (SA)",0,0,0,0,0,"-","-",0,0
"GD Phillips (NZ)",0,0,0,0,0,"-","-",0,0
"OJ Pope (ENG)",0,0,0,0,0,"-","-",0,0
"KOA Powell (WI)",0,0,0,0,0,"-","-",0,0
"WJ Pucovski (AUS)",0,0,0,0,0,"-","-",0,0
"CA Pujara (INDIA)",0,0,0,0,0,"-","-",0,0
"AM Rahane (INDIA)",0,0,0,0,0,"-","-",0,0
"KL Rahul (INDIA)",0,0,0,0,0,"-","-",0,0
"JJ Roy (ENG)",0,0,0,0,0,"-","-",0,0
"WP Saha (INDIA)",0,0,0,0,0,"-","-",0,0
"Shadman Islam (BDESH)",0,0,0,0,0,"-","-",0,0
"PP Shaw (INDIA)",0,0,0,0,0,"-","-",0,0
"Shubman Gill (INDIA)",0,0,0,0,0,"-","-",0,0
"Tamim Iqbal (BDESH)",0,0,0,0,0,"-","-",0,0
"LRPL Taylor (NZ)",0,0,0,0,0,"-","-",0,0
"HDRL Thirimanne (SL)",0,0,0,0,0,"-","-",0,0
"HE van der Dussen (SA)",0,0,0,0,0,"-","-",0,0
"K Verreynne (SA)",0,0,0,0,0,"-","-",0,0
"DA Warner (AUS)",0,0,0,0,0,"-","-",0,0
"BJ Watling (NZ)",0,0,0,0,0,"-","-",0,0
"WA Young (NZ)",0,0,0,0,0,"-","-",0,0
"Zubayr Hamza (SA)",0,0,0,0,0,"-","-",0,0
"R Ashwin (INDIA)",26,549.4,105,1444,71,"7/145","9/207",4,0
"PJ Cummins (AUS)",28,555.3,158,1472,70,"5/28","7/69",1,0
