Player,Ct,St,Scorecard
"TD Paine",7,1,"Test # 2376"
"Q de Kock",8,0,"Test # 2377"
"Q de Kock",8,0,"Test # 2379"
"BJ Watling",8,0,"Test # 2397"
"Q de Kock",8,0,"Test # 2401"
"TD Paine",7,0,"Test # 2368"
"Q de Kock",7,0,"Test # 2382"
"BJ Watling",7,0,"Test # 2385"
"TD Paine",7,0,"Test # 2396"
"N Dickwella",7,0,"Test # 2417"
"J Da Silva",6,1,"Test # 2426"
"TD Paine",6,0,"Test # 2355"
"BJ Watling",6,0,"Test # 2356"
"SD Hope",6,0,"Test # 2358"
"RR Pant",6,0,"Test # 2359"
"TD Paine",6,0,"Test # 2372"
"Mohammad Rizwan",6,0,"Test # 2375"
"SO Dowrich",6,0,"Test # 2388"
"BJ Watling",6,0,"Test # 2400"
"JC Buttler",5,1,"Test # 2403"
"JM Bairstow",5,0,"Test # 2353"
"JM Bairstow",5,0,"Test # 2357"
"TD Paine",5,0,"Test # 2357"
"RR Pant",5,0,"Test # 2358"
"JN Hamilton",5,0,"Test # 2359"
"JM Bairstow",3,2,"Test # 2362"
"WP Saha",5,0,"Test # 2364"
"WP Saha",4,1,"Test # 2365"
"JC Buttler",5,0,"Test # 2377"
"JC Buttler",5,0,"Test # 2382"
"BJ Watling",5,0,"Test # 2387"
"JC Buttler",5,0,"Test # 2390"
"JC Buttler",5,0,"Test # 2409"
"BT Foakes",2,3,"Test # 2411"
"Liton Das",4,1,"Test # 2419"
"BJ Watling",5,0,"Test # 2425"
