Player,Inns,St,Ct Wk,MD_Inn
"TD Paine (AUS)",28,2,63,"5 (5ct 0st)"
"JC Buttler (ENG)",35,1,49,"4 (3ct 1st)"
"Q de Kock (SA)",23,2,48,"6 (6ct 0st)"
"BJ Watling (NZ)",22,1,47,"5 (5ct 0st)"
"RR Pant (INDIA)",24,6,35,"4 (4ct 0st)"
"Mohammad Rizwan (PAK)",18,1,31,"4 (4ct 0st)"
"N Dickwella (SL)",21,3,28,"5 (5ct 0st)"
"JM Bairstow (ENG)",19,2,22,"4 (4ct 0st)"
"J Da Silva (WI)",12,1,23,"4 (4ct 0st)"
"WP Saha (INDIA)",12,1,17,"3 (3ct 0st)"
"Liton Das (BDESH)",10,2,14,"4 (4ct 0st)"
"SD Hope (WI)",11,0,6,"5 (5ct 0st)"
"SO Dowrich (WI)",7,0,7,"3 (3ct 0st)"
"BT Foakes (ENG)",5,3,4,"3 (2ct 1st)"
"TA Blundell (NZ)",16,0,2,"1 (1ct 0st)"
"SSJ Brooks (WI)",12,0,1,"1 (1ct 0st)"
"JN Hamilton (WI)",2,0,5,"3 (3ct 0st)"
"H Klaasen (SA)",1,1,3,"4 (3ct 1st)"
