Player,Inns,Ct Fi,MD
"JC Buttler (ENG)",35,5,"4 (3ct 1st)"
"JE Root (ENG)",38,34,"3 (3ct 0st)"
"JM Bairstow (ENG)",19,3,"4 (4ct 0st)"
"SPD Smith (AUS)",26,27,"4 (4ct 0st)"
"BA Stokes (ENG)",33,25,"5 (5ct 0st)"
"AM Rahane (INDIA)",36,23,"3 (3ct 0st)"
"LRPL Taylor (NZ)",24,21,"3 (3ct 0st)"
"JO Holder (WI)",19,19,"3 (3ct 0st)"
"TWM Latham (NZ)",24,19,"3 (3ct 0st)"
"V Kohli (INDIA)",30,18,"3 (3ct 0st)"
"RG Sharma (INDIA)",24,17,"3 (3ct 0st)"
"D Elgar (SA)",23,15,"3 (3ct 0st)"
"HDRL Thirimanne (SL)",17,15,"5 (5ct 0st)"
"HE van der Dussen (SA)",19,15,"3 (3ct 0st)"
"DA Warner (AUS)",24,15,"4 (4ct 0st)"
"OJ Pope (ENG)",24,14,"3 (3ct 0st)"
"RJ Burns (ENG)",27,13,"2 (2ct 0st)"
"SD Hope (WI)",11,7,"5 (5ct 0st)"
"CA Pujara (INDIA)",36,12,"2 (2ct 0st)"
"DM de Silva (SL)",15,11,"3 (3ct 0st)"
"TG Southee (NZ)",22,11,"2 (2ct 0st)"
"MS Wade (AUS)",28,11,"2 (2ct 0st)"
"Asad Shafiq (PAK)",11,10,"2 (2ct 0st)"
"RRS Cornwall (WI)",13,10,"3 (3ct 0st)"
"Z Crawley (ENG)",20,10,"3 (3ct 0st)"
"F du Plessis (SA)",19,10,"2 (2ct 0st)"
"NM Lyon (AUS)",28,9,"1 (1ct 0st)"
"AK Markram (SA)",17,9,"3 (3ct 0st)"
"MA Agarwal (INDIA)",24,8,"2 (2ct 0st)"
"BKG Mendis (SL)",11,8,"3 (3ct 0st)"
"Najmul Hossain Shanto (BDESH)",8,8,"2 (2ct 0st)"
"DP Sibley (ENG)",30,8,"2 (2ct 0st)"
"KC Brathwaite (WI)",23,7,"2 (2ct 0st)"
"PJ Cummins (AUS)",28,7,"1 (1ct 0st)"
"RA Jadeja (INDIA)",22,7,"2 (2ct 0st)"
"M Labuschagne (AUS)",26,7,"1 (1ct 0st)"
"PWA Mulder (SA)",10,7,"3 (3ct 0st)"
"HM Nicholls (NZ)",22,7,"2 (2ct 0st)"
"MJ Santner (NZ)",8,7,"2 (2ct 0st)"
"JM Anderson (ENG)",22,6,"1 (1ct 0st)"
"JL Denly (ENG)",20,6,"1 (1ct 0st)"
"Haris Sohail (PAK)",9,6,"2 (2ct 0st)"
"TM Head (AUS)",22,6,"2 (2ct 0st)"
"Imran Butt (PAK)",4,6,"3 (3ct 0st)"
"Shan Masood (PAK)",14,6,"2 (2ct 0st)"
"MA Starc (AUS)",20,6,"1 (1ct 0st)"
"KS Williamson (NZ)",20,6,"1 (1ct 0st)"
"Babar Azam (PAK)",15,5,"1 (1ct 0st)"
"CT Bancroft (AUS)",4,5,"3 (3ct 0st)"
"J Blackwood (WI)",21,5,"2 (2ct 0st)"
"TA Blundell (NZ)",16,3,"1 (1ct 0st)"
"SSJ Brooks (WI)",12,4,"1 (1ct 0st)"
"JA Burns (AUS)",14,5,"2 (2ct 0st)"
"JD Campbell (WI)",20,5,"1 (1ct 0st)"
"BOP Fernando (SL)",13,5,"2 (2ct 0st)"
"C Green (AUS)",8,5,"2 (2ct 0st)"
"FDM Karunaratne (SL)",17,5,"1 (1ct 0st)"
"MJ Leach (ENG)",19,5,"2 (2ct 0st)"
"Shubman Gill (INDIA)",16,5,"1 (1ct 0st)"
"Abid Ali (PAK)",16,4,"3 (3ct 0st)"
"R Ashwin (INDIA)",28,4,"1 (1ct 0st)"
"T Bavuma (SA)",14,4,"1 (1ct 0st)"
"NE Bonner (WI)",9,4,"2 (2ct 0st)"
"SCJ Broad (ENG)",33,4,"1 (1ct 0st)"
"SM Curran (ENG)",17,4,"2 (2ct 0st)"
"JR Hazlewood (AUS)",22,4,"1 (1ct 0st)"
"KA Maharaj (SA)",20,4,"1 (1ct 0st)"
"KR Mayers (WI)",11,4,"2 (2ct 0st)"
"A Nortje (SA)",21,4,"2 (2ct 0st)"
"KAJ Roach (WI)",20,4,"1 (1ct 0st)"
"Taijul Islam (BDESH)",10,4,"1 (1ct 0st)"
"CR Woakes (ENG)",19,4,"1 (1ct 0st)"
"Yasir Shah (PAK)",16,4,"2 (2ct 0st)"
"TA Boult (NZ)",20,3,"1 (1ct 0st)"
