Wkt,Runs,Partner_1,Partner_2,Opposition,Scorecard,Partners
"1st",317,"MA Agarwal"," RG Sharma","South Africa","Test # 2363","MA Agarwal, RG Sharma"
"2nd",361,"DA Warner"," M Labuschagne","Pakistan","Test # 2372","DA Warner, M Labuschagne"
"3rd",242,"Najmul Hossain Shanto"," Mominul Haque","Sri Lanka","Test # 2418","Najmul Hossain Shanto, Mominul Haque"
"4th",369,"KS Williamson"," HM Nicholls","Pakistan","Test # 2400","KS Williamson, HM Nicholls"
"5th",359,"Z Crawley"," JC Buttler","Pakistan","Test # 2393","Z Crawley, JC Buttler"
"6th",179,"P Nissanka"," N Dickwella","West Indies","Test # 2416","P Nissanka, N Dickwella"
"7th",155,"J Blackwood"," AS Joseph","New Zealand","Test # 2394","J Blackwood, AS Joseph"
"8th",112,"GH Vihari"," I Sharma","West Indies","Test # 2359","GH Vihari, I Sharma"
"9th",109,"VD Philander"," KA Maharaj","India","Test # 2364","VD Philander, KA Maharaj"
"10th",99,"KA Maharaj"," D Paterson","England","Test # 2380","KA Maharaj, D Paterson"
