Partner_1,Partner_2,Team,Inns,NO,Runs,High,100,50,Partners
"R Ashwin"," Mohammed Siraj","INDIA",1,0,49,"49",0,0,"R Ashwin, Mohammed Siraj (INDIA)"
"L Embuldeniya"," RAS Lakmal","SL",1,0,48,"48",0,0,"L Embuldeniya, RAS Lakmal (SL)"
"Iftikhar Ahmed"," Mohammad Rizwan","PAK",1,0,47,"47",0,0,"Iftikhar Ahmed, Mohammad Rizwan (PAK)"
"T Bavuma"," S Muthusamy","SA",1,0,46,"46",0,0,"T Bavuma, S Muthusamy (SA)"
"DW Lawrence"," OJ Pope","ENG",1,0,45,"45",0,0,"DW Lawrence, OJ Pope (ENG)"
"SO Hetmyer"," SD Hope","WI",1,0,44,"44",0,0,"SO Hetmyer, SD Hope (WI)"
"J Blackwood"," SD Hope","WI",1,0,43,"43",0,0,"J Blackwood, SD Hope (WI)"
"JD Campbell"," SD Hope","WI",1,0,43,"43",0,0,"JD Campbell, SD Hope (WI)"
"DM de Silva"," RAS Lakmal","SL",1,0,43,"43",0,0,"DM de Silva, RAS Lakmal (SL)"
"MR Marsh"," SPD Smith","AUS",1,0,42,"42",0,0,"MR Marsh, SPD Smith (AUS)"
"Najmul Hossain Shanto"," Saif Hassan","BDESH",1,0,42,"42",0,0,"Najmul Hossain Shanto, Saif Hassan (BDESH)"
"ML Cummins"," JO Holder","WI",1,0,41,"41",0,0,"ML Cummins, JO Holder (WI)"
"Haris Sohail"," Yasir Shah","PAK",1,0,41,"41",0,0,"Haris Sohail, Yasir Shah (PAK)"
"TD Astle"," GD Phillips","NZ",1,0,40,"40",0,0,"TD Astle, GD Phillips (NZ)"
"TA Blundell"," MJ Santner","NZ",1,0,40,"40",0,0,"TA Blundell, MJ Santner (NZ)"
"MM Ali"," CR Woakes","ENG",1,0,39,"39",0,0,"MM Ali, CR Woakes (ENG)"
"C de Grandhomme"," TWM Latham","NZ",1,0,39,"39",0,0,"C de Grandhomme, TWM Latham (NZ)"
"MM Ali"," SCJ Broad","ENG",1,0,38,"38",0,0,"MM Ali, SCJ Broad (ENG)"
"TA Boult"," AY Patel","NZ",1,0,38,"38",0,0,"TA Boult, AY Patel (NZ)"
"AD Mathews"," MDK Perera","SL",1,0,38,"38",0,0,"AD Mathews, MDK Perera (SL)"
"MVT Fernando"," MDK Perera","SL",1,0,36,"36",0,0,"MVT Fernando, MDK Perera (SL)"
