Country,Score,Overs,Inns,Scorecard
"New Zealand","659/6d","158.5","2","Test # 2400"
"Sri Lanka","648/8d","179.0","2","Test # 2418"
"South Africa","621","142.1","2","Test # 2399"
"India","601/5d","156.3","1","Test # 2364"
"Australia","589/3d","127.0","1","Test # 2372"
"England","583/8d","154.4","1","Test # 2393"
"Australia","580","157.4","2","Test # 2368"
"England","578","190.1","1","Test # 2409"
"Pakistan","555/3d","131.0","3","Test # 2375"
"Bangladesh","541/7d","173.0","1","Test # 2418"
"New Zealand","519/7d","145.0","1","Test # 2394"
"India","502/7d","136.0","1","Test # 2363"
"England","499/9d","152.0","1","Test # 2380"
"India","497/9d","116.3","1","Test # 2365"
"Australia","497/8d","126.0","1","Test # 2360"
"India","493/6d","114.0","2","Test # 2366"
"Sri Lanka","493/7d","159.2","1","Test # 2419"
"Australia","487/7d","112.0","3","Test # 2353"
"Sri Lanka","476","149.5","3","Test # 2416"
"England","469/9d","162.0","1","Test # 2389"
"Australia","467","155.1","1","Test # 2376"
"New Zealand","460","114.0","1","Test # 2395"
"Australia","454","150.1","1","Test # 2378"
"Pakistan","445","122.5","2","Test # 2384"
"New Zealand","431/6d","115.0","2","Test # 2356"
"South Africa","431","131.2","2","Test # 2363"
"New Zealand","431","155.0","1","Test # 2397"
"Bangladesh","430","150.2","1","Test # 2407"
"England","421","117.1","2","Test # 2403"
"India","416","140.1","1","Test # 2359"
"Australia","416","146.2","1","Test # 2374"
"West Indies","409","142.2","1","Test # 2410"
"England","400","98.2","1","Test # 2382"
"Sri Lanka","396","96.0","1","Test # 2399"
"West Indies","395/7","127.3","4","Test # 2407"
"England","391/8d","111.0","3","Test # 2379"
"Sri Lanka","381","139.3","1","Test # 2405"
"Pakistan","378","119.2","2","Test # 2406"
"England","374","135.5","2","Test # 2353"
"England","369","111.5","1","Test # 2390"
"Australia","369","115.2","1","Test # 2404"
"India","365","114.4","2","Test # 2414"
"England","362/9","125.4","4","Test # 2357"
"Sri Lanka","359","136.5","3","Test # 2403"
"West Indies","354","111.1","1","Test # 2417"
"New Zealand","348","100.2","2","Test # 2385"
"India","347/9d","89.4","2","Test # 2369"
"England","344","116.1","2","Test # 2405"
"India","343/7d","112.3","3","Test # 2358"
"Australia","338","105.4","1","Test # 2402"
