Country,Opposition,Runs,Wkts,Overs,Scorecard
"India","South Africa",1447,31,398.1,"Test # 2363"
"Australia","India",1328,37,399.5,"Test # 2404"
"Bangladesh","West Indies",1307,35,441.5,"Test # 2407"
"England","Australia",1291,37,381,"Test # 2353"
"Sri Lanka","Bangladesh",1289,17,385,"Test # 2418"
"India","England",1285,40,390.4,"Test # 2409"
"Pakistan","Sri Lanka",1229,33,339.1,"Test # 2375"
"Australia","India",1228,31,424.2,"Test # 2402"
"South Africa","Sri Lanka",1197,28,284.2,"Test # 2399"
"England","Australia",1181,34,367.2,"Test # 2360"
"Sri Lanka","Bangladesh",1165,36,355.4,"Test # 2419"
"Australia","Pakistan",1155,30,328.2,"Test # 2368"
"West Indies","Sri Lanka",1152,34,422.3,"Test # 2416"
"New Zealand","Pakistan",1142,26,324.2,"Test # 2400"
"South Africa","England",1131,38,429.3,"Test # 2379"
"Australia","Pakistan",1130,23,303.4,"Test # 2372"
"New Zealand","Pakistan",1121,35,426.2,"Test # 2397"
"England","Australia",1111,40,328.3,"Test # 2362"
"South Africa","England",1105,40,305.3,"Test # 2382"
"West Indies","Sri Lanka",1085,26,369.5,"Test # 2417"
"England","West Indies",1083,32,350.1,"Test # 2389"
"Sri Lanka","New Zealand",1069,34,368.5,"Test # 2354"
"India","South Africa",1065,25,329.3,"Test # 2364"
"Australia","New Zealand",1063,31,345.4,"Test # 2378"
"Pakistan","South Africa",1045,40,373.5,"Test # 2408"
"England","Pakistan",1043,22,330.5,"Test # 2393"
"England","West Indies",1035,36,345.1,"Test # 2388"
"Bangladesh","West Indies",1035,40,353.3,"Test # 2410"
"Australia","New Zealand",1023,34,335.2,"Test # 2376"
"Sri Lanka","England",1015,34,335,"Test # 2405"
"South Africa","England",1005,40,292.3,"Test # 2377"
"England","Pakistan",991,37,308.5,"Test # 2391"
"Sri Lanka","England",991,33,324.3,"Test # 2403"
"Australia","New Zealand",970,39,336.2,"Test # 2374"
"West Indies","India",962,37,310.2,"Test # 2358"
"South Africa","England",945,29,327.3,"Test # 2380"
"Pakistan","South Africa",933,33,312,"Test # 2406"
"England","West Indies",921,32,272,"Test # 2390"
"England","Australia",920,31,290.1,"Test # 2355"
"India","England",913,40,295.5,"Test # 2411"
"West Indies","India",911,34,301.5,"Test # 2359"
"New Zealand","West Indies",908,30,249.5,"Test # 2395"
"New Zealand","West Indies",904,25,267.5,"Test # 2394"
"India","Bangladesh",856,26,241.5,"Test # 2366"
"England","Australia",854,39,281,"Test # 2357"
"Pakistan","Bangladesh",846,30,268,"Test # 2384"
"Sri Lanka","New Zealand",797,26,275.4,"Test # 2356"
"India","South Africa",792,29,220.5,"Test # 2365"
"Australia","India",791,32,306.4,"Test # 2398"
"West Indies","South Africa",786,39,278.1,"Test # 2426"
