Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,1975,Australia,Alan Hurst,15 July 1950,Right-handed,Right-arm fast,Victoria
ODI World Cup,1975,Australia,Alan Turner,23 July 1950,Left-handed,-,New South Wales
ODI World Cup,1975,Australia,Ashley Mallett,13 July 1945,Right-handed,Right-arm offbreak,South Australia
ODI World Cup,1975,Australia,Bruce Laird,21 November 1950,Right-handed,-,Western Australia
ODI World Cup,1975,Australia,Dennis Lillee,18 July 1949,Right-handed,Right-arm fast,Western Australia
ODI World Cup,1975,Australia,Doug Walters,21 December 1945,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1975,Australia,Gary Gilmour,26 June 1951,Left-handed,Left-arm fast medium,New South Wales
ODI World Cup,1975,Australia,Greg Chappell (vc),7 August 1948,Right-handed,Right-arm medium,Queensland
ODI World Cup,1975,Australia,Ian Chappell (c),26 September 1943,Right-handed,Right-arm leg spin,South Australia
ODI World Cup,1975,Australia,Jeff Thomson,16 August 1950,Right-handed,Right-arm fast,Queensland
ODI World Cup,1975,Australia,Max Walker,12 September 1948,Right-handed,Right-arm fast-medium,Victoria
ODI World Cup,1975,Australia,Rick McCosker,11 December 1946,Right-handed,Right-arm legbreak,New South Wales
ODI World Cup,1975,Australia,Rod Marsh (wk),4 November 1947,Left-handed,Wicket-keeper,Western Australia
ODI World Cup,1975,Australia,Ross Edwards,1 December 1942,Right-handed,Wicket-keeper,Western Australia
ODI World Cup,1975,East Africa,Don Pringle,1 May 1932,Right-handed,Right-arm medium,Kenya
ODI World Cup,1975,East Africa,Frasat Ali,31 July 1949,Right-handed,Right-arm medium,Kenya
ODI World Cup,1975,East Africa,Hamish McLeod (wk),,Left-handed,Wicket-keeper,Zambia
ODI World Cup,1975,East Africa,Harilal Shah (c),14 April 1943,Right-handed,Right-arm medium,Kenya
ODI World Cup,1975,East Africa,Jawahir Shah,1942,Right-handed,-,Kenya
ODI World Cup,1975,East Africa,John Nagenda,25 April 1938,Right-handed,Right-arm fast-medium,Uganda
ODI World Cup,1975,East Africa,Mehmood Quaraishy,4 February 1942,Right-handed,-,Kenya
ODI World Cup,1975,East Africa,Parbhu Nana,17 August 1933,Right-handed,Left-arm orthodox spin,Zambia
ODI World Cup,1975,East Africa,Praful Mehta (wk),1941,Left-handed,Wicket-keeper,Tanzania
ODI World Cup,1975,East Africa,Ramesh Sethi,4 September 1941,Right-handed,Right-arm offbreak,Kenya
ODI World Cup,1975,East Africa,Samuel Walusimbi,1948,Right-handed,Left-arm medium,Uganda
ODI World Cup,1975,East Africa,Shiraz Sumar,1950,Right-handed,-,Tanzania
ODI World Cup,1975,East Africa,Yunus Badat,1943,Right-handed,-,Zambia
ODI World Cup,1975,East Africa,Zulfiqar Ali,1947,Right-handed,Right-arm medium,Kenya
ODI World Cup,1975,England,Alan Knott (wk),9 April 1946,Right-handed,Wicket-keeper,Kent
ODI World Cup,1975,England,Barry Wood,26 December 1942,Right-handed,Right-arm medium,Lancashire
ODI World Cup,1975,England,Bob Woolmer,14 May 1948,Right-handed,Right-arm medium,Kent
ODI World Cup,1975,England,Chris Old,22 December 1948,Left-handed,Right-arm fast-medium,Yorkshire
ODI World Cup,1975,England,Dennis Amiss,7 April 1943,Right-handed,-,Warwickshire
ODI World Cup,1975,England,Derek Underwood,8 June 1945,Right-handed,Left-arm orthodox spin,Kent
ODI World Cup,1975,England,Frank Hayes,6 December 1946,Right-handed,Right-arm medium,Lancashire
ODI World Cup,1975,England,Geoff Arnold,3 September 1944,Right-handed,Right-arm fast-medium,Surrey
ODI World Cup,1975,England,John Jameson (wk),30 June 1941,Right-handed,Wicket-keeper,Warwickshire
ODI World Cup,1975,England,John Snow,13 October 1941,Right-handed,Right-arm fast-medium,Sussex
ODI World Cup,1975,England,Keith Fletcher,20 May 1944,Right-handed,Right-arm legbreak,Essex
ODI World Cup,1975,England,Mike Denness (c),1 December 1940,Right-handed,-,Kent
ODI World Cup,1975,England,Peter Lever,17 September 1940,Right-handed,Right-arm fast-medium,Lancashire
ODI World Cup,1975,England,Tony Greig,6 October 1946,Right-handed,Right-arm medium,Sussex
ODI World Cup,1975,India,Anshuman Gaekwad,23 September 1952,Right-handed,Right-arm offbreak,Baroda
ODI World Cup,1975,India,Bishen Singh Bedi (vc),25 September 1946,Right-handed,Left-arm slow orthodox,Delhi
ODI World Cup,1975,India,Brijesh Patel,24 November 1952,Right-handed,Right-arm offbreak,Karnataka
ODI World Cup,1975,India,Eknath Solkar,19 March 1948,Left-handed,Left-arm slow orthodox,Bombay
ODI World Cup,1975,India,Farokh Engineer (wk),25 February 1938,Right-handed,Wicket-keeper,Bombay
ODI World Cup,1975,India,Gundappa Viswanath,12 February 1949,Right-handed,Right-arm legbreak,Karnataka
ODI World Cup,1975,India,Karsan Ghavri,28 February 1951,Left-handed,Left-arm medium,Bombay
ODI World Cup,1975,India,Madan Lal,20 March 1951,Right-handed,Right-arm medium,Delhi
ODI World Cup,1975,India,Mohinder Amarnath,24 September 1950,Right-handed,Right-arm medium,Delhi
ODI World Cup,1975,India,Parthasarathy Sharma,5 January 1948,Right-handed,Right-arm medium,Rajasthan
ODI World Cup,1975,India,Srinivasaraghavan Venkataraghavan (c),21 April 1945,Right-handed,Right-arm offbreak,Tamil Nadu
ODI World Cup,1975,India,Sunil Gavaskar,10 July 1949,Right-handed,Right-arm medium/offbreak,Bombay
ODI World Cup,1975,India,Syed Abid Ali,9 September 1941,Right-handed,Right-arm medium-fast,Hyderabad
ODI World Cup,1975,India,Syed Kirmani (wk),29 December 1949,Right-handed,Wicket-keeper,Karnataka
ODI World Cup,1975,New Zealand,Barry Hadlee,14 December 1941,Right-handed,-,Canterbury
ODI World Cup,1975,New Zealand,Brian Hastings,23 March 1940,Right-handed,Right-arm legbreak googly,Canterbury
ODI World Cup,1975,New Zealand,Brian McKechnie,6 November 1953,Right-handed,Right-arm fast-medium,Otago
ODI World Cup,1975,New Zealand,David O'Sullivan,21 February 1951,Right-handed,Slow left-arm orthodox,Central Districts
ODI World Cup,1975,New Zealand,Dayle Hadlee,6 January 1948,Right-handed,Right-arm medium-fast,Canterbury
ODI World Cup,1975,New Zealand,Geoff Howarth,29 March 1951,Right-handed,Right-arm offbreak,Northern Districts
ODI World Cup,1975,New Zealand,Glenn Turner (c),26 May 1947,Right-handed,Right-arm offbreak,Otago
ODI World Cup,1975,New Zealand,Hedley Howarth,25 December 1943,Left-handed,Left-arm orthodox spin,Auckland
ODI World Cup,1975,New Zealand,John Morrison,27 August 1947,Right-handed,Left-arm orthodox spin,Wellington
ODI World Cup,1975,New Zealand,John Parker,21 February 1951,Right-handed,Right-arm legbreak,Northern Districts
ODI World Cup,1975,New Zealand,Ken Wadsworth (wk),30 November 1946,Right-handed,Wicket-keeper,Central Districts
ODI World Cup,1975,New Zealand,Lance Cairns,10 October 1949,Right-handed,Right-arm medium-fast,Otago
ODI World Cup,1975,New Zealand,Richard Collinge,2 April 1946,Right-handed,Left-arm medium-fast,Wellington
ODI World Cup,1975,New Zealand,Richard Hadlee,3 July 1951,Left-handed,Right-arm fast,Canterbury
ODI World Cup,1975,Pakistan,Asif Iqbal (c),6 July 1943,Right-handed,Right-arm medium,Karachi
ODI World Cup,1975,Pakistan,Asif Masood,23 January 1946,Right-handed,Right-arm medium-fast,PIA
ODI World Cup,1975,Pakistan,Imran Khan,5 October 1952,Right-handed,Right-arm fast,PIA
ODI World Cup,1975,Pakistan,Javed Miandad,12 June 1957,Right-handed,Right-arm legbreak,Habib Bank
ODI World Cup,1975,Pakistan,Majid Khan (vc),28 September 1946,Right-handed,Right-arm medium/offbreak,Rawalpindi
ODI World Cup,1975,Pakistan,Mushtaq Mohammad,22 November 1943,Right-handed,Right-arm legbreak,Karachi
ODI World Cup,1975,Pakistan,Naseer Malik,1 February 1950,Right-handed,Right-arm medium-fast,Karachi
ODI World Cup,1975,Pakistan,Pervez Mir,24 September 1953,Right-handed,Right-arm medium-fast,Lahore
ODI World Cup,1975,Pakistan,Sadiq Mohammad,3 May 1945,Left-handed,Right-arm legbreak,Karachi
ODI World Cup,1975,Pakistan,Sarfraz Nawaz,1 December 1948,Right-handed,Right-arm fast-medium,Lahore
ODI World Cup,1975,Pakistan,Shafiq Ahmed,28 March 1949,Right-handed,Right-arm fast-medium,Lahore
ODI World Cup,1975,Pakistan,Wasim Bari (wk),23 March 1948,Right-handed,Wicket-keeper,Karachi
ODI World Cup,1975,Pakistan,Wasim Raja,3 July 1952,Left-handed,Right-arm legbreak,Lahore
ODI World Cup,1975,Pakistan,Zaheer Abbas,24 July 1947,Right-handed,Right-arm offbreak,Karachi
ODI World Cup,1975,Sri Lanka,Ajit de Silva,12 December 1952,Left-handed,Left-arm orthodox spin,Bloomfield
ODI World Cup,1975,Sri Lanka,Anura Ranasinghe,13 October 1956,Right-handed,Left-arm orthodox spin,Burgher
ODI World Cup,1975,Sri Lanka,Anura Tennekoon (c),29 October 1946,Right-handed,Left-arm orthodox spin,Sinhalese SC
ODI World Cup,1975,Sri Lanka,Bandula Warnapura,1 March 1953,Right-handed,Right-arm medium,Bloomfield
ODI World Cup,1975,Sri Lanka,David Heyn,26 June 1945,Left-handed,Right-arm medium,Nondescripts
ODI World Cup,1975,Sri Lanka,Dennis Chanmugam,13 August 1948,Right-handed,Right-arm medium,Sinhalese SC
ODI World Cup,1975,Sri Lanka,Duleep Mendis,25 August 1952,Right-handed,-,Sinhalese SC
ODI World Cup,1975,Sri Lanka,Lalith Kaluperuma,25 June 1949,Right-handed,Right-arm offbreak,Bloomfield
ODI World Cup,1975,Sri Lanka,Mevan Pieris,16 February 1946,Left-handed,Right-arm fast-medium,Sinhalese SC
ODI World Cup,1975,Sri Lanka,Michael Tissera,23 March 1939,Right-handed,Right-arm legbreak,Colombo CC
ODI World Cup,1975,Sri Lanka,Ranjit Fernando (wk),22 February 1944,Right-handed,Wicket-keeper,Nondescripts
ODI World Cup,1975,Sri Lanka,Somachandra de Silva,11 June 1942,Right-handed,Right-arm legbreak,Bloomfield
ODI World Cup,1975,Sri Lanka,Sunil Wettimuny,2 February 1949,Right-handed,Wicket-keeper,Sinhalese SC
ODI World Cup,1975,Sri Lanka,Tony Opatha,5 August 1947,Right-handed,Right-arm medium,Colombo CC
ODI World Cup,1975,West Indies,Alvin Kallicharran,21 March 1949,Left-handed,Right-arm offbreak,Guyana
ODI World Cup,1975,West Indies,Andy Roberts,29 January 1951,Right-handed,Right-arm fast,Leeward Islands
ODI World Cup,1975,West Indies,Bernard Julien,13 March 1950,Right-handed,Left-arm medium-fast,Trinidad & Tobago
ODI World Cup,1975,West Indies,Clive Lloyd (c),31 August 1944,Left-handed,Right-arm medium,Guyana
ODI World Cup,1975,West Indies,Collis King,11 June 1951,Right-handed,Right-arm medium,Barbados
ODI World Cup,1975,West Indies,Deryck Murray (wk),20 May 1943,Right-handed,Wicket-keeper,Trinidad & Tobago
ODI World Cup,1975,West Indies,Gordon Greenidge,1 May 1951,Right-handed,Right-arm medium,Barbados
ODI World Cup,1975,West Indies,Keith Boyce,11 October 1943,Right-handed,Right-arm fast-medium,Barbados
ODI World Cup,1975,West Indies,Lance Gibbs,29 September 1934,Right-handed,Right-arm offbreak,Guyana
ODI World Cup,1975,West Indies,Maurice Foster,9 May 1943,Right-handed,Right-arm offbreak,Jamaica
ODI World Cup,1975,West Indies,Rohan Kanhai,26 December 1935,Right-handed,Right-arm medium,Guyana
ODI World Cup,1975,West Indies,Roy Fredericks,11 November 1942,Left-handed,Slow left-arm wrist-spin,Guyana
ODI World Cup,1975,West Indies,Vanburn Holder,10 October 1945,Right-handed,Right-arm fast-medium,Barbados
ODI World Cup,1975,West Indies,Viv Richards,7 March 1952,Right-handed,Right-arm offbreak,Leeward Islands
ODI World Cup,1979,Australia,Alan Hurst,15 July 1950,Right hand,Right arm fast,Victoria
ODI World Cup,1979,Australia,Allan Border,27 July 1955,Left hand,Left arm orthodox spin,Queensland
ODI World Cup,1979,Australia,Andrew Hilditch,20 May 1956,Right hand,Right arm medium,South Australia
ODI World Cup,1979,Australia,Dav Whatmore,16 March 1954,Right hand,-,Victoria
ODI World Cup,1979,Australia,Gary Cosier,25 April 1953,Right hand,Right arm medium,South Australia
ODI World Cup,1979,Australia,Geoff Dymock,21 July 1945,Left hand,Left arm fast-medium,Queensland
ODI World Cup,1979,Australia,Graeme Porter,18 March 1955,Right hand,Right hand medium,Western Australia
ODI World Cup,1979,Australia,Graham Yallop,7 October 1952,Left hand,Left arm medium,Victoria
ODI World Cup,1979,Australia,Jeff Moss,29 June 1947,Left hand,-,Victoria
ODI World Cup,1979,Australia,Kevin Wright (wk),27 December 1953,Right hand,Wicket-keeper,Western Australia
ODI World Cup,1979,Australia,Kim Hughes (c),26 January 1954,Right hand,Right arm medium,Western Australia
ODI World Cup,1979,Australia,Rick Darling,1 May 1957,Right hand,-,South Australia
ODI World Cup,1979,Australia,Rodney Hogg,5 March 1951,Right hand,Right hand fast,South Australia
ODI World Cup,1979,Australia,Trevor Laughlin,30 January 1951,Left hand,Right arm medium,Victoria
ODI World Cup,1979,Canada,Bryan Mauricette (c) (wk),4 September 1946,Right hand,Wicket-keeper,Canada
ODI World Cup,1979,Canada,Cecil Marshall,13 September 1939,Right hand,Right arm medium,Canada
ODI World Cup,1979,Canada,Charles Baksh,15 March 1940,Right hand,-,Canada
ODI World Cup,1979,Canada,Christopher Chappell,17 July 1955,Right hand,-,Canada
ODI World Cup,1979,Canada,Cornelius Henry,16 September 1956,Right hand,Right arm medium,Canada
ODI World Cup,1979,Canada,Franklyn Dennis,26 September 1947,Right hand,-,Canada
ODI World Cup,1979,Canada,Garnet Brisbane,31 December 1938,Right hand,Left arm orthodox spin,Canada
ODI World Cup,1979,Canada,Glenroy Sealy,11 June 1940,Right hand,Right arm medium,Canada
ODI World Cup,1979,Canada,Jitendra Patel,26 November 1945,Left hand,Left arm orthodox spin,Canada
ODI World Cup,1979,Canada,John Valentine,20 September 1954,Left hand,Left arm medium,Canada
ODI World Cup,1979,Canada,John Vaughan,8 June 1945,Right hand,Right arm medium-fast,Canada
ODI World Cup,1979,Canada,Martin Stead,1 June 1958,Right hand,Right arm medium,Canada
ODI World Cup,1979,Canada,Robert Callender,2 November 1950,Right hand,Right arm medium-fast,Canada
ODI World Cup,1979,Canada,Tariq Javed,12 June 1949,Right hand,Right arm leg-break,Canada
ODI World Cup,1979,England,Bob Taylor (wk),17 July 1941,Right hand,Wicket-keeper,Derbyshire
ODI World Cup,1979,England,Bob Willis,30 May 1949,Right hand,Right arm fast,Warwickshire
ODI World Cup,1979,England,Chris Old,22 December 1948,Left hand,Right arm fast-medium,Yorkshire
ODI World Cup,1979,England,David Gower,1 April 1957,Left hand,Right arm off-break,Leicestershire
ODI World Cup,1979,England,Derek Randall,24 February 1951,Right hand,Right arm medium,Nottinghamshire
ODI World Cup,1979,England,Geoff Miller,8 September 1952,Right hand,Right arm off-break,Derbyshire
ODI World Cup,1979,England,Geoffrey Boycott,21 October 1940,Right hand,Right arm medium,Yorkshire
ODI World Cup,1979,England,Graham Gooch,23 July 1953,Right hand,Right arm medium,Essex
ODI World Cup,1979,England,Ian Botham,24 November 1955,Right hand,Right arm fast-medium,Somerset
ODI World Cup,1979,England,Mike Brearley (c),28 April 1942,Right hand,Wicket-keeper,Middlesex
ODI World Cup,1979,England,Mike Gatting,6 June 1957,Right hand,Right arm medium,Middlesex
ODI World Cup,1979,England,Mike Hendrick,22 October 1948,Right hand,Right arm fast-medium,Derbyshire
ODI World Cup,1979,England,Phil Edmonds,8 March 1951,Right hand,Left arm orthodox spin,Middlesex
ODI World Cup,1979,England,Wayne Larkins,22 November 1953,Right hand,Right arm medium,Northamptonshire
ODI World Cup,1979,India,Anshuman Gaekwad,23 September 1952,Right hand,Right arm offbreak,Baroda
ODI World Cup,1979,India,Bharath Reddy,12 November 1954,Right hand,Wicket-keeper,Tamil Nadu
ODI World Cup,1979,India,Bishan Singh Bedi,25 September 1946,Right hand,Left arm slow orthodox,Delhi
ODI World Cup,1979,India,Brijesh Patel,24 November 1952,Right hand,Right arm offbreak,Karnataka
ODI World Cup,1979,India,Dilip Vengsarkar,6 April 1956,Right hand,Right arm medium,Bombay
ODI World Cup,1979,India,Gundappa Viswanath,12 February 1949,Right hand,Right arm legbreak,Karnataka
ODI World Cup,1979,India,Kapil Dev,6 January 1959,Right hand,Right arm fast-medium,Haryana
ODI World Cup,1979,India,Karsan Ghavri,28 February 1951,Left hand,Left arm medium,Bombay
ODI World Cup,1979,India,Mohinder Amarnath,24 September 1950,Right hand,Right arm medium,Delhi
ODI World Cup,1979,India,Srinivasaraghavan Venkataraghavan (c),21 April 1945,Right hand,Right arm offbreak,Tamil Nadu
ODI World Cup,1979,India,Sunil Gavaskar (vc),10 July 1949,Right hand,Right arm medium/offbreak,Bombay
