Tournament,Player_Name,Team,Nationality,DOB,Right_Arm_Bowl,Right_Handed_Bat,Bowling_Style,Matched
Champions Trophy,Hashmatullah Shahidi,Afghanistan,Afghan,1994-11-04,True,False,OFF_SPIN,True
Champions Trophy,Ibrahim Zadran,Afghanistan,Afghan,2001-12-12,True,True,MEDIUM_SEAM,True
Champions Trophy,Ikram Alikhil,Afghanistan,Afghan,2000-09-29,False,False,,True
Champions Trophy,Rahmanullah Gurbaz,Afghanistan,Afghan,2001-11-28,True,True,MEDIUM_SEAM,True
Champions Trophy,Sediqullah Atal,Afghanistan,,,,,,False
Champions Trophy,Rahmat Shah,Afghanistan,Afghan,1993-07-06,True,True,LEG_SPIN,True
Champions Trophy,Azmatullah Omarzai,Afghanistan,,,,,,False
Champions Trophy,Gulbadin Naib,Afghanistan,Afghan,1991-03-16,True,True,MEDIUM_SEAM,True
Champions Trophy,Mohammed Nabi,Afghanistan,Afghan,1985-01-01,True,True,OFF_SPIN,True
Champions Trophy,Nangeyalia Kharote,Afghanistan,,,,,,False
Champions Trophy,Rashid Khan,Afghanistan,Pakistani,1959-12-15,False,True,,True
Champions Trophy,Fareed Ahmad,Afghanistan,Afghan,1994-08-10,False,False,,True
Champions Trophy,Fazalhaq Farooqi,Afghanistan,,,,,,False
Champions Trophy,Naveed Zadran,Afghanistan,,,,,,False
Champions Trophy,Noor Ahmad,Afghanistan,,,,,,False
Champions Trophy,Mark Waugh,Australia,Australian,1965-06-02,True,True,OFF_SPIN,True
Champions Trophy,Adam Gilchrist,Australia,Australian,1971-11-14,True,False,OFF_SPIN,True
Champions Trophy,Ricky Ponting,Australia,Australian,1974-12-19,True,True,MEDIUM_SEAM,True
Champions Trophy,Brendon Julian,Australia,New Zealander,1970-08-10,False,True,,True
Champions Trophy,Darren Lehmann,Australia,Australian,1970-02-05,False,True,,True
Champions Trophy,Steve Waugh,Australia,Australian,1965-06-02,True,True,MEDIUM_SEAM,True
Champions Trophy,Michael Bevan,Australia,Australian,1970-05-08,False,False,UNORTHODOX,True
Champions Trophy,Damien Martyn,Australia,Australian,1971-10-21,True,True,MEDIUM_SEAM,True
Champions Trophy,Brad Young,Australia,,,,,,False
Champions Trophy,Michael Kasprowicz,Australia,,,,,,False
Champions Trophy,Damien Fleming,Australia,Australian,1970-04-24,True,True,FAST_SEAM,True
Champions Trophy,Ian Harvey,Australia,Australian,1972-04-10,False,True,,True
Champions Trophy,Shane Lee,Australia,Australian,1973-08-08,False,True,,True
Champions Trophy,Andrew Symonds,Australia,Australian,1975-06-09,True,True,MEDIUM_SEAM,True
Champions Trophy,Jason Gillespie,Australia,Australian,1975-04-19,True,True,FAST_SEAM,True
Champions Trophy,Brett Lee,Australia,Australian,1976-11-08,True,True,FAST_SEAM,True
Champions Trophy,Glenn McGrath,Australia,Australian,1970-02-09,True,True,FAST_SEAM,True
Champions Trophy,Mark Higgs,Australia,,,,,,False
Champions Trophy,Matthew Hayden,Australia,Australian,1971-10-29,True,False,MEDIUM_SEAM,True
Champions Trophy,Jimmy Maher,Australia,Australian,1974-02-27,False,True,,True
Champions Trophy,Shane Watson,Australia,Australian,1981-06-17,True,True,MEDIUM_SEAM,True
Champions Trophy,Shane Warne,Australia,Australian,1969-09-13,True,True,LEG_SPIN,True
Champions Trophy,Michael Clarke,Australia,Australian,1981-04-02,False,True,ORTHODOX,True
Champions Trophy,Michael Hussey,Australia,Australian,1975-05-27,True,False,MEDIUM_SEAM,True
Champions Trophy,Brad Hogg,Australia,Australian,1971-02-06,False,False,,True
Champions Trophy,Nathan Bracken,Australia,Australian,1977-09-12,False,True,FAST_SEAM,True
Champions Trophy,Mitchell Johnson,Australia,Australian,1981-11-02,False,False,FAST_SEAM,True
Champions Trophy,Callum Ferguson,Australia,,,,,,False
Champions Trophy,Tim Paine,Australia,Australian,1984-12-08,True,True,MEDIUM_SEAM,True
Champions Trophy,Adam Voges,Australia,Australian,1979-10-04,False,True,,True
Champions Trophy,Cameron White,Australia,Australian,1983-08-18,False,False,,True
Champions Trophy,James Hopes,Australia,,,,,,False
Champions Trophy,David Hussey,Australia,Australian,1977-07-15,False,False,,True
Champions Trophy,Doug Bollinger,Australia,,,,,,False
Champions Trophy,Nathan Hauritz,Australia,,,,,,False
Champions Trophy,Ben Hilfenhaus,Australia,,,,,,False
Champions Trophy,Peter Siddle,Australia,Australian,1984-11-25,True,True,FAST_SEAM,True
Champions Trophy,George Bailey,Australia,Australian,1982-09-07,False,False,,True
Champions Trophy,Phillip Hughes,Australia,Australian,1988-11-30,False,False,,True
Champions Trophy,Matthew Wade,Australia,Australian,1987-12-26,True,False,MEDIUM_SEAM,True
Champions Trophy,David Warner,Australia,Australian,1986-10-27,True,False,LEG_SPIN,True
Champions Trophy,Nathan Coulter-Nile,Australia,Australian,1987-10-11,True,True,FAST_SEAM,True
Champions Trophy,James Faulkner,Australia,Australian,1990-04-29,False,True,,True
Champions Trophy,Mitchell Marsh,Australia,Australian,1991-10-20,True,True,MEDIUM_SEAM,True
Champions Trophy,Glenn Maxwell,Australia,Australian,1988-10-14,True,True,OFF_SPIN,True
Champions Trophy,Xavier Doherty,Australia,Australian,1982-11-22,False,True,,True
Champions Trophy,Clint McKay,Australia,Australian,1983-02-22,False,True,,True
Champions Trophy,Mitchell Starc,Australia,Australian,1990-01-30,False,False,FAST_SEAM,True
Champions Trophy,Steven Smith,Australia,Australian,1989-06-02,True,True,LEG_SPIN,True
Champions Trophy,Aaron Finch,Australia,Australian,1986-11-17,False,True,ORTHODOX,True
Champions Trophy,Travis Head,Australia,Australian,1993-12-29,True,False,OFF_SPIN,True
Champions Trophy,Chris Lynn,Australia,Australian,1990-04-10,False,True,,True
Champions Trophy,John Hastings,Australia,Australian,1985-11-04,False,True,,True
Champions Trophy,Moises Henriques,Australia,Australian,1987-02-01,True,True,MEDIUM_SEAM,True
