Tournament,Player_Name,Team,Nationality,DOB,Right_Arm_Bowl,Right_Handed_Bat,Bowling_Style,Matched
T20 World Cup,Nawroz Mangal,Afghanistan,Afghan,1984-07-15,False,True,,True
T20 World Cup,Asghar Afghan,Afghanistan,Afghan,1987-12-26,True,True,MEDIUM_SEAM,True
T20 World Cup,Karim Sadiq,Afghanistan,Afghan,1984-01-05,False,True,,True
T20 World Cup,Mohammad Shahzad,Afghanistan,Afghan,1987-01-10,True,True,,True
T20 World Cup,Noor Ali Zadran,Afghanistan,Afghan,1988-07-10,True,True,MEDIUM_SEAM,True
T20 World Cup,Raees Ahmadzai,Afghanistan,,,,,,False
T20 World Cup,Shabir Noori,Afghanistan,Afghan,1992-02-22,False,True,,True
T20 World Cup,Shafiqullah,Afghanistan,Afghan,1989-08-07,False,True,,True
T20 World Cup,Mohammad Nabi,Afghanistan,Afghan,1985-01-01,True,True,OFF_SPIN,True
T20 World Cup,Samiullah Shinwari,Afghanistan,Afghan,1987-12-31,True,True,LEG_SPIN,True
T20 World Cup,Dawlat Ahmadzai,Afghanistan,,,,,,False
T20 World Cup,Hamid Hassan,Afghanistan,Afghan,1987-06-01,True,True,FAST_SEAM,True
T20 World Cup,Mirwais Ashraf,Afghanistan,Afghan,1988-09-04,False,True,,True
T20 World Cup,Shapoor Zadran,Afghanistan,Afghan,1987-07-08,False,False,FAST_SEAM,True
T20 World Cup,Sayed Nasratullah,Afghanistan,,,,,,False
T20 World Cup,Javed Ahmadi,Afghanistan,Afghan,1992-01-02,True,True,OFF_SPIN,True
T20 World Cup,Najibullah Zadran,Afghanistan,Afghan,1993-02-28,True,False,OFF_SPIN,True
T20 World Cup,Gulbadin Naib,Afghanistan,Afghan,1991-03-16,True,True,MEDIUM_SEAM,True
T20 World Cup,Dawlat Zadran,Afghanistan,Afghan,1988-03-19,True,True,FAST_SEAM,True
T20 World Cup,Izatullah Dawlatzai,Afghanistan,,,True,True,,True
T20 World Cup,Mohammad Nasim Baras,Afghanistan,,,,,,False
T20 World Cup,Najeeb Tarakai,Afghanistan,Afghan,1991-02-02,True,True,OFF_SPIN,True
T20 World Cup,Amir Hamza,Afghanistan,Afghan,1991-08-15,False,True,,True
T20 World Cup,Aftab Alam,Afghanistan,Afghan,1992-11-30,True,True,MEDIUM_SEAM,True
T20 World Cup,Usman Ghani,Afghanistan,Afghan,1996-11-20,False,True,,True
T20 World Cup,Rashid Khan,Afghanistan,Pakistani,1959-12-15,False,True,,True
T20 World Cup,Hashmatullah Shahidi,Afghanistan,Afghan,1994-11-04,True,False,OFF_SPIN,True
T20 World Cup,Hazratullah Zazai,Afghanistan,Afghan,1998-03-23,False,False,ORTHODOX,True
T20 World Cup,Rahmanullah Gurbaz,Afghanistan,Afghan,2001-11-28,True,True,MEDIUM_SEAM,True
T20 World Cup,Karim Janat,Afghanistan,Afghan,1998-08-11,False,True,,True
T20 World Cup,Sharafuddin Ashraf,Afghanistan,Afghan,1995-01-10,False,True,ORTHODOX,True
T20 World Cup,Fareed Ahmad,Afghanistan,Afghan,1994-08-10,False,False,,True
T20 World Cup,Mujeeb Ur Rahman,Afghanistan,Afghan,2001-03-28,True,True,OFF_SPIN,True
T20 World Cup,Naveen-ul-Haq,Afghanistan,Afghan,1999-09-23,True,True,MEDIUM_SEAM,True
T20 World Cup,Darwish Rasooli,Afghanistan,,,,,,False
T20 World Cup,Ibrahim Zadran,Afghanistan,Afghan,2001-12-12,True,True,MEDIUM_SEAM,True
T20 World Cup,Azmatullah Omarzai,Afghanistan,,2000-03-24,,True,Right-arm medium fast,True
T20 World Cup,Fazalhaq Farooqi,Afghanistan,,2000-09-22,,True,Left-arm fast medium,True
T20 World Cup,Mohammad Saleem,Afghanistan,,2002-09-09,,True,Right-arm fast,True
T20 World Cup,Qais Ahmad,Afghanistan,,,,,,False
T20 World Cup,Mohammad Ishaq,Afghanistan,Pakistani,1963-03-07,False,True,,True
T20 World Cup,Nangeyalia Kharote,Afghanistan,,,,,,False
T20 World Cup,Noor Ahmad,Afghanistan,,2005-01-03,,False,Left-arm unorthodox spin,True
T20 World Cup,Adam Gilchrist,Australia,Australian,1971-11-14,True,False,OFF_SPIN,True
T20 World Cup,Michael Clarke,Australia,Australian,1981-04-02,False,True,ORTHODOX,True
T20 World Cup,Brad Haddin,Australia,Australian,1977-10-23,False,True,,True
T20 World Cup,Matthew Hayden,Australia,Australian,1971-10-29,True,False,MEDIUM_SEAM,True
T20 World Cup,Brad Hodge,Australia,Australian,1974-12-29,False,False,,True
T20 World Cup,Michael Hussey,Australia,Australian,1975-05-27,True,False,MEDIUM_SEAM,True
T20 World Cup,Brad Hogg,Australia,Australian,1971-02-06,False,False,,True
T20 World Cup,Andrew Symonds,Australia,Australian,1975-06-09,True,True,MEDIUM_SEAM,True
T20 World Cup,Nathan Bracken,Australia,Australian,1977-09-12,False,True,FAST_SEAM,True
T20 World Cup,Stuart Clark,Australia,Australian,1975-09-28,False,True,,True
T20 World Cup,Ben Hilfenhaus,Australia,,,,,,False
T20 World Cup,Mitchell Johnson,Australia,Australian,1981-11-02,False,False,FAST_SEAM,True
T20 World Cup,Brett Lee,Australia,Australian,1976-11-08,True,True,FAST_SEAM,True
T20 World Cup,Ricky Ponting,Australia,Australian,1974-12-19,True,True,MEDIUM_SEAM,True
T20 World Cup,David Warner,Australia,Australian,1986-10-27,True,False,LEG_SPIN,True
T20 World Cup,Cameron White,Australia,Australian,1983-08-18,False,False,,True
T20 World Cup,James Hopes,Australia,,,,,,False
T20 World Cup,David Hussey,Australia,Australian,1977-07-15,False,False,,True
T20 World Cup,Shane Watson,Australia,Australian,1981-06-17,True,True,MEDIUM_SEAM,True
T20 World Cup,Nathan Hauritz,Australia,,,,,,False
T20 World Cup,Peter Siddle,Australia,Australian,1984-11-25,True,True,FAST_SEAM,True
T20 World Cup,Tim Paine,Australia,Australian,1984-12-08,True,True,MEDIUM_SEAM,True
T20 World Cup,Steven Smith,Australia,Australian,1989-06-02,True,True,LEG_SPIN,True
T20 World Cup,Dan Christian,Australia,Australian,1983-05-04,True,True,MEDIUM_SEAM,True
T20 World Cup,Ryan Harris,Australia,,,,,,False
T20 World Cup,Dirk Nannes,Australia,,,,,,False
T20 World Cup,Shaun Tait,Australia,Australian,1983-02-22,False,False,,True
T20 World Cup,George Bailey,Australia,Australian,1982-09-07,False,False,,True
T20 World Cup,Matthew Wade,Australia,Australian,1987-12-26,True,False,MEDIUM_SEAM,True
T20 World Cup,Glenn Maxwell,Australia,Australian,1988-10-14,True,True,OFF_SPIN,True
T20 World Cup,Pat Cummins,Australia,Australian,1993-05-08,True,True,FAST_SEAM,True
T20 World Cup,Xavier Doherty,Australia,Australian,1982-11-22,False,True,,True
T20 World Cup,Clint McKay,Australia,Australian,1983-02-22,False,True,,True
T20 World Cup,Mitchell Starc,Australia,Australian,1990-01-30,False,False,FAST_SEAM,True
T20 World Cup,Aaron Finch,Australia,Australian,1986-11-17,False,True,ORTHODOX,True
T20 World Cup,Nathan Coulter-Nile,Australia,Australian,1987-10-11,True,True,FAST_SEAM,True
T20 World Cup,James Faulkner,Australia,Australian,1990-04-29,False,True,,True
T20 World Cup,Doug Bollinger,Australia,,,,,,False
T20 World Cup,James Muirhead,Australia,,,,,,False
T20 World Cup,Usman Khawaja,Australia,Australian,1986-12-18,True,False,MEDIUM_SEAM,True
T20 World Cup,Peter Nevill,Australia,,,,,,False
T20 World Cup,John Hastings,Australia,Australian,1985-11-04,False,True,,True
T20 World Cup,Mitchell Marsh,Australia,Australian,1991-10-20,True,True,MEDIUM_SEAM,True
T20 World Cup,Ashton Agar,Australia,Australian,1993-10-14,False,False,ORTHODOX,True
T20 World Cup,Josh Hazlewood,Australia,Australian,1991-01-08,True,False,FAST_SEAM,True
T20 World Cup,Andrew Tye,Australia,Australian,1986-12-12,True,True,MEDIUM_SEAM,True
T20 World Cup,Adam Zampa,Australia,Australian,1992-03-31,True,True,LEG_SPIN,True
T20 World Cup,Josh Inglis,Australia,,1995-03-04,,True,,True
T20 World Cup,Daniel Sams,Australia,,,,,,False
T20 World Cup,Marcus Stoinis,Australia,Australian,1989-08-16,True,True,MEDIUM_SEAM,True
T20 World Cup,Nathan Ellis,Australia,,1994-09-22,,True,Right-arm fast medium,True
T20 World Cup,Kane Richardson,Australia,Australian,1991-02-12,True,True,FAST_SEAM,True
T20 World Cup,Mitchell Swepson,Australia,,,,,,False
T20 World Cup,Tim David,Australia,,1996-03-16,,True,Right-arm off break,True
T20 World Cup,Cameron Green,Australia,,1999-06-03,True,True,FAST_SEAM,True
T20 World Cup,Travis Head,Australia,Australian,1993-12-29,True,False,OFF_SPIN,True
T20 World Cup,Mohammad Ashraful,Bangladesh,Bangladeshi,1984-07-07,False,True,,True
T20 World Cup,Aftab Ahmed,Bangladesh,Bangladeshi,1985-11-10,False,True,,True
T20 World Cup,Zunaed Siddique,Bangladesh,,,,,,False
T20 World Cup,Mushfiqur Rahim,Bangladesh,Bangladeshi,1987-05-09,True,True,,True
T20 World Cup,Nadif Chowdhury,Bangladesh,,,,,,False
T20 World Cup,Nazimuddin,Bangladesh,,,,,,False
T20 World Cup,Tamim Iqbal,Bangladesh,Bangladeshi,1989-03-20,False,False,,True
T20 World Cup,Alok Kapali,Bangladesh,Bangladeshi,1984-01-01,False,True,,True
T20 World Cup,Farhad Reza,Bangladesh,,,,,,False
T20 World Cup,Mahmudullah,Bangladesh,BD,1986-02-04,True,True,,True
T20 World Cup,Shakib Al Hasan,Bangladesh,Bangladeshi,1987-03-24,False,False,ORTHODOX,True
T20 World Cup,Ziaur Rahman,Bangladesh,Bangladeshi,2012-08-16,False,True,,True
T20 World Cup,Mashrafe Mortaza,Bangladesh,Bangladeshi,1983-10-05,True,True,FAST_SEAM,True
T20 World Cup,Abdur Razzak,Bangladesh,Bangladeshi,1982-06-15,False,False,ORTHODOX,True
T20 World Cup,Syed Rasel,Bangladesh,Bangladeshi,1984-07-03,False,True,,True
T20 World Cup,Mohammad Mithun,Bangladesh,Bangladeshi,1991-03-02,True,True,,True
T20 World Cup,Raqibul Hasan,Bangladesh,Bangladeshi,1987-10-08,False,True,,True
T20 World Cup,Shamsur Rahman,Bangladesh,Bangladeshi,1988-06-05,False,True,,True
T20 World Cup,Naeem Islam,Bangladesh,Bangladeshi,1986-12-31,False,True,,True
T20 World Cup,Rubel Hossain,Bangladesh,Bangladeshi,1990-01-01,True,True,FAST_SEAM,True
T20 World Cup,Shahadat Hossain,Bangladesh,Bangladeshi,1986-08-07,False,True,,True
T20 World Cup,Imrul Kayes,Bangladesh,Bangladeshi,1987-02-02,False,False,ORTHODOX,True
T20 World Cup,Jahurul Islam,Bangladesh,Bangladeshi,2012-08-16,False,True,,True
T20 World Cup,Shafiul Islam,Bangladesh,Bangladeshi,1989-10-06,True,True,FAST_SEAM,True
T20 World Cup,Sohrawordi Shuvo,Bangladesh,,,,,,False
T20 World Cup,Nasir Hossain,Bangladesh,Bangladeshi,1991-11-30,False,True,,True
T20 World Cup,Abul Hasan,Bangladesh,Bangladeshi,1992-08-05,True,False,MEDIUM_SEAM,True
T20 World Cup,Elias Sunny,Bangladesh,,,,,,False
T20 World Cup,Anamul Haque,Bangladesh,Bangladeshi,1993-12-16,True,True,,True
T20 World Cup,Mominul Haque,Bangladesh,Bangladeshi,1991-09-29,False,False,ORTHODOX,True
T20 World Cup,Sabbir Rahman,Bangladesh,Bangladeshi,1991-11-22,True,True,LEG_SPIN,True
T20 World Cup,Al-Amin Hossain,Bangladesh,Bangladeshi,1990-01-01,True,True,MEDIUM_SEAM,True
T20 World Cup,Sohag Gazi,Bangladesh,Bangladeshi,1991-08-05,False,True,,True
T20 World Cup,Taskin Ahmed,Bangladesh,BD,1995-04-03,True,False,FAST_SEAM,True
