team_id,full_name,abbreviation,is_test_nation,region
1,Afghanistan,AFG,True,
2,Australia,AUS,True,
3,Bangladesh,BAN,True,
4,Bermuda,BER,False,
5,Canada,CAN,False,
6,East Africa,EAF,False,
7,England,ENG,True,
8,Hong Kong,HKG,False,
9,India,IND,True,
10,Ireland,IRE,True,
11,Kenya,KEN,False,
12,Namibia,NAM,False,
13,Nepal,NEP,False,
14,Netherlands,NED,False,
15,New Zealand,NZ,True,
16,Oman,OMA,False,
17,P.N.G.,PNG,False,
18,Pakistan,PAK,True,
19,Scotland,SCO,False,
20,South Africa,SA,True,
21,Sri Lanka,SL,True,
22,U.A.E.,UAE,False,
23,U.S.A.,USA,False,
24,Uganda,UGA,False,
25,West Indies,WI,True,
26,Zimbabwe,ZIM,True,
