Player,Overs,Mdns,Runs,Wkts,Econ,Team,Inns,Opposition,Ground,MatchDate,ODI#
MF Maharoof,9.0,2,14,6,1.55,Sri Lanka,1,v West Indies,Brabourne,14 Oct 2006,2428
JR Hazlewood,9.0,0,52,6,5.77,Australia,1,v New Zealand,Birmingham,2 Jun 2017,3876
Shahid Afridi,6.0,1,11,5,1.83,Pakistan,1,v Kenya,Birmingham,14 Sep 2004,2174
M Ntini,6.0,2,21,5,3.50,South Africa,2,v Pakistan,Mohali,27 Oct 2006,2438
M Dillon,10.0,4,29,5,2.90,West Indies,2,v Bangladesh,Southampton,15 Sep 2004,2175
JH Kallis,7.3,0,30,5,4.00,South Africa,1,v West Indies,Dhaka,1 Nov 1998,1364
JDP Oram,9.4,1,36,5,3.72,New Zealand,2,v U.S.A.,The Oval,10 Sep 2004,2169
RA Jadeja,10.0,2,36,5,3.60,India,1,v West Indies,The Oval,11 Jun 2013,3368
GD McGrath,7.0,1,37,5,5.28,Australia,2,v New Zealand,Colombo (SSC),15 Sep 2002,1877
CV Varun,10.0,0,42,5,4.20,India,2,v New Zealand,Dubai (DICS),2 Mar 2025,4852
MJ Henry,8.0,0,42,5,5.25,New Zealand,1,v India,Dubai (DICS),2 Mar 2025,4852
SB O'Connor,9.2,0,46,5,4.92,New Zealand,1,v Pakistan,Nairobi (Gym),11 Oct 2000,1637
Mohammed Shami,10.0,0,53,5,5.30,India,1,v Bangladesh,Dubai (DICS),20 Feb 2025,4844
WD Parnell,8.0,0,57,5,7.12,South Africa,1,v New Zealand,Centurion,24 Sep 2009,2895
Azmatullah Omarzai,9.5,0,58,5,5.89,Afghanistan,2,v England,Lahore,26 Feb 2025,4849
MS Kasprowicz,7.0,1,14,4,2.00,Australia,1,v U.S.A.,Southampton,13 Sep 2004,2172
M Muralidaran,5.3,2,15,4,2.72,Sri Lanka,2,v Netherlands,Colombo (RPS),16 Sep 2002,1878
JN Gillespie,6.0,1,15,4,2.50,Australia,1,v U.S.A.,Southampton,13 Sep 2004,2172
R McLaren,8.0,3,19,4,2.37,South Africa,2,v Pakistan,Birmingham,10 Jun 2013,3367
SE Bond,5.0,0,21,4,4.20,New Zealand,2,v Bangladesh,Colombo (SSC),23 Sep 2002,1885
M Muralidaran,10.0,1,23,4,2.30,Sri Lanka,1,v New Zealand,Brabourne,20 Oct 2006,2433
Naved-ul-Hasan,9.0,1,25,4,2.77,Pakistan,1,v India,Birmingham,19 Sep 2004,2179
