Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w,10w
PA de Silva (SL),1998-2002,7,10.0,2,60,16,1,1/16,16.00,1.60,60,0,0,0
WW Hinds (WI),2000-2006,11,20.0,3,120,51,5,3/24,10.20,2.55,24,0,0,0
SK Warne (AUS),2002-2002,3,20.2,4,122,60,3,1/2,20.00,2.95,40.6,0,0,0
JL Ontong (SA),2002-2002,1,10.0,1,60,30,3,3/30,10.00,3.00,20,0,0,0
RR Powar (IND),2006-2006,1,8.0,1,48,24,3,3/24,8.00,3.00,16,0,0,0
JN Snape (ENG),2002-2002,1,6.0,0,36,18,1,1/18,18.00,3.00,36,0,0,0
Shoaib Akhtar (PAK),2002-2004,5,37.5,7,227,114,7,4/36,16.28,3.01,32.4,1,0,0
PT Collins (WI),2002-2002,2,18.1,4,109,56,3,3/18,18.66,3.08,36.3,0,0,0
XJ Doherty (AUS),2013-2013,2,11.0,1,66,34,1,1/30,34.00,3.09,66,0,0,0
S Lee (AUS),2000-2000,1,10.0,0,60,31,2,2/31,15.50,3.10,30,0,0,0
MH Yardy (ENG),2006-2006,3,19.0,2,114,60,0,-,-,3.15,-,0,0,0
HDPK Dharmasena (SL),1998-2002,6,36.0,4,216,115,6,2/14,19.16,3.19,36,0,0,0
RO Hinds (WI),2004-2004,3,11.0,0,66,36,0,-,-,3.27,-,0,0,0
P Kumar (IND),2009-2009,2,17.0,3,102,56,3,3/22,18.66,3.29,34,0,0,0
NO Miller (WI),2009-2009,3,13.1,1,79,44,2,2/24,22.00,3.34,39.5,0,0,0
JWM Dalrymple (ENG),2006-2006,3,17.0,0,102,57,2,2/5,28.50,3.35,51,0,0,0
RD King (WI),1998-1998,2,20.0,2,120,68,0,-,-,3.40,-,0,0,0
Abdur Razzak (BAN),2006-2006,3,26.2,2,158,91,4,2/12,22.75,3.45,39.5,0,0,0
J Lewis (ENG),2006-2006,1,10.0,1,60,35,1,1/35,35.00,3.50,60,0,0,0
MW Short (AUS),2025-2025,2,8.0,0,48,28,0,-,-,3.50,-,0,0,0
MJ Clarke (AUS),2004-2006,8,5.0,0,30,18,1,1/18,18.00,3.60,30,0,0,0
M Muralidaran (SL),1998-2009,17,134.1,11,805,484,24,4/15,20.16,3.60,33.5,2,0,0
SM Pollock (SA),2000-2006,11,88.1,8,529,321,16,3/27,20.06,3.64,33,0,0,0
DL Vettori (NZ),1998-2013,17,142.4,12,856,522,18,3/14,29.00,3.65,47.5,0,0,0
JN Gillespie (AUS),2000-2004,7,56.0,5,336,209,12,4/15,17.41,3.73,28,1,0,0
PL Symcox (SA),1998-1998,3,27.0,0,162,101,4,3/27,25.25,3.74,40.5,0,0,0
CK Langeveldt (SA),2004-2006,3,20.5,4,125,78,6,3/17,13.00,3.74,20.8,0,0,0
Abrar Ahmed (PAK),2025-2025,2,20.0,0,120,75,2,1/28,37.50,3.75,60,0,0,0
IDR Bradshaw (WI),2004-2006,10,89.0,7,534,334,14,3/30,23.85,3.75,38.1,0,0,0
NM Hauritz (AUS),2009-2009,5,30.5,1,185,116,5,3/37,23.20,3.76,37,0,0,0
