Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,MatchDate,ODI#
ST Jayasuriya,4.0,2,3,0,0.75,Sri Lanka,v Zimbabwe,Ahmedabad,10 Oct 2006,2425
M Muralidaran,10.0,4,9,0,0.90,Sri Lanka,v West Indies,Nairobi (Gym),4 Oct 2000,1631
CH Gayle,3.1,1,3,3,0.94,West Indies,v Zimbabwe,Ahmedabad,8 Oct 2006,2424
WPUJC Vaas,6.0,2,6,2,1.00,Sri Lanka,v West Indies,Brabourne,14 Oct 2006,2428
JWM Dalrymple,4.0,0,5,2,1.25,England,v India,Jaipur,15 Oct 2006,2429
DM Benkenstein,3.5,1,5,3,1.30,South Africa,v Kenya,Colombo (RPS),20 Sep 2002,1882
DL Vettori,10.0,3,14,3,1.40,New Zealand,v U.S.A.,The Oval,10 Sep 2004,2169
DJ Bravo,10.0,1,14,3,1.40,West Indies,v Bangladesh,Jaipur,11 Oct 2006,2426
HDPK Dharmasena,9.0,3,14,2,1.55,Sri Lanka,v Netherlands,Colombo (RPS),16 Sep 2002,1878
MF Maharoof,9.0,2,14,6,1.55,Sri Lanka,v West Indies,Brabourne,14 Oct 2006,2428
PA de Silva,10.0,2,16,1,1.60,Sri Lanka,v Australia,Colombo (RPS),27 Sep 2002,1887
WPUJC Vaas,10.0,3,16,2,1.60,Sri Lanka,v South Africa,Ahmedabad,24 Oct 2006,2435
SM Pollock,6.0,2,10,1,1.66,South Africa,v Kenya,Colombo (RPS),20 Sep 2002,1882
Shoaib Akhtar,8.0,3,14,1,1.75,Pakistan,v Netherlands,Colombo (SSC),21 Sep 2002,1883
Harbhajan Singh,8.0,2,14,2,1.75,India,v West Indies,Johannesburg,30 Sep 2009,2904
JM Anderson,8.0,1,14,2,1.75,England,v South Africa,The Oval,19 Jun 2013,3375
Mohammad Sami,10.0,1,18,1,1.80,Pakistan,v Netherlands,Colombo (SSC),21 Sep 2002,1883
Shahid Afridi,10.0,3,18,3,1.80,Pakistan,v Netherlands,Colombo (SSC),21 Sep 2002,1883
Shakib Al Hasan,10.0,1,18,3,1.80,Bangladesh,v Zimbabwe,Jaipur,13 Oct 2006,2427
MH Yardy,10.0,1,18,0,1.80,England,v Australia,Jaipur,21 Oct 2006,2434
Abdur Razzak,6.4,2,12,2,1.80,Bangladesh,v Zimbabwe,Jaipur,13 Oct 2006,2427
MN Samuels,5.0,0,9,0,1.80,West Indies,v Australia,Brabourne,5 Nov 2006,2443
WPUJC Vaas,6.0,2,11,1,1.83,Sri Lanka,v Netherlands,Colombo (RPS),16 Sep 2002,1878
A Flintoff,6.0,1,11,3,1.83,England,v Zimbabwe,Birmingham,10 Sep 2004,2168
IK Pathan,6.0,1,11,2,1.83,India,v Kenya,Southampton,11 Sep 2004,2170
Shahid Afridi,6.0,1,11,5,1.83,Pakistan,v Kenya,Birmingham,14 Sep 2004,2174
TM Dilshan,6.3,1,12,1,1.84,Sri Lanka,v New Zealand,Cardiff,9 Jun 2013,3366
DNT Zoysa,10.0,2,19,3,1.90,Sri Lanka,v Zimbabwe,The Oval,14 Sep 2004,2173
MF Maharoof,10.0,1,19,1,1.90,Sri Lanka,v England,Southampton,17 Sep 2004,2177
KD Mills,10.0,2,19,1,1.90,New Zealand,v England,Johannesburg,29 Sep 2009,2902
PT Collins,9.1,4,18,3,1.96,West Indies,v Kenya,Colombo (SSC),17 Sep 2002,1879
