Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w,10w
Azmatullah Omarzai (AFG),2025-2025,3,3,125,20.5,0,140,7,5/58,20.00,6.72,17.85,0,1,0
SB O'Connor (NZ),2000-2000,3,3,128,21.2,0,103,5,5/46,20.60,4.82,25.60,0,1,0
JR Hazlewood (AUS),2017-2017,3,3,168,28.0,0,142,9,6/52,15.77,5.07,18.66,0,1,0
CV Varun (IND),2025-2025,3,3,180,30.0,0,136,9,5/42,15.11,4.53,20.00,0,1,0
MJ Henry (NZ),2025-2025,4,4,188,31.2,1,167,10,5/42,16.70,5.32,18.80,0,1,0
Mohammed Shami (IND),2025-2025,5,5,246,41.0,0,233,9,5/53,25.88,5.68,27.33,0,1,0
WD Parnell (SA),2009-2017,5,5,252,42.0,2,275,11,5/57,25.00,6.54,22.90,0,1,0
MF Maharoof (SL),2004-2006,8,8,330,55.0,4,247,16,6/14,15.43,4.49,20.62,0,1,0
M Ntini (SA),2002-2006,8,8,342,57.0,7,248,16,5/21,15.50,4.35,21.37,0,1,0
JDP Oram (NZ),2002-2006,8,8,388,64.4,7,270,15,5/36,18.00,4.17,25.86,0,1,0
M Dillon (WI),1998-2004,7,7,408,68.0,10,317,19,5/29,16.68,4.66,21.47,1,1,0
Shahid Afridi (PAK),1998-2009,13,12,592,98.4,4,427,14,5/11,30.50,4.32,42.28,0,1,0
GD McGrath (AUS),2000-2006,12,12,612,102.0,13,412,21,5/37,19.61,4.03,29.14,0,1,0
JH Kallis (SA),1998-2009,17,15,639,106.3,3,525,20,5/30,26.25,4.92,31.95,0,1,0
RA Jadeja (IND),2013-2025,15,15,750,125.0,6,586,21,5/36,27.90,4.68,35.71,0,1,0
