Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
CH Gayle (WI),2002-2013,17,17,2,791,133*,52.73,891,88.77,3,1,1,101,15
V Kohli (IND),2009-2025,18,17,7,747,100*,74.70,836,89.35,1,6,1,68,8
DPMD Jayawardene (SL),2000-2013,22,21,3,742,84*,41.22,875,84.80,0,5,0,79,6
S Dhawan (IND),2013-2017,10,10,1,701,125,77.88,690,101.59,3,3,0,79,8
KC Sangakkara (SL),2000-2013,22,21,3,683,134*,37.94,957,71.36,1,4,2,68,0
SC Ganguly (IND),1998-2004,13,11,2,665,141*,73.88,800,83.12,3,3,1,66,17
RG Sharma (IND),2013-2025,15,15,1,661,123*,47.21,763,86.63,1,5,1,72,14
JE Root (ENG),2013-2025,12,12,1,656,133*,59.63,689,95.21,2,3,0,53,6
JH Kallis (SA),1998-2009,17,17,3,653,113*,46.64,843,77.46,1,3,0,63,9
R Dravid (IND),1998-2009,19,15,2,627,76,48.23,855,73.33,0,6,0,56,1
RT Ponting (AUS),1998-2009,18,18,3,593,111*,39.53,775,76.51,1,4,1,66,4
S Chanderpaul (WI),1998-2006,16,16,5,587,74,53.36,864,67.93,0,5,0,67,3
KS Williamson (NZ),2013-2025,11,11,1,545,102,54.50,611,89.19,2,4,0,50,6
ST Jayasuriya (SL),1998-2009,20,20,2,536,102*,29.77,609,88.01,1,1,3,67,6
DR Martyn (AUS),1998-2006,12,11,3,492,78,61.50,665,73.98,0,5,0,63,0
Mohammad Yousuf (PAK),2000-2009,13,12,2,484,87,48.40,714,67.78,0,3,1,41,3
GC Smith (SA),2002-2009,12,12,1,470,141,42.72,542,86.71,1,2,1,57,1
BC Lara (WI),1998-2006,18,17,3,465,111,33.21,611,76.10,1,2,0,46,9
HH Gibbs (SA),2002-2009,10,10,1,460,116*,51.11,538,85.50,3,1,2,50,6
SR Watson (AUS),2002-2013,17,15,4,453,136*,41.18,547,82.81,2,2,4,44,12
SP Fleming (NZ),1998-2006,13,13,0,441,96,33.92,609,72.41,0,3,1,50,2
SR Tendulkar (IND),1998-2009,16,14,2,441,141,36.75,560,78.75,1,1,0,49,7
EJG Morgan (ENG),2009-2017,13,13,3,439,87,43.90,477,92.03,0,4,0,40,14
ME Trescothick (ENG),2000-2004,8,8,0,421,119,52.62,491,85.74,2,2,1,49,4
PD Collingwood (ENG),2004-2009,11,11,3,403,82,50.37,512,78.71,0,2,1,32,11
AB de Villiers (SA),2006-2017,13,13,1,398,70*,33.16,465,85.59,0,3,2,32,2
MS Atapattu (SL),1998-2006,17,16,2,393,101,28.07,598,65.71,1,1,1,36,0
V Sehwag (IND),2002-2006,10,10,2,389,126,48.62,386,100.77,1,2,0,61,2
AC Gilchrist (AUS),1998-2006,13,13,1,382,92,31.83,406,94.08,0,2,0,55,3
Shoaib Malik (PAK),2002-2017,20,18,2,380,128,23.75,530,71.69,1,1,3,34,5
WU Tharanga (SL),2006-2017,7,7,0,377,110,53.85,488,77.25,2,2,1,46,2
Yuvraj Singh (IND),2000-2017,18,13,2,376,84,34.18,435,86.43,0,3,1,48,2
TM Dilshan (SL),2004-2013,15,13,4,363,106,40.33,414,87.68,1,0,0,39,3
RR Sarwan (WI),2002-2013,16,14,2,361,75,30.08,451,80.04,0,3,1,31,6
NJ Astle (NZ),1998-2006,13,13,1,344,145*,28.66,473,72.72,1,0,3,41,6
DA Miller (SA),2013-2025,10,10,4,328,100*,54.66,320,102.50,1,2,1,21,14
HM Amla (SA),2009-2017,9,9,0,321,103,35.66,406,79.06,1,1,0,28,3
MJ Guptill (NZ),2009-2017,11,11,0,319,66,29.00,370,86.21,0,2,0,37,4
DL Vettori (NZ),1998-2013,17,13,5,299,79,37.37,357,83.75,0,1,0,24,1
Tamim Iqbal (BAN),2017-2017,4,4,0,293,128,73.25,340,86.17,1,2,1,25,7
Saeed Anwar (PAK),2000-2002,4,4,2,289,105*,144.50,371,77.89,2,1,0,35,1
MV Boucher (SA),1998-2009,17,13,0,288,69,22.15,371,77.62,0,2,1,26,3
BB McCullum (NZ),2004-2013,14,12,0,286,48,23.83,424,67.45,0,0,1,23,7
LRPL Taylor (NZ),2009-2017,11,11,1,281,72,28.10,417,67.38,0,2,1,23,4
