Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,MatchDate,ODI#
Wahab Riaz,8.4,0,87,0,10.03,Pakistan,v India,Birmingham,4 Jun 2017,3878
T Panyangara,10.0,0,86,1,8.60,Zimbabwe,v England,Birmingham,10 Sep 2004,2168
SL Malinga,10.0,0,85,1,8.50,Sri Lanka,v New Zealand,Johannesburg,27 Sep 2009,2899
LL Tsotsobe,10.0,0,83,2,8.30,South Africa,v India,Cardiff,6 Jun 2013,3363
Haris Rauf,10.0,0,83,2,8.30,Pakistan,v New Zealand,Karachi,19 Feb 2025,4843
SE Bond,9.0,0,82,0,9.11,New Zealand,v Sri Lanka,Johannesburg,27 Sep 2009,2899
JT Ball,10.0,1,82,1,8.20,England,v Bangladesh,The Oval,1 Jun 2017,3875
JC Archer,10.0,0,82,1,8.20,England,v Australia,Lahore,22 Feb 2025,4846
RK Kleinveldt,10.0,0,81,0,8.10,South Africa,v India,Cardiff,6 Jun 2013,3363
RMS Eranga,10.0,0,80,2,8.00,Sri Lanka,v England,The Oval,13 Jun 2013,3370
WD Parnell,10.0,0,79,3,7.90,South Africa,v Sri Lanka,Centurion,22 Sep 2009,2893
AF Milne,10.0,0,79,3,7.90,New Zealand,v England,Cardiff,6 Jun 2017,3880
M Jansen,10.0,0,79,0,7.90,South Africa,v New Zealand,Lahore,5 Mar 2025,4855
CO Obuya,10.0,0,77,2,7.70,Kenya,v South Africa,Colombo (RPS),20 Sep 2002,1882
RW Staple,10.0,0,76,2,7.60,U.S.A.,v New Zealand,The Oval,10 Sep 2004,2169
UT Yadav,10.0,0,75,2,7.50,India,v South Africa,Cardiff,6 Jun 2013,3363
MA Starc,10.0,0,75,1,7.50,Australia,v England,Birmingham,8 Jun 2013,3365
MA Wood,9.3,0,75,1,7.89,England,v Australia,Lahore,22 Feb 2025,4846
Shaheen Shah Afridi,8.0,0,74,2,9.25,Pakistan,v India,Dubai (DICS),23 Feb 2025,4847
Mohammed Shami,9.0,0,74,1,8.22,India,v New Zealand,Dubai (DICS),9 Mar 2025,4858
KAJ Roach,10.0,0,73,2,7.30,West Indies,v Australia,Johannesburg,26 Sep 2009,2897
N Pradeep,10.0,0,73,1,7.30,Sri Lanka,v India,The Oval,8 Jun 2017,3882
JM Anderson,10.0,0,72,0,7.20,England,v West Indies,Ahmedabad,28 Oct 2006,2439
S Prasanna,10.0,0,72,1,7.20,Sri Lanka,v South Africa,The Oval,3 Jun 2017,3877
RAS Lakmal,10.0,1,72,1,7.20,Sri Lanka,v India,The Oval,8 Jun 2017,3882
J Overton,10.0,0,72,1,7.20,England,v Afghanistan,Lahore,26 Feb 2025,4849
L Ngidi,10.0,0,72,3,7.20,South Africa,v New Zealand,Lahore,5 Mar 2025,4855
MS Kasprowicz,9.0,0,71,3,7.88,Australia,v India,Dhaka,28 Oct 1998,1360
JH Kallis,10.0,0,71,2,7.10,South Africa,v India,Nairobi (Gym),13 Oct 2000,1638
Harbhajan Singh,10.0,0,71,1,7.10,India,v Pakistan,Centurion,26 Sep 2009,2898
RG Aga,9.0,0,70,0,7.77,Kenya,v India,Southampton,11 Sep 2004,2170
