Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w
KD Mills (NZ),2002-2013,15,15,675,112.3,7,483,28,4/30,17.25,4.29,24.10,2,0
SL Malinga (SL),2006-2017,16,16,864,144.0,9,766,25,4/34,30.64,5.31,34.56,2,0
M Muralidaran (SL),1998-2009,17,15,805,134.1,11,484,24,4/15,20.16,3.60,33.54,2,0
B Lee (AUS),2000-2009,16,15,739,123.1,6,591,22,3/38,26.86,4.79,33.59,0,0
GD McGrath (AUS),2000-2006,12,12,612,102.0,13,412,21,5/37,19.61,4.03,29.14,0,1
JM Anderson (ENG),2006-2013,12,12,608,101.2,6,457,21,3/20,21.76,4.50,28.95,0,0
RA Jadeja (IND),2013-2025,15,15,750,125.0,6,586,21,5/36,27.90,4.68,35.71,0,1
JH Kallis (SA),1998-2009,17,15,639,106.3,3,525,20,5/30,26.25,4.92,31.95,0,1
M Dillon (WI),1998-2004,7,7,408,68.0,10,317,19,5/29,16.68,4.66,21.47,1,1
WPUJC Vaas (SL),1998-2006,16,16,754,125.4,19,494,18,2/6,27.44,3.93,41.88,0,0
DL Vettori (NZ),1998-2013,17,17,856,142.4,12,522,18,3/14,29.00,3.65,47.55,0,0
CH Gayle (WI),2002-2013,17,14,508,84.4,2,380,17,3/3,22.35,4.48,29.88,0,0
SR Watson (AUS),2002-2013,17,15,576,96.0,3,396,17,3/16,23.29,4.12,33.88,0,0
SE Bond (NZ),2002-2009,10,10,546,91.0,5,472,17,4/21,27.76,5.18,32.11,1,0
MF Maharoof (SL),2004-2006,8,8,330,55.0,4,247,16,6/14,15.43,4.49,20.62,0,1
M Ntini (SA),2002-2006,8,8,342,57.0,7,248,16,5/21,15.50,4.35,21.37,0,1
SM Pollock (SA),2000-2006,11,11,529,88.1,8,321,16,3/27,20.06,3.64,33.06,0,0
SCJ Broad (ENG),2009-2013,8,8,384,64.0,3,358,16,4/39,22.37,5.59,24.00,1,0
JDP Oram (NZ),2002-2006,8,8,388,64.4,7,270,15,5/36,18.00,4.17,25.86,0,1
Z Khan (IND),2000-2002,9,9,480,80.0,7,368,15,4/45,24.53,4.60,32.00,1,0
DJ Bravo (WI),2004-2013,15,13,576,96.0,1,481,15,3/14,32.06,5.01,38.40,0,0
IDR Bradshaw (WI),2004-2006,10,10,534,89.0,7,334,14,3/30,23.85,3.75,38.14,0,0
SR Tendulkar (IND),1998-2009,16,11,445,74.1,2,351,14,4/38,25.07,4.73,31.78,1,0
ST Jayasuriya (SL),1998-2009,20,14,600,100.0,4,378,14,3/39,27.00,3.78,42.85,0,0
Shahid Afridi (PAK),1998-2009,13,12,592,98.4,4,427,14,5/11,30.50,4.32,42.28,0,1
Harbhajan Singh (IND),2002-2009,13,13,750,125.0,7,496,14,3/27,35.42,3.96,53.57,0,0
Hasan Ali (PAK),2017-2017,5,5,267,44.3,2,191,13,3/19,14.69,4.29,20.53,0,0
JE Taylor (WI),2006-2006,7,7,342,57.0,3,287,13,4/49,22.07,5.03,26.30,1,0
I Sharma (IND),2009-2013,7,7,321,53.3,4,310,13,3/33,23.84,5.79,24.69,0,0
B Kumar (IND),2013-2017,10,10,465,77.3,8,334,13,2/19,25.69,4.30,35.76,0,0
JN Gillespie (AUS),2000-2004,7,7,336,56.0,5,209,12,4/15,17.41,3.73,28.00,1,0
