Player,Mat,Balls,Overs,Mdns,Inns,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w,10w,Edition
Hasan Ali (PAK),5,267,44.3,2,5,191,13,3/19,14.69,4.29,20.53,0,0,0,England 2017
JE Taylor (WI),7,342,57.0,3,7,287,13,4/49,22.07,5.03,26.30,1,0,0,India 2006/07
RA Jadeja (IND),5,246,41.0,5,5,154,12,5/36,12.83,3.75,20.50,0,1,0,England 2013
MF Maharoof (SL),6,216,36.0,2,6,190,12,6/14,15.83,5.27,18.00,0,1,0,India 2006/07
MJ McClenaghan (NZ),3,143,23.5,0,3,144,11,4/43,13.09,6.04,13.00,2,0,0,England 2013
JM Anderson (ENG),5,222,37.0,1,5,151,11,3/30,13.72,4.08,20.18,0,0,0,England 2013
WD Parnell (SA),3,168,28.0,2,3,196,11,5/57,17.81,7.00,15.27,0,1,0,South Africa 2009/10
SL Malinga (SL),6,303,50.3,3,6,210,11,4/53,19.09,4.15,27.54,1,0,0,India 2006/07
M Muralidaran (SL),5,151,25.1,2,3,70,10,4/15,7.00,2.78,15.10,1,0,0,Sri Lanka 2002/03
KD Mills (NZ),4,171,28.3,2,4,118,10,4/38,11.80,4.14,17.10,1,0,0,India 2006/07
SCJ Broad (ENG),3,169,28.1,1,3,155,10,4/39,15.50,5.50,16.90,1,0,0,South Africa 2009/10
GD McGrath (AUS),5,264,44.0,7,5,158,10,3/22,15.80,3.59,26.40,0,0,0,India 2006/07
MJ Henry (NZ),4,188,31.2,1,4,167,10,5/42,16.70,5.32,18.80,0,1,0,Pakistan/UAE 2024/25
NW Bracken (AUS),5,246,41.0,4,5,194,10,3/22,19.40,4.73,24.60,0,0,0,India 2006/07
I Sharma (IND),5,228,38.0,2,5,218,10,3/33,21.80,5.73,22.80,0,0,0,England 2013
A Flintoff (ENG),4,186,31.0,1,4,126,9,3/11,14.00,4.06,20.66,0,0,0,England 2004
CV Varun (IND),3,180,30.0,0,3,136,9,5/42,15.11,4.53,20.00,0,1,0,Pakistan/UAE 2024/25
JR Hazlewood (AUS),3,168,28.0,0,3,142,9,6/52,15.77,5.07,18.66,0,1,0,England 2017
WPUJC Vaas (SL),5,276,46.0,8,5,170,9,2/6,18.88,3.69,30.66,0,0,0,India 2006/07
