Player,Overs,Mdns,Runs,Wkts,Econ,Team,Inns,Opposition,Ground,Match Date,Scorecard
GD McGrath,7.0,4,15,7,2.14,Australia,2,v Namibia,Potchefstroom,27 Feb 2003,ODI #1970
AJ Bichel,10.0,0,20,7,2.00,Australia,1,v England,Gqeberha,2 Mar 2003,ODI #1976
TG Southee,9.0,0,33,7,3.66,New Zealand,1,v England,Wellington,20 Feb 2015,ODI #3607
WW Davis,10.3,0,51,7,4.85,West Indies,2,v Australia,Leeds,11 Jun 1983,ODI #203
Mohammed Shami,9.5,0,57,7,5.79,India,2,v New Zealand,Wankhede,15 Nov 2023,ODI #4703
GJ Gilmour,12.0,6,14,6,1.16,Australia,1,v England,Leeds,18 Jun 1975,ODI #31
A Nehra,10.0,2,23,6,2.30,India,2,v England,Durban,26 Feb 2003,ODI #1969
SE Bond,10.0,2,23,6,2.30,New Zealand,1,v Australia,Gqeberha,11 Mar 2003,ODI #1986
WPUJC Vaas,9.1,2,25,6,2.72,Sri Lanka,1,v Bangladesh,Pietermaritzburg,14 Feb 2003,ODI #1950
KAJ Roach,8.3,0,27,6,3.17,West Indies,2,v Netherlands,Delhi,28 Feb 2011,ODI #3112
MA Starc,9.0,0,28,6,3.11,Australia,2,v New Zealand,Auckland,28 Feb 2015,ODI #3617
Shaheen Shah Afridi,9.1,0,35,6,3.81,Pakistan,2,v Bangladesh,Lord's,5 Jul 2019,ODI #4186
SL Malinga,7.4,0,38,6,4.95,Sri Lanka,1,v Kenya,Colombo (RPS),1 Mar 2011,ODI #3113
KH MacLeay,11.5,3,39,6,3.29,Australia,2,v India,Nottingham,13 Jun 1983,ODI #207
GD McGrath,8.4,3,14,5,1.61,Australia,1,v West Indies,Manchester,30 May 1999,ODI #1470
Shahid Afridi,8.0,3,16,5,2.00,Pakistan,2,v Kenya,Hambantota,23 Feb 2011,ODI #3105
AJ Hall,10.0,2,18,5,1.80,South Africa,1,v England,Bridgetown,17 Apr 2007,ODI #2574
Mohammed Shami,5.0,1,18,5,3.60,India,2,v Sri Lanka,Wankhede,2 Nov 2023,ODI #4690
AG Hurst,10.0,3,21,5,2.10,Australia,1,v Canada,Birmingham,16 Jun 1979,ODI #70
PA Strang,9.4,1,21,5,2.17,Zimbabwe,1,v Kenya,Patna,27 Feb 1996,ODI #1063
L Klusener,8.3,3,21,5,2.47,South Africa,1,v Kenya,Amstelveen,26 May 1999,ODI #1462
Shahid Afridi,10.0,0,23,5,2.30,Pakistan,2,v Canada,Colombo (RPS),3 Mar 2011,ODI #3116
