Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
B Wood (ENG),1975-1975,3,12.0,5,72,14,0,-,-,1.16,-,0,0,0
JA Snow (ENG),1975-1975,3,36.0,8,216,65,6,4/11,10.83,1.80,36,1,0,0
GD Porter (AUS),1979-1979,2,18.0,5,108,33,3,2/13,11.00,1.83,36,0,0,0
DL Underwood (ENG),1975-1975,2,22.0,7,132,41,2,2/30,20.50,1.86,66,0,0,0
JJC Lawson (WI),2003-2003,1,8.0,0,48,16,2,2/16,8.00,2.00,24,0,0,0
G Dymock (AUS),1979-1979,3,31.0,7,186,64,2,1/17,32.00,2.06,93,0,0,0
GG Arnold (ENG),1975-1975,3,29.4,7,178,70,3,1/15,23.33,2.35,59.3,0,0,0
SR Clark (AUS),2007-2007,1,8.0,1,48,19,1,1/19,19.00,2.37,48,0,0,0
BS Bedi (IND),1975-1979,5,60.0,17,360,148,2,1/6,74.00,2.46,180,0,0,0
KBJ Azad (IND),1983-1983,3,17.0,1,102,42,1,1/28,42.00,2.47,102,0,0,0
Majid Khan (PAK),1975-1979,7,47.0,8,282,117,7,3/27,16.71,2.48,40.2,0,0,0
P Lever (ENG),1975-1975,4,36.0,3,216,92,5,3/32,18.40,2.55,43.2,0,0,0
GJ Gilmour (AUS),1975-1975,2,24.0,8,144,62,11,6/14,5.63,2.58,13,0,2,0
NG Cowans (ENG),1983-1983,1,12.0,3,72,31,2,2/31,15.50,2.58,36,0,0,0
Sikander Bakht (PAK),1979-1979,4,41.0,10,246,108,7,3/32,15.42,2.63,35.1,0,0,0
M Hendrick (ENG),1979-1979,5,56.0,14,336,149,10,4/15,14.90,2.66,33.6,1,0,0
RGD Willis (ENG),1979-1983,11,118.1,27,709,315,18,4/11,17.50,2.66,39.3,2,0,0
CM Old (ENG),1975-1979,9,90.3,18,543,243,16,4/8,15.18,2.68,33.9,1,0,0
DLS de Silva (SL),1979-1979,2,20.0,2,120,54,2,2/36,27.00,2.70,60,0,0,0
LL Tsotsobe (SA),2011-2011,1,5.0,2,30,14,3,3/14,4.66,2.80,10,0,0,0
PH Edmonds (ENG),1979-1979,3,26.0,3,156,73,3,2/40,24.33,2.80,52,0,0,0
BJ Hodge (AUS),2007-2007,5,6.0,0,36,17,1,1/17,17.00,2.83,36,0,0,0
Shehzad Altaf (UAE),1996-1996,2,13.0,3,78,37,1,1/15,37.00,2.84,78,0,0,0
RO Collinge (NZ),1975-1975,4,48.0,13,288,137,6,3/28,22.83,2.85,48,0,0,0
AW Greig (ENG),1975-1975,4,31.0,2,186,89,6,4/45,14.83,2.87,31,1,0,0
Sir RJ Hadlee (NZ),1975-1983,13,146.1,38,877,421,22,5/25,19.13,2.88,39.8,0,1,0
RG Callender (CAN),1979-1979,2,9.0,1,54,26,1,1/14,26.00,2.88,54,0,0,0
Mohammad Sami (PAK),2003-2007,3,15.0,0,90,44,4,3/29,11.00,2.93,22.5,0,0,0
MA Holding (WI),1979-1983,11,115.5,16,695,341,20,4/33,17.05,2.94,34.7,1,0,0
