Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
DA Reeve,5.0,3,2,1,0.40,England,v Pakistan,Adelaide,1 Mar 1992,ODI #726
BS Bedi,12.0,8,6,1,0.50,India,v East Africa,Leeds,11 Jun 1975,ODI #24
M Hendrick,8.0,4,5,1,0.62,England,v Canada,Manchester,13 Jun 1979,ODI #67
AC Botha,8.0,4,5,2,0.62,Ireland,v Pakistan,Kingston,17 Mar 2007,ODI #2539
SM Pollock,6.0,3,4,1,0.66,South Africa,v Netherlands,Basseterre,16 Mar 2007,ODI #2537
PV Simmons,3.0,2,2,0,0.66,West Indies,v Australia,Manchester,30 May 1999,ODI #1470
Mohammad Irfan,3.0,1,2,0,0.66,Pakistan,v U.A.E.,Napier,4 Mar 2015,ODI #3622
CM Old,10.0,5,8,4,0.80,England,v Canada,Manchester,13 Jun 1979,ODI #67
CEL Ambrose,10.0,4,8,2,0.80,West Indies,v Scotland,Leicester,27 May 1999,ODI #1465
B Wood,5.0,2,4,0,0.80,England,v India,Lord's,7 Jun 1975,ODI #19
Sir RJ Hadlee,12.0,6,10,0,0.83,New Zealand,v East Africa,Birmingham,7 Jun 1975,ODI #20
AY Karim,8.2,6,7,3,0.84,Kenya,v Australia,Durban,15 Mar 2003,ODI #1990
JA Snow,12.0,6,11,4,0.91,England,v East Africa,Birmingham,14 Jun 1975,ODI #27
DS de Silva,12.0,5,11,2,0.91,Sri Lanka,v New Zealand,Derby,18 Jun 1983,ODI #214
DR Pringle,8.2,5,8,3,0.96,England,v Pakistan,Adelaide,1 Mar 1992,ODI #726
Majid Khan,11.0,4,11,1,1.00,Pakistan,v Canada,Leeds,9 Jun 1979,ODI #64
RGD Willis,9.0,4,9,1,1.00,England,v Sri Lanka,Leeds,20 Jun 1983,ODI #217
Wasim Raja,7.0,4,7,1,1.00,Pakistan,v Sri Lanka,Nottingham,14 Jun 1975,ODI #30
CA Walsh,7.0,1,7,3,1.00,West Indies,v Scotland,Leicester,27 May 1999,ODI #1465
WD Parnell,4.0,1,4,0,1.00,South Africa,v Bangladesh,Mirpur,19 Mar 2011,ODI #3138
WJ Cronje,3.0,1,3,0,1.00,South Africa,v Netherlands,Rawalpindi,5 Mar 1996,ODI #1073
RGD Willis,10.3,3,11,4,1.04,England,v Canada,Manchester,13 Jun 1979,ODI #67
DL Underwood,10.0,5,11,0,1.10,England,v East Africa,Birmingham,14 Jun 1975,ODI #27
SK Warne,10.0,4,11,3,1.10,Australia,v West Indies,Manchester,30 May 1999,ODI #1470
GJ Gilmour,12.0,6,14,6,1.16,Australia,v England,Leeds,18 Jun 1975,ODI #31
SR Waugh,6.0,3,7,0,1.16,Australia,v Zimbabwe,Chennai,13 Oct 1987,ODI #456
IT Botham,10.0,4,12,2,1.20,England,v Pakistan,Adelaide,1 Mar 1992,ODI #726
M Hendrick,12.0,6,15,4,1.25,England,v Pakistan,Leeds,16 Jun 1979,ODI #71
SM Pollock,8.0,3,10,2,1.25,South Africa,v Sri Lanka,Northampton,19 May 1999,ODI #1451
