Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
Mohammed Shami (IND),2015-2023,18,18,870,145.0,13,744,55,7/57,13.52,5.13,15.81,4,4,0
MA Starc (AUS),2015-2023,28,28,1459,243.1,10,1254,65,6/28,19.29,5.15,22.44,3,3,0
GJ Gilmour (AUS),1975-1975,2,2,144,24.0,8,62,11,6/14,5.63,2.58,13.09,0,2,0
VC Drakes (WI),2003-2003,6,6,311,51.5,7,208,16,5/33,13.00,4.01,19.43,0,2,0
ALF de Mel (SL),1983-1987,9,9,542,90.2,13,449,18,5/32,24.94,4.97,30.11,0,2,0
Shaheen Shah Afridi (PAK),2019-2023,14,14,769,128.1,6,715,34,6/35,21.02,5.57,22.61,1,2,0
Mustafizur Rahman (BAN),2019-2023,16,16,827,137.5,5,882,25,5/59,35.28,6.39,33.08,0,2,0
Shahid Afridi (PAK),1999-2015,27,24,1104,184.0,7,831,30,5/16,27.70,4.51,36.80,2,2,0
GD McGrath (AUS),1996-2007,39,39,1955,325.5,42,1292,71,7/15,18.19,3.96,27.53,0,2,0
R Rampaul (WI),2011-2011,2,2,90,15.0,1,79,5,5/51,15.80,5.26,18.00,0,1,0
A Codrington (CAN),2003-2003,5,4,150,25.0,4,129,6,5/27,21.50,5.16,25.00,0,1,0
MR Marsh (AUS),2015-2023,13,8,156,26.0,0,165,7,5/33,23.57,6.34,22.28,0,1,0
ST Finn (ENG),2015-2015,4,4,174,29.0,3,200,8,5/71,25.00,6.89,21.75,0,1,0
AG Hurst (AUS),1979-1979,3,3,192,32.0,6,119,7,5/21,17.00,3.71,27.42,0,1,0
RR Singh (IND),1999-1999,6,6,195,32.3,1,153,8,5/31,19.12,4.70,24.37,0,1,0
SF Dukanwala (UAE),1996-1996,5,4,198,33.0,1,153,6,5/29,25.50,4.63,33.00,0,1,0
JP Behrendorff (AUS),2019-2019,5,5,265,44.1,2,227,9,5/44,25.22,5.13,29.44,0,1,0
KH MacLeay (AUS),1983-1983,4,4,269,44.5,6,163,8,6/39,20.37,3.63,33.62,0,1,0
RJ van Vuuren (NAM),2003-2003,5,5,300,50.0,5,298,8,5/43,37.25,5.96,37.50,0,1,0
A Nel (SA),2007-2007,6,6,314,52.2,6,217,12,5/45,18.08,4.14,26.16,0,1,0
WW Davis (WI),1983-1983,5,5,327,54.3,6,206,8,7/51,25.75,3.77,40.87,0,1,0
AJ Bichel (AUS),2003-2003,8,8,342,57.0,7,197,16,7/20,12.31,3.45,21.37,0,1,0
Sohail Khan (PAK),2015-2015,7,7,371,61.5,3,364,12,5/55,30.33,5.88,30.91,0,1,0
TT Bresnan (ENG),2011-2011,7,7,378,63.0,5,309,9,5/48,34.33,4.90,42.00,0,1,0
JDS Neesham (NZ),2019-2023,13,12,414,69.0,2,449,17,5/31,26.41,6.50,24.35,0,1,0
CK Langeveldt (SA),2003-2007,9,9,426,71.0,3,385,14,5/39,27.50,5.42,30.42,0,1,0
Mohammad Amir (PAK),2019-2019,8,8,438,73.0,5,358,17,5/30,21.05,4.90,25.76,0,1,0
VJ Marks (ENG),1983-1983,7,7,468,78.0,9,246,13,5/39,18.92,3.15,36.00,0,1,0
D Madushanka (SL),2023-2023,9,9,470,78.2,4,525,21,5/80,25.00,6.70,22.38,1,1,0
