Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
BFW de Leede,10.0,0,115,2,11.50,Netherlands,v Australia,Delhi,25 Oct 2023,ODI #4681
Rashid Khan,9.0,0,110,0,12.22,Afghanistan,v England,Manchester,18 Jun 2019,ODI #4163
LV van Beek,10.0,0,107,0,10.70,Netherlands,v India,Bengaluru,12 Nov 2023,ODI #4702
MC Snedden,12.0,1,105,2,8.75,New Zealand,v England,The Oval,9 Jun 1983,ODI #197
JO Holder,10.0,2,104,1,10.40,West Indies,v South Africa,Sydney,27 Feb 2015,ODI #3616
Dawlat Zadran,10.0,1,101,2,10.10,Afghanistan,v Australia,W.A.C.A,4 Mar 2015,ODI #3623
TG Southee,10.0,0,100,3,10.00,New Zealand,v India,Wankhede,15 Nov 2023,ODI #4703
ALF de Mel,10.0,0,97,1,9.70,Sri Lanka,v West Indies,Karachi,13 Oct 1987,ODI #457
RDM Leverock,10.0,0,96,1,9.60,Bermuda,v India,Port of Spain,19 Mar 2007,ODI #2542
AD Russell,10.0,0,96,2,9.60,West Indies,v New Zealand,Wellington,21 Mar 2015,ODI #3643
KJ O'Brien,7.0,0,95,1,13.57,Ireland,v South Africa,Canberra,3 Mar 2015,ODI #3621
M Pathirana,10.0,0,95,1,9.50,Sri Lanka,v South Africa,Delhi,7 Oct 2023,ODI #4661
M Jansen,9.4,0,94,1,9.72,South Africa,v India,Eden Gardens,5 Nov 2023,ODI #4694
RJ van Vuuren,10.0,0,92,0,9.20,Namibia,v Australia,Potchefstroom,27 Feb 2003,ODI #1970
M Jansen,10.0,0,92,2,9.20,South Africa,v Sri Lanka,Delhi,7 Oct 2023,ODI #4661
JM Anderson,9.5,0,91,1,9.25,England,v India,Bengaluru,27 Feb 2011,ODI #3110
KJ O'Brien,10.0,0,90,2,9.00,Ireland,v Zimbabwe,Hobart,7 Mar 2015,ODI #3627
CAK Rajitha,10.0,1,90,1,9.00,Sri Lanka,v South Africa,Delhi,7 Oct 2023,ODI #4661
M Pathirana,9.0,0,90,1,10.00,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI #4665
Shaheen Shah Afridi,10.0,0,90,0,9.00,Pakistan,v New Zealand,Bengaluru,4 Nov 2023,ODI #4692
PA van Meekeren,10.0,0,90,1,9.00,Netherlands,v India,Bengaluru,12 Nov 2023,ODI #4702
