Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
GD McGrath (AUS),1996-2007,39,39,1955,325.5,42,1292,71,7/15,18.19,3.96,27.53,0,2
M Muralidaran (SL),1996-2011,40,39,2061,343.3,15,1335,68,4/19,19.63,3.88,30.30,4,0
MA Starc (AUS),2015-2023,28,28,1459,243.1,10,1254,65,6/28,19.29,5.15,22.44,3,3
SL Malinga (SL),2007-2019,29,28,1394,232.2,11,1281,56,6/38,22.87,5.51,24.89,2,1
Mohammed Shami (IND),2015-2023,18,18,870,145.0,13,744,55,7/57,13.52,5.13,15.81,4,4
Wasim Akram (PAK),1987-2003,38,36,1947,324.3,16,1311,55,5/28,23.83,4.04,35.40,2,1
TA Boult (NZ),2015-2023,29,29,1650,275.0,24,1354,53,5/27,25.54,4.92,31.13,3,1
WPUJC Vaas (SL),1996-2007,31,31,1570,261.4,39,1040,49,6/25,21.22,3.97,32.04,1,1
Z Khan (IND),2003-2011,23,23,1193,198.5,12,890,44,4/42,20.22,4.47,27.11,1,0
J Srinath (IND),1992-2003,34,33,1700,283.2,21,1224,44,4/30,27.81,4.32,38.63,2,0
Shakib Al Hasan (BAN),2007-2023,36,36,1808,301.2,3,1551,43,5/29,36.06,5.14,42.04,1,1
TG Southee (NZ),2011-2023,22,22,1172,195.2,16,1110,41,7/33,27.07,5.68,28.58,0,1
Imran Tahir (SA),2011-2019,22,21,1151,191.5,7,847,40,5/45,21.17,4.41,28.77,4,1
JJ Bumrah (IND),2019-2023,20,20,1055,175.5,18,744,38,4/39,19.57,4.23,27.76,2,0
AA Donald (SA),1992-2003,25,25,1313,218.5,14,913,38,4/17,24.02,4.17,34.55,2,0
JDP Oram (NZ),2003-2011,23,23,1094,182.2,21,768,36,4/39,21.33,4.21,30.38,2,0
DL Vettori (NZ),2003-2015,32,31,1689,281.3,12,1168,36,4/18,32.44,4.14,46.91,2,0
B Lee (AUS),2003-2011,17,17,825,137.3,15,629,35,5/42,17.97,4.57,23.57,2,1
Wahab Riaz (PAK),2011-2019,20,20,1000,166.4,5,926,35,5/46,26.45,5.55,28.57,1,1
GB Hogg (AUS),2003-2007,21,20,951,158.3,10,654,34,4/27,19.23,4.12,27.97,2,0
Imran Khan (PAK),1975-1992,28,19,1017,169.3,18,655,34,4/37,19.26,3.86,29.91,2,0
Shaheen Shah Afridi (PAK),2019-2023,14,14,769,128.1,6,715,34,6/35,21.02,5.57,22.61,1,2
SW Tait (AUS),2007-2011,18,18,819,136.3,4,731,34,4/39,21.50,5.35,24.08,1,0
PJ Cummins (AUS),2015-2023,23,23,1133,188.5,8,1022,34,3/33,30.05,5.41,33.32,0,0
SK Warne (AUS),1996-1999,17,17,977,162.5,16,624,32,4/29,19.50,3.83,30.53,4,0
CZ Harris (NZ),1992-2003,28,27,1166,194.2,10,861,32,4/7,26.90,4.43,36.43,1,0
A Kumble (IND),1996-2007,18,18,1039,173.1,5,708,31,4/32,22.83,4.08,33.51,1,0
LH Ferguson (NZ),2019-2023,16,16,826,137.4,6,710,31,4/37,22.90,5.15,26.64,1,0
SM Pollock (SA),1996-2007,31,31,1614,269.0,37,970,31,5/36,31.29,3.60,52.06,0,1
CR Woakes (ENG),2015-2023,24,24,1066,177.4,8,978,31,4/54,31.54,5.50,34.38,1,0
SE Bond (NZ),2003-2007,16,16,886,147.4,21,518,30,6/23,17.26,3.50,29.53,0,1
IT Botham (ENG),1979-1992,22,22,1332,222.0,33,762,30,4/31,25.40,3.43,44.40,1,0
Shoaib Akhtar (PAK),1999-2011,19,18,893,148.5,9,765,30,4/46,25.50,5.13,29.76,1,0
Shahid Afridi (PAK),1999-2015,27,24,1104,184.0,7,831,30,5/16,27.70,4.51,36.80,2,2
