Player,Series,Mat,Balls,Overs,Mdns,Inns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
MA Starc (AUS),"ICC Cricket World Cup (England), 2019",10,554,92.2,5,10,502,27,5/26,18.59,5.43,20.51,2,2,0
GD McGrath (AUS),"ICC World Cup (West Indies), 2006/07",11,485,80.5,5,11,357,26,3/14,13.73,4.41,18.65,0,0,0
Mohammed Shami (IND),"ICC Cricket World Cup (India), 2023/24",7,293,48.5,4,7,257,24,7/57,10.70,5.26,12.20,1,3,0
WPUJC Vaas (SL),"ICC World Cup (Kenya/South Africa/Zimbabwe), 2002/03",10,528,88.0,14,10,331,23,6/25,14.39,3.76,22.95,1,1,0
M Muralidaran (SL),"ICC World Cup (West Indies), 2006/07",10,508,84.4,1,10,351,23,4/19,15.26,4.14,22.08,2,0,0
SW Tait (AUS),"ICC World Cup (West Indies), 2006/07",11,507,84.3,1,11,467,23,4/39,20.30,5.52,22.04,1,0,0
A Zampa (AUS),"ICC Cricket World Cup (in India), 2023/24",11,576,96.0,1,11,515,23,4/8,22.39,5.36,25.04,3,0,0
MA Starc (AUS),"ICC Cricket World Cup (Australia/New Zealand), 2014/15",8,383,63.5,3,8,224,22,6/28,10.18,3.50,17.40,1,1,0
TA Boult (NZ),"ICC Cricket World Cup (Australia/New Zealand), 2014/15",9,510,85.0,14,9,371,22,5/27,16.86,4.36,23.18,1,1,0
B Lee (AUS),"ICC World Cup (Kenya/South Africa/Zimbabwe), 2002/03",10,499,83.1,9,10,394,22,5/42,17.90,4.73,22.68,0,1,0
Shahid Afridi (PAK),"ICC Cricket World Cup (Bangladesh/India/Sri Lanka), 2010/11",8,447,74.3,4,8,270,21,5/16,12.85,3.62,21.28,2,2,0
GD McGrath (AUS),"ICC World Cup (Kenya/South Africa/Zimbabwe), 2002/03",11,522,87.0,18,11,310,21,7/15,14.76,3.56,24.85,0,1,0
GB Hogg (AUS),"ICC World Cup (West Indies), 2006/07",11,497,82.5,6,11,332,21,4/27,15.80,4.00,23.66,2,0,0
Z Khan (IND),"ICC Cricket World Cup (Bangladesh/India/Sri Lanka), 2010/11",9,489,81.3,4,9,394,21,3/20,18.76,4.83,23.28,0,0,0
LH Ferguson (NZ),"ICC Cricket World Cup (England), 2019",9,502,83.4,3,9,409,21,4/37,19.47,4.88,23.90,1,0,0
D Madushanka (SL),"ICC Cricket World Cup (India), 2023/24",9,470,78.2,4,9,525,21,5/80,25.00,6.70,22.38,1,1,0
GI Allott (NZ),"ICC World Cup (England/Ireland/Netherlands/Scotland), 1999",9,526,87.4,7,9,325,20,4/37,16.25,3.70,26.30,2,0,0
