Player,Overs,Mdns,Runs,Wkts,Econ,Team,Inns,Opposition,Ground,Match Date,Scorecard
BAW Mendis,4.0,2,8,6,2.00,Sri Lanka,2,v Zimbabwe,Hambantota,18 Sep 2012,T20I #263
HMRKB Herath,3.3,2,3,5,0.85,Sri Lanka,2,v New Zealand,Chattogram,31 Mar 2014,T20I #395
Umar Gul,3.0,0,6,5,2.00,Pakistan,1,v New Zealand,The Oval,13 Jun 2009,T20I #107
Fazalhaq Farooqi,4.0,0,9,5,2.25,Afghanistan,2,v Uganda,Providence,3 Jun 2024,T20I #2636
SM Curran,3.4,0,10,5,2.72,England,1,v Afghanistan,Perth,22 Oct 2022,T20I #1840
AJ Hosein,4.0,0,11,5,2.75,West Indies,2,v Uganda,Providence,8 Jun 2024,T20I #2651
Ahsan Malik,4.0,0,19,5,4.75,Netherlands,1,v South Africa,Chattogram,27 Mar 2014,T20I #386
A Zampa,4.0,0,19,5,4.75,Australia,1,v Bangladesh,Dubai (DICS),4 Nov 2021,T20I #1391
Mujeeb Ur Rahman,4.0,0,20,5,5.00,Afghanistan,2,v Scotland,Sharjah,25 Oct 2021,T20I #1364
R Shepherd,3.0,0,20,5,6.66,West Indies,2,v Scotland,Eden Gardens,7 Feb 2026,T20I #3685
Mustafizur Rahman,4.0,0,22,5,5.50,Bangladesh,1,v New Zealand,Eden Gardens,26 Mar 2016,T20I #550
JP Faulkner,4.0,0,27,5,6.75,Australia,2,v Pakistan,Mohali,25 Mar 2016,T20I #548
SL Malinga,4.0,0,31,5,7.75,Sri Lanka,2,v England,Pallekele,1 Oct 2012,T20I #284
Junaid Siddique,4.0,0,35,5,8.75,U.A.E.,1,v Canada,Delhi,13 Feb 2026,T20I #3705
AU Rashid,2.2,0,2,4,0.85,England,1,v West Indies,Dubai (DICS),23 Oct 2021,T20I #1354
MR Gillespie,2.5,0,7,4,2.47,New Zealand,1,v Kenya,Durban,12 Sep 2007,T20I #21
A Nortje,4.0,0,7,4,1.75,South Africa,1,v Sri Lanka,New York,3 Jun 2024,T20I #2635
Tanzim Hasan Sakib,4.0,2,7,4,1.75,Bangladesh,2,v Nepal,Kingstown,16 Jun 2024,T20I #2698
Mohammad Nabi,4.0,0,7,4,1.75,Afghanistan,2,v Canada,Chennai,19 Feb 2026,T20I #3726
Shakib Al Hasan,4.0,0,9,4,2.25,Bangladesh,2,v P.N.G.,Al Amerat,21 Oct 2021,T20I #1334
Rashid Khan,2.2,0,9,4,3.85,Afghanistan,2,v Scotland,Sharjah,25 Oct 2021,T20I #1364
