Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
P Kumar (IND),2010-2010,2,4.0,0,24,17,2,2/14,8.50,4.25,12,0,0,0
J Kariko (PNG),2024-2024,3,11.0,0,66,50,1,1/17,50.00,4.54,66,0,0,0
F Nsubuga (UGA),2024-2024,2,7.0,2,42,33,2,2/4,16.50,4.71,21,0,0,0
Zahoor Khan (UAE),2022-2022,3,12.0,0,72,57,5,2/20,11.40,4.75,14.4,0,0,0
Aayan Afzal Khan (UAE),2022-2022,3,8.0,0,48,38,2,1/15,19.00,4.75,24,0,0,0
CD de Lange (SCOT),2016-2016,1,4.0,0,24,19,1,1/19,19.00,4.75,24,0,0,0
SMSM Senanayake (SL),2014-2014,6,17.0,0,102,83,4,2/3,20.75,4.88,25.5,0,0,0
Raza Hasan (PAK),2012-2012,4,15.0,1,90,74,3,2/14,24.66,4.93,30,0,0,0
OEG Baartman (SA),2024-2024,5,19.0,1,114,94,6,4/11,15.66,4.94,19,1,0,0
RS Bopara (ENG),2009-2014,11,8.0,0,48,40,1,1/15,40.00,5.00,48,0,0,0
JDF Vandersay (SL),2016-2016,3,12.0,1,72,62,3,2/26,20.66,5.16,24,0,0,0
SP Narine (WI),2012-2014,12,44.4,1,268,231,15,3/9,15.40,5.17,17.8,0,0,0
NO Miller (WI),2010-2010,3,12.0,0,72,63,2,1/18,31.50,5.25,36,0,0,0
S Dhakal (NEP),2024-2024,1,4.0,0,24,21,0,-,-,5.25,-,0,0,0
Mirwais Ashraf (AFG),2010-2014,2,6.0,0,36,32,1,1/14,32.00,5.33,36,0,0,0
RK Paudel (NEP),2024-2026,7,6.0,0,36,32,3,2/20,10.66,5.33,12,0,0,0
Sabbir Rahman (BAN),2014-2016,11,6.0,0,36,32,3,1/3,10.66,5.33,12,0,0,0
N Vanua (PNG),2021-2024,6,8.0,0,48,43,3,2/19,14.33,5.37,16,0,0,0
Hamid Hassan (AFG),2010-2021,9,31.3,0,189,171,10,3/9,17.10,5.42,18.9,0,0,0
P Khadka (NEP),2014-2014,3,8.0,0,48,44,1,1/7,44.00,5.50,48,0,0,0
M Pathirana (SL),2024-2026,6,16.3,0,99,91,5,2/12,18.20,5.51,19.8,0,0,0
S Badree (WI),2012-2016,15,59.0,1,354,326,24,4/15,13.58,5.52,14.7,1,0,0
SW Tait (AUS),2010-2010,7,23.4,2,142,131,9,3/20,14.55,5.53,15.7,0,0,0
WPUJC Vaas (SL),2007-2007,5,18.0,1,108,100,5,2/14,20.00,5.55,21.6,0,0,0
Imad Wasim (PAK),2016-2024,12,41.0,0,246,228,10,3/8,22.80,5.56,24.6,0,0,0
Rohan Mustafa (UAE),2014-2014,3,6.5,0,41,38,0,-,-,5.56,-,0,0,0
B Regmi (NEP),2014-2014,3,10.0,0,60,56,5,3/14,11.20,5.60,12,0,0,0
A Nao (PNG),2024-2024,4,13.0,1,78,73,4,2/16,18.25,5.61,19.5,0,0,0
N Thushara (SL),2024-2024,3,10.4,0,64,60,8,4/18,7.50,5.62,8,1,0,0
AM Phangiso (SA),2016-2016,2,8.0,0,48,45,3,2/26,15.00,5.62,16,0,0,0
JJ Bumrah (IND),2016-2026,26,96.2,3,578,546,40,4/15,13.65,5.66,14.4,1,0,0
A Nortje (SA),2021-2026,21,79.5,0,479,456,38,4/7,12.00,5.71,12.6,3,0,0
