Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
LH Ferguson,4.0,4,0,3,0.00,New Zealand,v P.N.G.,Tarouba,17 Jun 2024,T20I #2702
HMRKB Herath,3.3,2,3,5,0.85,Sri Lanka,v New Zealand,Chattogram,31 Mar 2014,T20I #395
F Nsubuga,4.0,2,4,2,1.00,Uganda,v P.N.G.,Providence,5 Jun 2024,T20I #2640
TG Southee,4.0,1,4,3,1.00,New Zealand,v Uganda,Tarouba,14 Jun 2024,T20I #2682
B Kumar,3.0,0,3,0,1.00,India,v West Indies,Mirpur,23 Mar 2014,T20I #382
SMSM Senanayake,3.0,0,3,2,1.00,Sri Lanka,v New Zealand,Chattogram,31 Mar 2014,T20I #395
A Nortje,4.0,0,7,4,1.75,South Africa,v Sri Lanka,New York,3 Jun 2024,T20I #2635
TA Boult,4.0,1,7,2,1.75,New Zealand,v Uganda,Tarouba,14 Jun 2024,T20I #2682
Mustafizur Rahman,4.0,1,7,3,1.75,Bangladesh,v Nepal,Kingstown,16 Jun 2024,T20I #2698
Tanzim Hasan Sakib,4.0,2,7,4,1.75,Bangladesh,v Nepal,Kingstown,16 Jun 2024,T20I #2698
JJ Bumrah,4.0,1,7,3,1.75,India,v Afghanistan,Bridgetown,20 Jun 2024,T20I #2710
Mohammad Nabi,4.0,0,7,4,1.75,Afghanistan,v Canada,Chennai,19 Feb 2026,T20I #3726
BAW Mendis,4.0,2,8,6,2.00,Sri Lanka,v Zimbabwe,Hambantota,18 Sep 2012,T20I #263
Mahmudullah,4.0,1,8,1,2.00,Bangladesh,v Afghanistan,Mirpur,16 Mar 2014,T20I #366
PW Hasaranga,4.0,1,8,3,2.00,Sri Lanka,v U.A.E.,Geelong,18 Oct 2022,T20I #1832
Imad Wasim,4.0,0,8,3,2.00,Pakistan,v Ireland,Lauderhill,16 Jun 2024,T20I #2697
Umar Gul,3.0,0,6,5,2.00,Pakistan,v New Zealand,The Oval,13 Jun 2009,T20I #107
DW Steyn,3.0,0,6,2,2.00,South Africa,v Afghanistan,Bridgetown,5 May 2010,T20I #162
SR Patel,3.0,0,6,2,2.00,England,v Afghanistan,Colombo (RPS),21 Sep 2012,T20I #268
MD Shanaka,3.0,1,6,1,2.00,Sri Lanka,v South Africa,New York,3 Jun 2024,T20I #2635
JJ Bumrah,3.0,1,6,2,2.00,India,v Ireland,New York,5 Jun 2024,T20I #2639
AS Joseph,3.0,0,6,2,2.00,West Indies,v Uganda,Providence,8 Jun 2024,T20I #2651
DJG Sammy,3.4,0,8,3,2.18,West Indies,v Ireland,Providence,30 Apr 2010,T20I #152
MJ Santner,3.4,0,8,2,2.18,New Zealand,v Uganda,Tarouba,14 Jun 2024,T20I #2682
BAW Mendis,4.0,0,9,2,2.25,Sri Lanka,v West Indies,The Oval,19 Jun 2009,T20I #115
DW Steyn,4.0,0,9,1,2.25,South Africa,v Zimbabwe,Hambantota,20 Sep 2012,T20I #266
SP Gauchan,4.0,0,9,3,2.25,Nepal,v Hong Kong,Chattogram,16 Mar 2014,T20I #367
Shakib Al Hasan,4.0,0,9,3,2.25,Bangladesh,v Hong Kong,Chattogram,20 Mar 2014,T20I #375
Amir Hamza,4.0,0,9,1,2.25,Afghanistan,v West Indies,Nagpur,27 Mar 2016,T20I #552
MR Adair,4.0,0,9,3,2.25,Ireland,v Netherlands,Abu Dhabi,18 Oct 2021,T20I #1312
Shakib Al Hasan,4.0,0,9,4,2.25,Bangladesh,v P.N.G.,Al Amerat,21 Oct 2021,T20I #1334
